name,chrom,start,end,strand,TPM
St3gal2,chr8,110919864,110972497,+,11.2680408908
Pex11a,chr7,79737263,79743025,-,11.265699975
Platr7,chr10,84547416,84553338,-,11.2537601105
Thumpd2,chr17,81026326,81065085,-,11.2498474349
Rnf141,chr7,110816534,110844381,-,11.2483784051
Ebpl,chr14,61339762,61360445,-,11.2435343398
Xlr3c,chrX,73254539,73265390,-,11.2431819303
Zfp871,chr17,32765496,32788287,-,11.2391781291
Lnpep,chr17,17527722,17624489,-,11.2357666759
Rreb1,chr13,37826037,37952005,+,11.2357316746
Dcaf5,chr12,80335846,80436601,-,11.2281479303
Dusp5,chr19,53529317,53541322,+,11.2280366874
Elavl2,chr4,91250766,91399984,-,11.2271850402
Pgpep1l,chr7,68236607,68264233,-,11.2234156999
Ttll6,chr11,96133785,96165452,+,11.2164631795
Dclre1b,chr3,103800604,103809387,-,11.2127410153
Ppp1r14d,chr2,119218118,119229865,-,11.2120898703
Cpped1,chr16,11803720,11909423,-,11.2095600331
Peg12,chr7,62461870,62464510,-,11.2068041549
Hpdl,chr4,116819906,116821508,-,11.2063592076
Smug1,chr15,103153289,103163284,-,11.2003492522
Ccdc28b,chr4,129619273,129623908,-,11.19487034
Il17rd,chr14,27039000,27107286,+,11.1900837397
Idnk,chr13,58157648,58164693,+,11.1762370579
Csnk1g1,chr9,65909009,66045014,+,11.1739641708
Rab11fip1,chr8,27138772,27174646,-,11.1731277256
Gm8615,chr5,149154127,149156192,-,11.162468117
Slfn9,chr11,82980302,82991830,-,11.1593363985
Fktn,chr4,53714181,53763271,+,11.1541958612
Det1,chr7,78827473,78847211,-,11.1518081545
Cd55,chr1,130439029,130462740,-,11.1509711435
Acp2,chr2,91202911,91214098,+,11.1488781683
Vav2,chr2,27263634,27426825,-,11.1449856485
Ndufa4l2,chr10,127514938,127517156,+,11.1430081737
Ddx4,chr13,112598332,112652310,-,11.1387084246
Tspo2,chr17,48448434,48451501,-,11.1371612844
Samd10,chr2,181595217,181599147,-,11.1346850282
Fam189b,chr3,89183224,89189289,+,11.1344646797
Nphs1os,chr7,30462163,30465591,-,11.1274516584
5730455P16Rik,chr11,80360491,80378015,-,11.1210899388
Tradd,chr8,105258574,105264594,-,11.1208540264
Zfp386,chr12,116047723,116063207,+,11.1145144834
As3mt,chr19,46707442,46741095,+,11.1124815844
Vps45,chr3,95999831,96058455,-,11.1121111253
Gin1,chr1,97770178,97792971,+,11.1082117807
Dpp8,chr9,65032457,65082651,+,11.105801953
Efemp2,chr19,5474689,5481854,+,11.1019278275
Gm14403,chr2,177498225,177512311,+,11.0988926248
Atg9a,chr1,75180860,75192010,-,11.0962512638
Rapgef6,chr11,54522844,54699286,+,11.0868121043
Ubxn8,chr8,33619585,33641976,-,11.0863676757
Lig4,chr8,9970019,9976323,-,11.084059481
Rassf3,chr10,121410350,121476250,-,11.0832071822
Zfyve26,chr12,79232346,79296282,-,11.0761864904
Phf1,chr17,26933126,26937908,+,11.0752550667
Bloc1s5,chr13,38602705,38635109,-,11.063288935
Slc9b1,chr3,135348036,135397827,+,11.0590917409
Rltpr,chr8,105690905,105698165,+,11.0587217035
Ikzf5,chr7,131388648,131410478,-,11.0537653974
Hdac4,chr1,91932748,92148393,-,11.0509349569
Dcaf17,chr2,71055743,71099142,+,11.0441411063
Ecscr,chr18,35713088,35721491,-,11.0432541294
Gyk,chrX,85701936,85776819,-,11.0382353702
Nphs1,chr7,30460057,30488609,+,11.0347287634
Gsdmd,chr15,75862338,75867404,+,11.0306943958
Ptch2,chr4,117096355,117114831,+,11.0306881182
Tmc7,chr7,118535843,118584686,-,11.0281915374
Zfp397,chr18,23954687,23964670,+,11.0245844108
Yaf2,chr15,93283832,93336935,-,11.0202349078
Smo,chr6,29735496,29761366,+,11.018316197
Eps8l2,chr7,141339001,141363016,+,11.0133158169
Tmem110,chr14,30825593,30877210,+,11.0065353315
Rab3a,chr8,70754678,70758686,+,10.9997234127
Slc10a3,chrX,74369218,74373349,-,10.9944320629
Tcf19,chr17,35512734,35516824,-,10.9944237836
Mysm1,chr4,94942040,94979100,-,10.991559817
Piwil2,chr14,70372479,70429094,-,10.9901417631
Fbxo44,chr4,148152798,148160094,-,10.9901349427
Igfbp3,chr11,7206090,7213923,-,10.9882145452
Eif2ak2,chr17,78852549,78882572,-,10.9842369896
Kmt2c,chr5,25271793,25498783,-,10.9682544656
Rwdd2b,chr16,87433330,87440592,-,10.9641680332
Large,chr8,72814598,73352556,-,10.9599208294
Uckl1,chr2,181569152,181581973,-,10.957779537
Dusp6,chr10,99263230,99267489,+,10.9575960187
Notch3,chr17,32120892,32166852,-,10.9557819876
St6galnac2,chr11,116676704,116694660,-,10.9540401188
Glt8d1,chr14,31001392,31012441,+,10.9519614416
Slc39a14,chr14,70303466,70351424,-,10.9443236977
Rps6kc1,chr1,190772878,190911770,-,10.9428752612
Tmf1,chr6,97151949,97179124,-,10.9393101018
Tpgs2,chr18,25127222,25168877,-,10.9378959765
Mterf2,chr10,85119432,85128027,-,10.925459202
Reep1,chr6,71707680,71810705,+,10.9237270283
Rapsn,chr2,91035626,91045729,+,10.9112871561
Dnajc16,chr4,141761997,141790644,-,10.9074504751
Pot1b,chr17,55652024,55712628,-,10.9067166926
Zufsp,chr10,33926935,33951212,-,10.8968707177
Arhgdig,chr17,26199182,26201350,-,10.8939768096
Sh3tc1,chr5,35697179,35729276,-,10.8934209006
Xylb,chr9,119357380,119393797,+,10.8933281853
Pskh1,chr8,105900473,105931802,+,10.892774596
Pea15a,chr1,172196728,172206781,-,10.8879163563
Magi1,chr6,93675452,94283917,-,10.8837982862
Serpinb9b,chr13,33027413,33040558,+,10.8834698432
Fam72a,chr1,131527988,131539872,+,10.8798505879
Pbxip1,chr3,89436703,89450952,+,10.8779127199
Zswim8,chr14,20707551,20723619,+,10.8706292168
Tmem87b,chr2,128818302,128854261,+,10.8701586926
Efcab7,chr4,99829499,99912783,+,10.8698909287
Dnmbp,chr19,43846814,43940198,-,10.8678594086
Phf21a,chr2,92184181,92364666,+,10.8641901911
Ift88,chr14,57424070,57517936,+,10.8620138138
Cdc42bpa,chr1,179961088,180165602,+,10.8577265847
BC028528,chr3,95884972,95891930,-,10.8572856846
Zfp866,chr8,69761323,69774911,-,10.8567851722
Kmt2a,chr9,44803354,44881274,-,10.8448757006
Pard6g,chr18,80046894,80119640,+,10.8424850077
Atxn1l,chr8,109726450,109737739,-,10.8200017899
Serp2,chr14,76532811,76556889,-,10.815130396
Vcpip1,chr1,9718621,9748382,-,10.8149329991
Gdpgp1,chr7,80232892,80241420,+,10.8087028841
Mettl8,chr2,70964561,71055606,-,10.796492194
Arc,chr15,74669080,74672570,-,10.7928950844
Slc51a,chr16,32475577,32487879,-,10.7895478874
Acsl5,chr19,55253368,55296628,+,10.7804236973
Armc5,chr7,128237356,128245100,+,10.7794131926
Zfp160,chr17,21008940,21028856,+,10.7734767626
Trmu,chr15,85879326,85897393,+,10.7712447264
Lyrm5,chr6,145211133,145216542,+,10.7699720975
Rffl,chr11,82803818,82871210,-,10.7679384859
Elmod3,chr6,72565921,72598413,-,10.7649413369
Mob1b,chr5,88720870,88758455,+,10.7632748253
D16Ertd472e,chr16,78540335,78576688,-,10.7612355136
Snord91a,chr11,74905445,74905505,+,10.7600578019
Lysmd3,chr13,81657805,81671890,+,10.7565880952
Pard6a,chr8,105701147,105703494,+,10.7552783654
Aplf,chr6,87628428,87672168,-,10.7497222468
Dcun1d3,chr7,119853162,119895745,-,10.7422186576
Nqo2,chr13,33964658,33988465,+,10.735191774
Traf6,chr2,101678419,101701668,+,10.7330807784
C77370,chrX,104077434,104201117,-,10.7300352444
Fitm2,chr2,163468702,163472629,-,10.7272993915
Mtf1,chr4,124802548,124849800,+,10.7160727083
Esx1,chrX,137115396,137120326,-,10.7143805865
Mfap1a,chr2,121492680,121506656,-,10.7120325716
Calca,chr7,114631477,114636357,-,10.7037235821
Tspan2,chr3,102734769,102772310,+,10.6991319785
Frmd6,chr12,70825513,70902234,+,10.6956949808
Brip1os,chr11,86201359,86304443,+,10.6950707231
Als2cl,chr9,110880173,110900530,+,10.683177064
Bbc3,chr7,16309582,16318334,+,10.6792035964
Dennd4c,chr4,86748554,86850602,+,10.6769293395
Heca,chr10,17900465,17948067,-,10.6763296083
Snord98,chr10,62765578,62765606,-,10.6763121939
Smc1b,chr15,85064688,85131957,-,10.6762755118
Sepsecs,chr5,52643406,52669701,-,10.6743023082
Clip3,chr7,30291752,30308367,+,10.6704970362
Slc13a5,chr11,72241993,72266604,-,10.6617614565
Cers6,chr2,68861556,69111290,+,10.6597283806
Rccd1,chr7,80316615,80324454,-,10.6567956379
Xpa,chr4,46175221,46196311,-,10.6545712519
Braf,chr6,39603236,39725463,-,10.6522653987
Krba1,chr6,48395585,48419855,+,10.6504482407
Bcorl1,chrX,48341357,48406728,+,10.6442814316
Tnfrsf1a,chr6,125349722,125362483,+,10.6398985145
Mocs1,chr17,49428363,49455430,+,10.6295680111
Neu1,chr17,34931252,34937297,+,10.6261162958
Erbb2ip,chr13,103818785,103920586,-,10.6237264921
Slc29a3,chr10,60712071,60752782,-,10.618346848
Tnfrsf8,chr4,145268975,145315147,-,10.6033864612
2210015D19Rik,chr11,5762149,5784710,+,10.5971772217
B230307C23Rik,chr16,97997346,98016756,+,10.5846526129
Zc4h2,chrX,95639193,95658509,-,10.5767488948
Ubap1l,chr9,65361059,65380377,+,10.5730728525
Zbtb18,chr1,177444660,177450764,+,10.5711603197
Creb1,chr1,64532803,64604548,+,10.5696895786
Zfp628,chr7,4915216,4922003,+,10.5691344665
Qprt,chr7,127107769,127122029,-,10.5679500249
Acbd4,chr11,103101687,103112199,+,10.5676237689
Gpatch2l,chr12,86241877,86291368,+,10.5603971839
Nupl2,chr5,24164962,24184008,+,10.5551031349
Necab2,chr8,119446718,119472635,+,10.549528204
Sarm1,chr11,78472329,78497754,-,10.5342302944
Map6,chr7,99267446,99337137,+,10.5141444581
Usp40,chr1,87945120,88008551,-,10.5139659939
Clec16a,chr16,10545338,10744878,+,10.5095862082
Zgrf1,chr3,127553488,127618023,+,10.5090902825
Ctu1,chr7,43672030,43678297,+,10.5057007289
Rnf169,chr7,99920253,99980458,-,10.503444339
Mical3,chr6,120931545,121131022,-,10.5024250934
Ripk1,chr13,34002873,34035170,+,10.4960088862
Fam122a,chr19,24475778,24477474,-,10.4957168941
Ilvbl,chr10,78574499,78584502,+,10.4910657179
Foxk1,chr5,142401496,142462015,+,10.4904171078
Dstyk,chr1,132417452,132466959,+,10.4822854245
Cd37,chr7,45233631,45239115,-,10.4773818897
Slc9a8,chr2,167421709,167477000,+,10.4711400288
Hsd3b7,chr7,127800608,127803802,+,10.4694556972
Uevld,chr7,46923215,46958518,-,10.4677781659
Zfp51,chr17,21450373,21465589,+,10.4647031884
Pfn2,chr3,57841894,57847757,-,10.4613552962
Mapk13,chr17,28769316,28778704,+,10.4580994145
Gm17296,chr8,126426651,126475065,-,10.4552946592
Tor3a,chr1,156653616,156674339,-,10.4519998482
Zfpm1,chr8,122282140,122337247,+,10.4514345782
Lmbrd2,chr15,9140569,9197450,+,10.4456360592
Bbs9,chr9,22475714,22888280,+,10.4446612788
Rasgrp4,chr7,29134932,29153955,+,10.4404008161
Psen2,chr1,180227003,180256300,-,10.4394110781
Zscan18,chr7,12768091,12775658,-,10.4346047827
Alg12,chr15,88805242,88819318,-,10.4313531799
Pomk,chr8,25980603,25994121,-,10.4204231121
Cyp4f13,chr17,32924687,32947361,-,10.4133594752
Dennd6a,chr14,26573857,26634322,+,10.4126332968
Zfp354c,chr11,50811084,50827731,-,10.4087176601
Mir363,chrX,52741692,52741767,-,10.3981454768
Fam219b,chr9,57537527,57543187,+,10.3949382779
Sept3,chr15,82274934,82294442,+,10.3931518203
Zfp821,chr8,109705545,109724932,+,10.3903001419
Rft1,chr14,30654374,30691313,+,10.3837901495
Ap4e1,chr2,127008710,127069814,+,10.3744774956
Pdss2,chr10,43221485,43464882,+,10.3728309428
Tubd1,chr11,86544990,86567360,+,10.3705525711
Nos1,chr5,117866838,117958840,+,10.3671771793
Rnf215,chr11,4135159,4141192,+,10.3658385658
Gna15,chr10,81502313,81524225,-,10.3649929335
Dnd1,chr18,36763670,36766214,-,10.3609628448
Xkr8,chr4,132724903,132732546,-,10.3568252207
Snord70,chr1,59691957,59692010,+,10.352605546
Pik3ca,chr3,32436150,32468486,+,10.3426560627
Rsbn1l,chr5,20893023,20951822,-,10.3426049754
Nek8,chr11,78166105,78176666,-,10.3269314417
Nenf,chr1,191306796,191318118,-,10.3266016676
Fbxo46,chr7,19119858,19138261,+,10.3248361139
Zfp68,chr5,138603651,138619743,-,10.3171543393
Atg7,chr6,114643096,114860614,+,10.3017156891
Nhej1,chr1,74967345,75046639,-,10.3011531106
Ahnak,chr19,8989283,9076926,+,10.2967357423
Capg,chr6,72544390,72562983,+,10.2962145259
Tgm2,chr2,158116404,158146392,-,10.2922404238
BC064078,chr6,128993019,129006649,+,10.2764852668
Sass6,chr3,116594957,116630986,+,10.2745056598
Ppip5k1,chr2,121310560,121351013,-,10.2740417596
Thra,chr11,98741872,98765111,+,10.2717393837
Lrch1,chr14,74754672,74947877,-,10.2685807886
Pla2g12a,chr3,129878605,129895825,+,10.2628217048
Arl13b,chr16,62793688,62847040,-,10.2626278498
Sycp3,chr10,88459586,88473236,+,10.2618099623
Ece1,chr4,137862236,137965229,+,10.2578102866
Dnajc22,chr15,99099483,99104707,+,10.2552560995
Armcx5,chrX,135742691,135747326,+,10.2531893868
1190002F15Rik,chr6,134929091,134951718,+,10.2506362456
Traf3,chr12,111166369,111267155,+,10.2385720585
Zfp36,chr7,28376783,28379228,-,10.23532485
Pqlc2,chr4,139298004,139310700,-,10.2328339469
Zfp87,chr13,67515781,67526231,-,10.2323101162
1810043G02Rik,chr10,77978649,77985438,+,10.2283995279
Lmtk3,chr7,45783946,45804142,+,10.2278498239
Pcsk7,chr9,45906568,45929722,+,10.2245221317
Zfp422,chr6,116624015,116628999,-,10.2182637706
Zfp39,chr11,58888152,58904225,-,10.2160806064
Prkag2,chr5,24862734,25100642,-,10.2157072861
Trf,chr9,103208875,103230286,-,10.2137836375
Nr2f6,chr8,71374118,71381952,-,10.2137439231
Rmi1,chr13,58402247,58411149,+,10.2097952582
Nsmaf,chr4,6396207,6454271,-,10.2079088803
Dnajc27,chr12,4082573,4110612,+,10.2064399546
Usp53,chr3,122933600,122984447,-,10.191547335
Rbm12b2,chr4,12089369,12096271,+,10.1910269497
Tmem106b,chr6,13069758,13089269,+,10.1854973457
Prickle3,chrX,7657378,7668186,+,10.1825664509
Parp16,chr9,65214689,65239219,+,10.1820308231
Txnl4b,chr8,109565985,109574051,+,10.1782855431
Kmt2d,chr15,98831668,98871205,-,10.1726718158
Slc27a3,chr3,90385232,90389927,-,10.1710604979
Grik3,chr4,125490830,125714173,+,10.1625734707
Cc2d2a,chr5,43662378,43740970,+,10.16144459
Smad1,chr8,79338397,79399468,-,10.1537446948
Gnai1,chr5,18265134,18360413,-,10.1510771899
Ammecr1,chrX,142853473,142966728,-,10.1473089118
Six1,chr12,73041826,73046712,-,10.1466198428
Bglap3,chr3,88368615,88372741,-,10.1450205439
Slc37a1,chr17,31295482,31350698,+,10.1447440556
Pcmtd2,chr2,181837853,181857460,+,10.1414896273
Rc3h1,chr1,160906410,160974976,+,10.1407672304
Fcho1,chr8,71708386,71725681,-,10.1307456134
Mettl7a1,chr15,100304816,100314348,+,10.1304651419
Rit1,chr3,88716853,88731048,+,10.1298327208
Tnk1,chr11,69850562,69858730,-,10.1286524423
Prkra,chr2,76629936,76647994,-,10.1275919565
Zfp101,chr17,33380178,33394637,-,10.1274798883
Parp6,chr9,59617283,59650290,+,10.11888867
Zfp626,chr7,27807195,27822916,+,10.1169011158
5830417I10Rik,chr3,88777056,88829371,+,10.1088013527
Exog,chr9,119444922,119465518,+,10.1072587809
Prex1,chr2,166566344,166713832,-,10.1059018835
Camk1d,chr2,5293456,5714762,-,10.1033074464
Zfp941,chr7,140809676,140822178,-,10.1008511047
Fam222a,chr5,114568250,114613218,+,10.0898262189
Wdr47,chr3,108591277,108645719,+,10.0889037663
Mael,chr1,166201384,166238744,-,10.0870003586
Pcsk1n,chrX,7919821,7924410,+,10.0868937981
B3galnt1,chr3,69573918,69598960,-,10.0860729518
Gm5617,chr9,48495342,48495975,+,10.0758706473
Pgap1,chr1,54472999,54557684,-,10.0743281805
Dok1,chr6,83030935,83033471,-,10.0674192567
Cptp,chr4,155864722,155869440,-,10.0651098852
Platr5,chr1,88754889,88755733,+,10.06104491
Capn11,chr17,45630203,45659309,-,10.0595339266
Rsbn1,chr3,103914119,103966620,+,10.0594497939
Gcc1,chr6,28416602,28421724,-,10.0535782225
Lrp1,chr10,127538157,127621148,-,10.0526208454
Lrmp,chr6,145115635,145174928,+,10.0501962046
Asb7,chr7,66644566,66689561,-,10.0392108652
Mtmr1,chrX,71364759,71419196,+,10.0379628585
Tube1,chr10,39134022,39151058,+,10.0378353666
Zfp938,chr10,82224855,82241275,-,10.0362965644
Kdsr,chr1,106720409,106759742,-,10.0345038957
Akap17b,chrX,36608182,36645414,-,10.0300173447
Ccdc91,chr6,147475870,147632612,+,10.0290898514
Ttyh1,chr7,4119529,4135407,+,10.0269109204
Gphn,chr12,78226654,78684769,+,10.0268203313
Pi4k2b,chr5,52741573,52769344,+,10.0259753261
Itgav,chr2,83724396,83806917,+,10.0247898498
Pomt2,chr12,87106865,87147902,-,10.024123777
Fam214b,chr4,43032413,43046220,-,10.0231995943
Esrp2,chr8,106131182,106136974,-,10.020556314
Igsf23,chr7,19937304,19950743,-,10.0109531755
Gbx2,chr1,89927961,89931176,-,10.0107185673
Cdh4,chr2,179442477,179899375,+,10.0030984859
Rhobtb3,chr13,75869536,75943824,-,9.9982114254
Pigb,chr9,73015695,73039699,-,9.9893159858
B3gntl1,chr11,121616207,121673151,-,9.9873157365
Myh13,chr11,67327102,67371502,+,9.9782575931
Eid1,chr2,125673099,125675642,+,9.9757389522
Fam173b,chr15,31602115,31617535,+,9.9707545235
Lipt1,chr1,37872205,37876298,+,9.9700495982
Zfp653,chr9,22055459,22071345,-,9.962507819
Prss50,chr9,110857966,110864628,+,9.9602739791
D1Pas1,chr1,186967415,186970627,+,9.9501019794
Id4,chr13,48261426,48264036,+,9.9499192544
Tspan7,chrX,10485115,10596604,+,9.9449627462
Abhd8,chr8,71456699,71463657,-,9.9447789458
Tmem79,chr3,88328652,88334433,-,9.9398857469
Zfp2,chr11,50898711,50916176,-,9.9381522302
Auts2,chr5,131437681,132542343,-,9.9344184019
Mlana,chr19,29697940,29708306,+,9.9325539366
Cln8,chr8,14888535,14901719,+,9.9304765543
Akt3,chr1,177022114,177248767,-,9.9304095345
Pctp,chr11,89983416,90002894,-,9.9264234633
Mapkbp1,chr2,119972698,120027403,+,9.9256668079
Ttc17,chr2,94300765,94406689,-,9.9226419796
Myo5a,chr9,75071205,75223687,+,9.9196980976
Zfp763,chr17,33016863,33033381,-,9.9126411425
Gpr137,chr19,6938069,6942450,-,9.9113712041
Aifm2,chr10,61715262,61739260,+,9.9068129855
Zfp157,chr5,138441475,138460694,+,9.9065218892
Plekha4,chr7,45526329,45554229,+,9.896282207
Tiam1,chr16,89787110,89974699,-,9.8913123349
Zfp426,chr9,20468548,20492746,-,9.8882507641
AI467606,chr7,127091435,127094049,+,9.8864506682
Ino80d,chr1,63047800,63114267,-,9.882605365
Pars2,chr4,106651068,106655282,+,9.8757081302
Uros,chr7,133686354,133709295,-,9.873444909
Sall3,chr18,80966373,80986578,-,9.8725933989
Rapgef3,chr15,97744769,97767666,-,9.870476676
Ccdc18,chr5,108132913,108232949,+,9.8692289535
Necab3,chr2,154544404,154558853,-,9.8615043824
Map4k2,chr19,6341159,6355619,+,9.8588428796
Gfod2,chr8,105716112,105758607,-,9.8470709625
Kdm1b,chr13,47043498,47085279,+,9.8403266974
Xpnpep3,chr15,81400187,81454888,+,9.8366726212
Agpat9,chr5,100846228,100899102,+,9.8363176367
Dnajc18,chr18,35671104,35703144,-,9.8104339211
Cdkn1c,chr7,143458338,143461050,-,9.8065959763
Cnppd1,chr1,75135214,75142368,-,9.8051663019
Acat1,chr9,53580521,53610350,-,9.8027122395
Osgin2,chr4,15997120,16013877,-,9.7998035211
Pou2f3,chr9,43123938,43205755,-,9.7966936759
Nfic,chr10,81396190,81427173,-,9.794630948
Smim22,chr16,5007287,5008308,+,9.7941390449
Stard5,chr7,83632016,83642328,+,9.7889274683
Fgfrl1,chr5,108694228,108706950,+,9.7797602653
Cxadr,chr16,78301670,78359785,+,9.777395986
2810006K23Rik,chr5,124328088,124341852,+,9.7745476067
Wbscr27,chr5,134932372,134942637,+,9.7719498333
Tmem265,chr7,127561222,127565270,+,9.7669379039
Dusp3,chr11,101971143,101984791,-,9.7585547005
Anxa4,chr6,86736839,86793584,-,9.7355936632
Smim10l1,chr6,133105238,133110899,+,9.7341180598
Rfx5,chr3,94955014,94961561,+,9.7327350282
Ripk2,chr4,16123374,16163498,-,9.7272314966
Pbx3,chr2,34171456,34372045,-,9.7257378058
Fahd1,chr17,24848895,24850302,-,9.7209478753
Tor1aip1,chr1,156004598,156036480,-,9.7209123308
Il34,chr8,110741828,110805924,-,9.7163462168
Ccdc64,chr5,115649285,115731559,-,9.7151805031
Atp5s,chr12,69724961,69744658,+,9.7151385765
Gm5635,chrX,9063089,9063822,+,9.7090636975
Cryl1,chr14,57275033,57398483,-,9.6983955556
Traf2,chr2,25517981,25546940,-,9.6970445796
Lrsam1,chr2,32925214,32961255,-,9.6949292564
Slc35e2,chr4,155601415,155623340,+,9.6938922027
Aox3,chr1,58113135,58200452,+,9.6931103683
Ube2e2,chr14,18573576,18893627,-,9.6928801299
H2-D1,chr17,35263093,35267497,+,9.6895293506
Arhgef15,chr11,68943153,68956858,-,9.6869088539
Efna2,chr10,80179481,80190010,+,9.686907613
Ncam1,chr9,49502145,49799069,-,9.6847828814
Cep152,chr2,125563087,125625113,-,9.6831684085
Kmt2e,chr5,23434428,23504229,+,9.6782810313
Myo5c,chr9,75232013,75305450,+,9.6746221539
Dffb,chr4,153964448,153975081,-,9.671595867
Mir677,chr10,128085285,128085363,+,9.6700367924
Mir186,chr3,157544278,157544349,+,9.6674155142
Slfn3,chr11,83191329,83215154,+,9.6620606652
Tmem177,chr1,119907898,119913168,-,9.6606427137
Gorab,chr1,163384908,163403641,-,9.6587746539
Zfp446,chr7,12977847,12985716,+,9.6582485651
Pxmp4,chr2,154587043,154603673,-,9.6565089931
Xpr1,chr1,155275656,155417444,-,9.6552998921
Ap1m2,chr9,21295456,21312333,-,9.6494009623
Spred1,chr2,117121070,117182277,+,9.6433564087
D2hgdh,chr1,93825239,93852174,+,9.6373680958
Zfp81,chr17,33333727,33358878,-,9.6343232223
Tmub1,chr5,24445462,24447846,-,9.6274521542
Gm15421,chr5,22528220,22529030,-,9.6226140518
Snai1,chr2,167538226,167542811,+,9.6195204224
Aste1,chr9,105395391,105405756,+,9.6195149662
Msra,chr14,64122620,64455903,-,9.6189382515
Stx8,chr11,67966482,68207148,+,9.6114545393
Ikbkg,chrX,74393290,74453778,+,9.6094444365
Zik1,chr7,10487223,10495381,-,9.6081463021
Pemt,chr11,59970613,60046489,-,9.6044319087
Fgf3,chr7,144838611,144843348,+,9.6018427528
Pip5k1b,chr19,24294795,24555827,-,9.5975367574
Depdc1a,chr3,159495432,159529955,+,9.5915019125
Trdmt1,chr2,13510160,13544664,-,9.5867913506
Ube2j1,chr4,33031424,33052364,+,9.5855902295
Obsl1,chr1,75485824,75506452,-,9.581262174
Kctd18,chr1,57955100,57970084,-,9.5804485222
Mecp2,chrX,74026591,74085690,-,9.5790851898
Lats1,chr10,7681208,7716461,+,9.5754108446
Apaf1,chr10,90989310,91082743,-,9.5720895258
Dram2,chr3,106547797,106575341,+,9.5710303557
Uhmk1,chr1,170199255,170215393,-,9.5686502332
Mup6,chr4,60003548,60006214,+,9.5669365872
Tmem98,chr11,80810414,80822033,+,9.5642273699
Fuz,chr7,44896078,44900624,+,9.5566483199
Tex19.2,chr11,121116214,121118677,-,9.5532704372
Fem1a,chr17,56256792,56263608,+,9.5512268749
Sh3pxd2a,chr19,47260173,47464411,-,9.5486415416
Tpmt,chr13,47023542,47043217,-,9.5482369879
Ythdc2,chr18,44828664,44889720,+,9.546932025
Nav1,chr1,135434579,135585355,-,9.541443929
Acy3,chr19,3986569,3990005,+,9.5398719445
Pde1b,chr15,103503033,103530056,+,9.5384800387
D930048N14Rik,chr11,51650953,51657681,+,9.5316673924
Il2rg,chrX,101264384,101268255,-,9.5157231266
Samd8,chr14,21750530,21798725,+,9.5142625536
Fdxacb1,chr9,50768237,50772670,+,9.5074938513
Crb3,chr17,57062276,57065914,+,9.5050129544
