name,chr,start,end,PrL.prob,geneName,location
prL54,chr11,51606499.0,51607498.0,0.9995,Hnrnpab,overlapTSS
prL55,chr11,70409499.0,70410498.0,0.9995,Pelp1,overlapTSS
prL56,chr13,23738132.0,23739131.0,0.9995,Hist1h1c,overlapTSS
prL57,chr16,11202908.0,11203907.0,0.9995,Rsl1d1,overlapTSS
prL58,chr4,117189396.0,117190395.0,0.9995,U5,genic
prL59,chr5,125388631.0,125389630.0,0.9995,Ubc,genic
prL60,chr6,85452007.0,85453006.0,0.9995,Cct7,overlapTSS
prL61,chr7,46845631.0,46846630.0,0.9995,Ldha,genic
prL62,chr8,123224101.0,123225100.0,0.9995,Galnt2,genic
prL63,chr9,22388557.0,22389556.0,0.9995,Anln,overlapTSS
prL64,chr11,116671687.0,116672686.0,0.9994,1810032O08Rik,genic
prL65,chr13,23530132.0,23531131.0,0.9994,RP23-283N14.2,overlapTSS
prL66,chr13,58401640.0,58402639.0,0.9994,Hnrnpk,overlapTSS
prL67,chr15,98933570.0,98934569.0,0.9994,Tuba1b,overlapTSS
prL68,chr5,65390762.0,65391761.0,0.9994,Rpl9,overlapTSS
prL69,chr5,108628982.0,108629981.0,0.9994,Gak,overlapTSS
prL70,chr8,84662102.0,84663101.0,0.9994,Ier2,overlapTSS
prL71,chr8,85492102.0,85493101.0,0.9994,Gpt2,overlapTSS
prL72,chr9,44334918.0,44335917.0,0.9994,H2afx,genic
prL73,chr1,55088157.0,55089156.0,0.9993,Hspd1,overlapTSS
prL74,chr10,62602253.0,62603252.0,0.9993,Ddx21,overlapTSS
prL75,chr13,21721132.0,21722131.0,0.9993,Hist1h2aj,genic
prL76,chr19,60790098.0,60791097.0,0.9993,Eif3a,overlapTSS
prL77,chr2,156179265.0,156180264.0,0.9993,Rbm39,overlapTSS
prL78,chr3,96560078.0,96561077.0,0.9993,AC122037.2,genic
prL79,chr7,34167982.0,34168981.0,0.9993,Uba2,overlapTSS
prL80,chr7,144861096.0,144862095.0,0.9993,Fgf4,overlapTSS
prL81,chr8,31149529.0,31150528.0,0.9993,snoU13,genic
prL82,chr1,64737427.0,64738426.0,0.9992,Fzd5,overlapTSS
prL83,chr1,86358426.0,86359425.0,0.9992,Ncl,overlapTSS
prL84,chr1,134361424.0,134362423.0,0.9992,Tmem183a,overlapTSS
prL85,chr12,21373140.0,21374139.0,0.9992,Adam17,overlapTSS
prL86,chr12,24708136.0,24709135.0,0.9992,RP23-431C5.1,genic
prL87,chr12,54696014.0,54697013.0,0.9992,U1,genic
prL88,chr12,80945014.0,80946013.0,0.9992,Sfrs5,overlapTSS
prL89,chr15,89122571.0,89123570.0,0.9992,Tubgcp6,overlapTSS
prL90,chr4,132353086.0,132354085.0,0.9992,Rcc1,overlapTSS
prL91,chr7,44246631.0,44247630.0,0.9992,2410002F23Rik,overlapTSS
prL92,chr8,27042529.0,27043528.0,0.9992,Prosc,overlapTSS
prL93,chr8,121590101.0,121591100.0,0.9992,Galnt2,genic
prL94,chr1,118458424.0,118459423.0,0.9991,Clasp1,genic
prL95,chr11,6266998.0,6267997.0,0.9991,Ddx56,overlapTSS
prL96,chr13,23554132.0,23555131.0,0.9991,Hist1h1d,overlapTSS
prL97,chr13,24761132.0,24762131.0,0.9991,Gmnn,overlapTSS
prL98,chr14,18270487.0,18271486.0,0.9991,Rpl15,overlapTSS
prL99,chr14,62760164.0,62761163.0,0.9991,Ints6,overlapTSS
prL100,chr17,56989578.0,56990577.0,0.9991,Clpp,overlapTSS
prL101,chr2,167062501.0,167063500.0,0.9991,Znfx1,overlapTSS
prL102,chr3,152210037.0,152211036.0,0.9991,Dnajb4,overlapTSS
prL103,chr6,83054007.0,83055006.0,0.9991,Htra2,overlapTSS
prL104,chr6,113077007.0,113078006.0,0.9991,Lhfpl4,genic
prL105,chr6,124711983.0,124712982.0,0.9991,Emg1,overlapTSS
prL106,chr6,136803480.0,136804479.0,0.9991,Hist4h4,genic
prL107,chr8,84977102.0,84978101.0,0.9991,Junb,genic
prL108,chr10,78574256.0,78575255.0,0.9990000000000001,Ilvbl,overlapTSS
prL109,chr11,87426499.0,87427498.0,0.9990000000000001,Tex14,genic
prL110,chr11,106500687.0,106501686.0,0.9990000000000001,SNORND104,genic
prL111,chr12,69184014.0,69185013.0,0.9990000000000001,Rpl36al,overlapTSS
prL112,chr15,76350571.0,76351570.0,0.9990000000000001,Heatr7a,genic
prL113,chr19,5490001.0,5491000.0,0.9990000000000001,Cfl1,overlapTSS
prL114,chr19,8819511.0,8820510.0,0.9990000000000001,Hnrnpul2,genic
prL115,chr5,110652982.0,110653981.0,0.9990000000000001,Noc4l,overlapTSS
prL116,chr6,29609001.0,29610000.0,0.9990000000000001,Tnpo3,overlapTSS
prL117,chr7,111082487.0,111083486.0,0.9990000000000001,Eif4g2,overlapTSS
prL118,chr8,14888001.0,14889000.0,0.9990000000000001,Cln8,genic
prL119,chr8,47713647.0,47714646.0,0.9990000000000001,Cdkn2aip,overlapTSS
prL120,chr8,123859101.0,123860100.0,0.9990000000000001,Galnt2,genic
prL121,chr9,109073487.0,109074486.0,0.9990000000000001,Atrip,overlapTSS
prL122,chr10,41519195.0,41520194.0,0.9989,Cd164,overlapTSS
prL123,chr10,59951253.0,59952252.0,0.9989,Ddit4,overlapTSS
prL124,chr10,79669256.0,79670255.0,0.9989,Gm16517,overlapTSS
prL125,chr11,94321687.0,94322686.0,0.9989,Luc7l3,overlapTSS
prL126,chr12,12941195.0,12942194.0,0.9989,Mycn,overlapTSS
prL127,chr12,52503014.0,52504013.0,0.9989,Arhgap5,overlapTSS
prL128,chr13,23551132.0,23552131.0,0.9989,Hist1h4f,genic
prL129,chr17,36271056.0,36272055.0,0.9989,Trim39,overlapTSS
prL130,chr17,80061661.0,80062660.0,0.9989,Hnrpll,overlapTSS
prL131,chr19,6941511.0,6942510.0,0.9989,Gpr137,overlapTSS
prL132,chr5,31220628.0,31221627.0,0.9989,Ppm1g,upstream
prL133,chr5,121451992.0,121452991.0,0.9989,Erp29,overlapTSS
prL134,chr6,72439007.0,72440006.0,0.9989,Mat2a,overlapTSS
prL135,chr6,87850007.0,87851006.0,0.9989,Cnbp,genic
prL136,chr6,148945479.0,148946478.0,0.9989,Fam60a,overlapTSS
prL137,chr8,47673647.0,47674646.0,0.9989,Ing2,overlapTSS
prL138,chr8,71405102.0,71406101.0,0.9989,Ankle1,overlapTSS
prL139,chr8,85840102.0,85841101.0,0.9989,Itfg1,overlapTSS
prL140,chr9,62811194.0,62812193.0,0.9989,Fem1b,overlapTSS
prL141,chrX,52743824.0,52744823.0,0.9989,Kis2,overlapTSS
prL142,chr10,78009256.0,78010255.0,0.9988,Pfkl,overlapTSS
prL143,chr10,80798256.0,80799255.0,0.9988,Sf3a2,genic
prL144,chr11,6415998.0,6416997.0,0.9988,Ppia,genic
prL145,chr12,75669014.0,75670013.0,0.9988,Wdr89,overlapTSS
prL146,chr13,21779132.0,21780131.0,0.9988,Hist1h1b,genic
prL147,chr15,76343571.0,76344570.0,0.9988,Cyc1,genic
prL148,chr15,81663571.0,81664570.0,0.9988,L3mbtl2,overlapTSS
prL149,chr15,83148571.0,83149570.0,0.9988,Poldip3,overlapTSS
prL150,chr3,32365079.0,32366078.0,0.9988,Zmat3,overlapTSS
prL151,chr3,95658079.0,95659077.0,0.9988,Mcl1,overlapTSS
prL152,chr5,100428982.0,100429981.0,0.9988,AC107744.1,overlapTSS
prL153,chr7,25218982.0,25219981.0,0.9988,Dedd2,genic
prL154,chr7,45153631.0,45154630.0,0.9988,Aldh16a1,overlapTSS
prL155,chr7,139944102.0,139945101.0,0.9988,Utf1,genic
prL156,chr8,34107947.0,34108946.0,0.9988,Dctn6,overlapTSS
prL157,chr8,126593101.0,126594100.0,0.9988,Irf2bp2,overlapTSS
prL158,chr10,128034945.0,128035944.0,0.9987,Naca,overlapTSS
prL159,chr11,51262499.0,51263498.0,0.9987,BC049762,overlapTSS
prL160,chr11,73137499.0,73138498.0,0.9987,Itgae,genic
prL161,chr12,8499195.0,8500194.0,0.9987,Rhob,overlapTSS
prL162,chr13,23698132.0,23699131.0,0.9987,Hist1h4c,overlapTSS
prL163,chr13,55329640.0,55330639.0,0.9987,Mxd3,overlapTSS
prL164,chr17,70989661.0,70990660.0,0.9987,AC107664.1,genic
prL165,chr17,87282661.0,87283660.0,0.9987,RP23-10B20.2,overlapTSS
prL166,chr18,84588609.0,84589608.0,0.9987,Zfp407,genic
prL167,chr19,4000001.0,4001000.0,0.9987,AC133523.1,genic
prL168,chr19,5801001.0,5802000.0,0.9987,Scyl1,intergenic
prL169,chr2,23068481.0,23069480.0,0.9987,Acbd5,genic
prL170,chr2,25210481.0,25211480.0,0.9987,Cobra1,genic
prL171,chr2,37430481.0,37431480.0,0.9987,Zbtb6,genic
prL172,chr2,39004481.0,39005480.0,0.9987,Wdr38,genic
prL173,chr2,140170265.0,140171264.0,0.9987,Esf1,overlapTSS
prL174,chr3,96197078.0,96198077.0,0.9987,Bola1,genic
prL175,chr4,24495854.0,24496853.0,0.9987,F730047E07Rik,overlapTSS
prL176,chr5,28070461.0,28071460.0,0.9987,AC156021.1,overlapTSS
prL177,chr5,31179628.0,31180627.0,0.9987,Gtf3c2,overlapTSS
prL178,chr5,137778773.0,137779772.0,0.9987,2010007H12Rik,genic
prL179,chr7,27165982.0,27166981.0,0.9987,Egln2,overlapTSS
prL180,chr8,75109102.0,75110101.0,0.9987,Mcm5,overlapTSS
prL181,chr8,95081101.0,95082100.0,0.9987,Katnb1,overlapTSS
prL182,chr8,110618101.0,110619100.0,0.9987,Vac14,overlapTSS
prL183,chrX,94177662.0,94178661.0,0.9987,Eif2s3x,intergenic
prL184,chrX,129749465.0,129750464.0,0.9987,Diap2,overlapTSS
prL185,chr1,58392157.0,58393156.0,0.9986,Bzw1,overlapTSS
prL186,chr11,70562499.0,70563498.0,0.9986,Mink1,overlapTSS
prL187,chr15,80255571.0,80256570.0,0.9986,Atf4,genic
prL188,chr15,102518570.0,102519569.0,0.9986,Tarbp2,genic
prL189,chr16,96127394.0,96128393.0,0.9986,Hmgn1,overlapTSS
prL190,chr17,28080056.0,28081055.0,0.9986,Tcp11,overlapTSS
prL191,chr17,56626578.0,56627577.0,0.9986,Lonp1,overlapTSS
prL192,chr19,7205511.0,7206510.0,0.9986,Otub1,overlapTSS
prL193,chr19,32485511.0,32486510.0,0.9986,Minpp1,overlapTSS
prL194,chr19,40894511.0,40895510.0,0.9986,AC117253.1,intergenic
prL195,chr3,123508083.0,123509082.0,0.9986,AC124005.1,overlapTSS
prL196,chr4,117120396.0,117121395.0,0.9986,Btbd19,genic
prL197,chr4,134268086.0,134269085.0,0.9986,Pdik1l,downstream
prL198,chr4,138706086.0,138707085.0,0.9986,Ubxn10,downstream
prL199,chr5,110285982.0,110286981.0,0.9986,Pxmp2,overlapTSS
prL200,chr6,125130983.0,125131982.0,0.9986,Nop2,overlapTSS
prL201,chr7,34388982.0,34389981.0,0.9986,Lsm14a,overlapTSS
prL202,chr7,127967487.0,127968486.0,0.9986,Fus,genic
prL203,chr8,71406102.0,71407101.0,0.9986,Ankle1,genic
prL204,chr8,124721101.0,124722100.0,0.9986,Ttc13,overlapTSS
prL205,chr1,86526426.0,86527425.0,0.9985,Ptma,overlapTSS
prL206,chr10,30600195.0,30601194.0,0.9985,Trmt11,overlapTSS
prL207,chr10,34282195.0,34283194.0,0.9985,Tspyl1,overlapTSS
prL208,chr11,76243499.0,76244498.0,0.9985,Glod4,overlapTSS
prL209,chr11,106787687.0,106788686.0,0.9985,Ddx5,overlapTSS
prL210,chr14,52019326.0,52020325.0,0.9985,Zfp219,genic
prL211,chr16,90283756.0,90284755.0,0.9985,Sfrs15,overlapTSS
prL212,chr17,33909056.0,33910055.0,0.9985,Daxx,overlapTSS
prL213,chr18,3337003.0,3338002.0,0.9985,Crem,overlapTSS
prL214,chr19,8735511.0,8736510.0,0.9985,Wdr74,overlapTSS
prL215,chr2,164769501.0,164770500.0,0.9985,RP23-370H21.5,overlapTSS
prL216,chr3,9004001.0,9005000.0,0.9985,Tpd52,overlapTSS
prL217,chr4,44012129.0,44013128.0,0.9985,Clta,genic
prL218,chr5,66675762.0,66676761.0,0.9985,AC149587.1,overlapTSS
prL219,chr6,30173001.0,30174000.0,0.9985,mmu-mir-183,upstream
prL220,chr6,39592002.0,39593001.0,0.9985,RP23-366P9.4,overlapTSS
prL221,chr6,117906983.0,117907982.0,0.9985,Hnrnpf,genic
prL222,chr7,34195982.0,34196981.0,0.9985,Pdcd2l,overlapTSS
prL223,chr7,45458631.0,45459630.0,0.9985,Ftl1,genic
prL224,chr7,46795631.0,46796630.0,0.9985,Hps5,overlapTSS
prL225,chr8,70302102.0,70303101.0,0.9985,Ddx49,overlapTSS
prL226,chr8,70699102.0,70700101.0,0.9985,Jund,genic
prL227,chr8,116921101.0,116922100.0,0.9985,2310061C15Rik,overlapTSS
prL228,chr8,126474101.0,126475100.0,0.9985,AC151908.1,downstream
prL229,chr9,31030416.0,31031415.0,0.9985,Zbtb44,overlapTSS
prL230,chr1,86527426.0,86528425.0,0.9984,Ptma,genic
prL231,chr11,51999499.0,52000498.0,0.9984,AL669920.2,genic
prL232,chr11,62551499.0,62552498.0,0.9984,Ubb,genic
prL233,chr12,69372014.0,69373013.0,0.9984,AC157822.1,overlapTSS
prL234,chr15,5116001.0,5117000.0,0.9984,Rpl37,overlapTSS
prL235,chr16,93831756.0,93832755.0,0.9984,Morc3,overlapTSS
prL236,chr17,34118056.0,34119055.0,0.9984,Brd2,genic
prL237,chr19,53329511.0,53330510.0,0.9984,Mxi1,genic
prL238,chr2,32961481.0,32962480.0,0.9984,Lrsam1,overlapTSS
prL239,chr2,37442481.0,37443480.0,0.9984,Zbtb6,overlapTSS
prL240,chr3,88913079.0,88914078.0,0.9984,Msto1,overlapTSS
prL241,chr6,120530983.0,120531982.0,0.9984,Cecr5,overlapTSS
prL242,chr7,45465631.0,45466630.0,0.9984,Bax,genic
prL243,chr7,140856102.0,140857101.0,0.9984,AC107815.1,overlapTSS
prL244,chr12,111677790.0,111678789.0,0.9983,Trmt61a,overlapTSS
prL245,chr13,23544132.0,23545131.0,0.9983,Hist1h3f,genic
prL246,chr14,31000815.0,31001814.0,0.9983,Spcs1,overlapTSS
prL247,chr15,11995246.0,11996245.0,0.9983,Sub1,overlapTSS
prL248,chr15,88890571.0,88891570.0,0.9983,Ttll8,intergenic
prL249,chr17,29007056.0,29008055.0,0.9983,Stk38,overlapTSS
prL250,chr17,35969056.0,35970055.0,0.9983,Abcf1,overlapTSS
prL251,chr18,31803347.0,31804346.0,0.9983,Wdr33,overlapTSS
prL252,chr5,129787125.0,129788124.0,0.9983,Cct6a,overlapTSS
prL253,chr6,83109007.0,83110006.0,0.9983,Ccdc142,genic
prL254,chr8,70510102.0,70511101.0,0.9983,Uba52,overlapTSS
prL255,chr8,71272102.0,71273101.0,0.9983,Haus8,overlapTSS
prL256,chr9,59291194.0,59292193.0,0.9983,Adpgk,overlapTSS
prL257,chr10,91123256.0,91124255.0,0.9982,Slc25a3,overlapTSS
prL258,chr10,128546945.0,128547944.0,0.9982,Zc3h10,overlapTSS
prL259,chr11,68852499.0,68853498.0,0.9982,Ndel1,overlapTSS
prL260,chr11,115513687.0,115514686.0,0.9982,Hn1,overlapTSS
prL261,chr12,69158014.0,69159013.0,0.9982,Rps29,genic
prL262,chr13,63814693.0,63815692.0,0.9982,0610007P08Rik,overlapTSS
prL263,chr16,14162908.0,14163907.0,0.9982,Nde1,overlapTSS
prL264,chr17,56008578.0,56009577.0,0.9982,Mpnd,genic
prL265,chr17,80206661.0,80207660.0,0.9982,Sfrs7,overlapTSS
prL266,chr18,4921003.0,4922002.0,0.9982,Svil,genic
prL267,chr18,80469262.0,80470261.0,0.9982,Ctdp1,overlapTSS
prL268,chr4,57300129.0,57301128.0,0.9982,Ptpn3,genic
prL269,chr5,65536762.0,65537761.0,0.9982,1110003E01Rik,overlapTSS
prL270,chr5,145231132.0,145232131.0,0.9982,Zfp655,overlapTSS
prL271,chr7,13037652.0,13038651.0,0.9982,Ube2m,overlapTSS
prL272,chr10,115314945.0,115315944.0,0.9981,Rab21,overlapTSS
prL273,chr11,77685499.0,77686498.0,0.9981,Nufip2,overlapTSS
prL274,chr11,98026687.0,98027686.0,0.9981,RP23-309H19.5,genic
prL275,chr14,45329326.0,45330325.0,0.9981,Psmc6,overlapTSS
prL276,chr16,35489915.0,35490914.0,0.9981,Pdia5,overlapTSS
prL277,chr17,24895056.0,24896055.0,0.9981,Eme2,overlapTSS
prL278,chr17,26508056.0,26509055.0,0.9981,Dusp1,overlapTSS
prL279,chr17,34119056.0,34120055.0,0.9981,Brd2,genic
prL280,chr18,9958003.0,9959002.0,0.9981,Thoc1,overlapTSS
prL281,chr2,152226265.0,152227264.0,0.9981,Csnk2a1,overlapTSS
prL282,chr3,65528079.0,65529078.0,0.9981,4931440P22Rik,overlapTSS
prL283,chr3,96263078.0,96264077.0,0.9981,Hist2h4,overlapTSS
prL284,chr3,108911083.0,108912082.0,0.9981,Prpf38b,overlapTSS
prL285,chr4,129334757.0,129335756.0,0.9981,Rbbp4,overlapTSS
prL286,chr4,152008892.0,152009891.0,0.9981,Klhl21,genic
prL287,chr5,142629047.0,142630046.0,0.9981,Wipi2,overlapTSS
prL288,chr8,70539102.0,70540101.0,0.9981,Ell,overlapTSS
prL289,chr9,88522163.0,88523162.0,0.9981,2810026P18Rik,overlapTSS
prL290,chr9,114400883.0,114401882.0,0.9981,AC156499.1,overlapTSS
prL291,chr10,81059256.0,81060255.0,0.998,Sgta,overlapTSS
prL292,chr10,117223945.0,117224944.0,0.998,Yeats4,overlapTSS
prL293,chr11,106255687.0,106256686.0,0.998,Ftsj3,overlapTSS
prL294,chr11,114668687.0,114669686.0,0.998,Rpl38,genic
prL295,chr14,21051779.0,21052778.0,0.998,Ap3m1,overlapTSS
prL296,chr15,98762570.0,98763569.0,0.998,Arf3,overlapTSS
prL297,chr16,32608915.0,32609914.0,0.998,Tfrc,overlapTSS
prL298,chr16,91646756.0,91647755.0,0.998,Gart,overlapTSS
prL299,chr17,48408676.0,48409675.0,0.998,Nfya,genic
prL300,chr2,26933481.0,26934480.0,0.998,Surf4,overlapTSS
prL301,chr2,34870481.0,34871480.0,0.998,Psmd5,overlapTSS
prL302,chr2,119477265.0,119478264.0,0.998,Ino80,overlapTSS
prL303,chr2,144270265.0,144271264.0,0.998,Snx5,overlapTSS
prL304,chr2,181598296.0,181599295.0,0.998,Prpf6,genic
prL305,chr3,153912037.0,153913036.0,0.998,Rabggtb,overlapTSS
prL306,chr4,116685396.0,116686395.0,0.998,AL831786.1,overlapTSS
prL307,chr4,125029757.0,125030756.0,0.998,Gnl2,genic
prL308,chr4,150236892.0,150237891.0,0.998,Eno1,genic
prL309,chr4,155249892.0,155250891.0,0.998,2610002J02Rik,genic
prL310,chr5,31192628.0,31193627.0,0.998,Eif2b4,overlapTSS
prL311,chr5,74194976.0,74195975.0,0.998,Rasl11b,overlapTSS
prL312,chr6,124828983.0,124829982.0,0.998,Usp5,overlapTSS
prL313,chr7,4792399.0,4793398.0,0.998,Rpl28,overlapTSS
prL314,chr7,46919631.0,46920630.0,0.998,Tsg101,overlapTSS
prL315,chr7,81344115.0,81345114.0,0.998,Rps17,overlapTSS
prL316,chr7,140857102.0,140858101.0,0.998,Ric8,genic
prL317,chr7,141131102.0,141132101.0,0.998,Ptdss2,overlapTSS
prL318,chr11,3265998.0,3266997.0,0.9979,Drg1,overlapTSS
prL319,chr11,69323499.0,69324498.0,0.9979,Cntrob,overlapTSS
prL320,chr12,110590791.0,110591790.0,0.9979,Ppp2r5c,downstream
prL321,chr13,21780132.0,21781131.0,0.9979,Hist1h1b,overlapTSS
prL322,chr13,23744132.0,23745131.0,0.9979,Hist1h3c,genic
prL323,chr14,76110194.0,76111193.0,0.9979,1200011I18Rik,overlapTSS
prL324,chr15,80254571.0,80255570.0,0.9979,Atf4,overlapTSS
prL325,chr16,4879001.0,4880000.0,0.9979,Fam100a,genic
prL326,chr2,26910481.0,26911480.0,0.9979,Med22,overlapTSS
prL327,chr2,73891944.0,73892943.0,0.9979,Atf2,overlapTSS
prL328,chr2,127133265.0,127134264.0,0.9979,Ncaph,overlapTSS
prL329,chr5,110106982.0,110107981.0,0.9979,Gtpbp6,genic
prL330,chr6,134896983.0,134897982.0,0.9979,Gpr19,overlapTSS
prL331,chr8,71671102.0,71672101.0,0.9979,Unc13a,overlapTSS
prL332,chr8,72319102.0,72320101.0,0.9979,Klf2,genic
prL333,chr8,107056101.0,107057100.0,0.9979,Cog8,overlapTSS
prL334,chr9,104062671.0,104063670.0,0.9979,Nphp3,genic
prL335,chr9,113740883.0,113741882.0,0.9979,Clasp2,overlapTSS
prL336,chr9,122950883.0,122951882.0,0.9979,1110059G10Rik,overlapTSS
prL337,chr1,55237157.0,55238156.0,0.9978,RP23-93M3.2,genic
prL338,chr11,29547001.0,29548000.0,0.9978,Rps27a,genic
prL339,chr11,87986499.0,87987498.0,0.9978,Dynll2,genic
prL340,chr12,112828790.0,112829789.0,0.9978,Cdca4,overlapTSS
prL341,chr13,21717132.0,21718131.0,0.9978,Hist1h2ai,genic
prL342,chr13,21753132.0,21754131.0,0.9978,Hist1h2ak,genic
prL343,chr13,55209640.0,55210639.0,0.9978,Nsd1,overlapTSS
prL344,chr17,24707056.0,24708055.0,0.9978,Tbl3,overlapTSS
prL345,chr17,24850056.0,24851055.0,0.9978,Fahd1,overlapTSS
prL346,chr19,56821511.0,56822510.0,0.9978,A630007B06Rik,overlapTSS
prL347,chr3,96220078.0,96221077.0,0.9978,AC125099.7,overlapTSS
prL348,chr5,124115992.0,124116991.0,0.9978,Arl6ip4,overlapTSS
prL349,chr5,139775047.0,139776046.0,0.9978,Ints1,overlapTSS
prL350,chr7,45128631.0,45129630.0,0.9978,Rpl13a,overlapTSS
prL351,chr8,84978102.0,84979101.0,0.9978,Junb,overlapTSS
prL352,chr8,85555102.0,85556101.0,0.9978,Dnaja2,overlapTSS
prL353,chr8,121829101.0,121830100.0,0.9978,Galnt2,genic
prL354,chr8,123042101.0,123043100.0,0.9978,Galnt2,genic
prL355,chr9,31211416.0,31212415.0,0.9978,Aplp2,overlapTSS
prL356,chr9,31385416.0,31386415.0,0.9978,Nfrkb,overlapTSS
prL357,chr1,72243427.0,72244426.0,0.9977,AC114905.1,genic
prL358,chr1,92180424.0,92181423.0,0.9977,Hdac4,intergenic
prL359,chr10,80406256.0,80407255.0,0.9977,Uqcr,overlapTSS
prL360,chr13,23684132.0,23685131.0,0.9977,AL592149.1,overlapTSS
prL361,chr15,96460570.0,96461569.0,0.9977,Sfrs2ip,overlapTSS
prL362,chr17,46646052.0,46647051.0,0.9977,CT030702.2,genic
prL363,chr19,45005511.0,45006510.0,0.9977,Mrpl43,overlapTSS
prL364,chr2,26902481.0,26903480.0,0.9977,Surf6,overlapTSS
prL365,chr2,117120265.0,117121264.0,0.9977,Spred1,upstream
prL366,chr2,164879501.0,164880500.0,0.9977,Pcif1,genic
prL367,chr3,96559078.0,96560077.0,0.9977,AC122037.2,overlapTSS
prL368,chr4,86748097.0,86749096.0,0.9977,Dennd4c,overlapTSS
prL369,chr4,129741757.0,129742756.0,0.9977,Khdrbs1,overlapTSS
prL370,chr5,36747762.0,36748761.0,0.9977,Cno,genic
prL371,chr5,121544992.0,121545991.0,0.9977,Mapkapk5,overlapTSS
prL372,chr6,88518007.0,88519006.0,0.9977,Sec61a1,overlapTSS
prL373,chr7,19271652.0,19272651.0,0.9977,Vasp,overlapTSS
prL374,chr8,116993101.0,116994100.0,0.9977,Gcsh,overlapTSS
prL375,chrX,16618875.0,16619874.0,0.9977,Maoa,overlapTSS
prL376,chr11,107546687.0,107547686.0,0.9976,RP23-338K8.1,genic
