name,chr,start,end,length,cpgNum,gcNum,perCpg,perGc,obsExp
CpG: 86,chr1,43933652,43934550,898,86,594,19.2,66.1,0.88
CpG: 99,chr1,44101935,44102758,823,99,529,24.1,64.3,1.18
CpG: 58,chr1,44147610,44148213,603,58,386,19.2,64,0.95
CpG: 63,chr1,44551578,44552491,913,63,596,13.8,65.3,0.65
CpG: 47,chr1,45795375,45795757,382,47,271,24.6,70.9,1
CpG: 20,chr1,46425460,46425706,246,20,160,16.3,65,0.77
CpG: 168,chr1,46852696,46854053,1357,168,959,24.8,70.7,1
CpG: 77,chr1,50927047,50928062,1015,77,668,15.2,65.8,0.71
CpG: 48,chr1,51478159,51478621,462,48,312,20.8,67.5,0.97
CpG: 110,chr1,51915183,51916194,1011,110,720,21.8,71.2,0.86
CpG: 31,chr1,52113708,52113995,287,31,199,21.6,69.3,0.9
CpG: 39,chr1,52119293,52119737,444,39,297,17.6,66.9,0.79
CpG: 120,chr1,52232207,52233503,1296,120,785,18.5,60.6,1.01
CpG: 25,chr1,52500031,52500252,221,25,118,22.6,53.4,1.63
CpG: 36,chr1,52500508,52500827,319,36,208,22.6,65.2,1.07
CpG: 44,chr1,52630541,52630942,401,44,291,21.9,72.6,0.83
CpG: 76,chr1,52726791,52727529,738,76,470,20.6,63.7,1.02
CpG: 59,chr1,52817206,52817862,656,59,450,18,68.6,0.78
CpG: 28,chr1,52952626,52952957,331,28,235,16.9,71,0.67
CpG: 63,chr1,53296788,53297379,591,63,408,21.3,69,0.89
CpG: 33,chr1,53352464,53352777,313,33,205,21.1,65.5,0.99
CpG: 29,chr1,53706523,53706879,356,29,216,16.3,60.7,0.89
CpG: 75,chr1,53784769,53785369,600,75,411,25,68.5,1.07
CpG: 120,chr1,54194342,54195242,900,120,632,26.7,70.2,1.08
CpG: 19,chr1,54250569,54250800,231,19,150,16.5,64.9,0.78
CpG: 28,chr1,54438757,54439059,302,28,190,18.5,62.9,0.94
CpG: 49,chr1,54557255,54557805,550,49,362,17.8,65.8,0.83
CpG: 106,chr1,54925725,54926617,892,106,627,23.8,70.3,0.99
CpG: 17,chr1,54957230,54957497,267,17,151,12.7,56.6,0.8
CpG: 87,chr1,55026873,55027605,732,87,490,23.8,66.9,1.06
CpG: 90,chr1,55052507,55053297,790,90,542,22.8,68.6,0.98
CpG: 125,chr1,55087410,55088640,1230,125,814,20.3,66.2,0.93
CpG: 74,chr1,55131057,55131773,716,74,488,20.7,68.2,0.89
CpG: 93,chr1,55236985,55237816,831,93,552,22.4,66.4,1.02
CpG: 115,chr1,55362481,55363657,1176,115,691,19.6,58.8,1.13
CpG: 109,chr1,55405582,55406648,1066,109,710,20.5,66.6,0.93
CpG: 28,chr1,56969619,56969873,254,28,178,22,70.1,0.91
CpG: 24,chr1,56970858,56971119,261,24,167,18.4,64,0.91
CpG: 176,chr1,56971509,56973501,1992,176,1227,17.7,61.6,0.93
CpG: 25,chr1,56977104,56977392,288,25,183,17.4,63.5,0.86
CpG: 67,chr1,57377474,57378019,545,67,378,24.6,69.4,1.04
CpG: 74,chr1,57406137,57407067,930,74,595,15.9,64,0.78
CpG: 108,chr1,57774698,57775632,934,108,624,23.1,66.8,1.04
CpG: 56,chr1,57969733,57970245,512,56,353,21.9,68.9,0.93
CpG: 46,chr1,57995863,57996253,390,46,266,23.6,68.2,1.02
CpG: 95,chr1,58392748,58393897,1149,95,637,16.5,55.4,1.09
CpG: 80,chr1,58423343,58424130,787,80,488,20.3,62,1.06
CpG: 31,chr1,58445081,58445545,464,31,285,13.4,61.4,0.72
CpG: 65,chr1,58504543,58505162,619,65,430,21,69.5,0.87
CpG: 40,chr1,58585919,58586427,508,40,328,15.7,64.6,0.88
CpG: 40,chr1,58711442,58711764,322,40,223,24.8,69.3,1.04
CpG: 21,chr1,58713384,58713657,273,21,165,15.4,60.4,0.84
CpG: 28,chr1,58795582,58795852,270,28,183,20.7,67.8,0.91
CpG: 83,chr1,58973210,58974117,907,83,627,18.3,69.1,0.77
CpG: 68,chr1,59119822,59120480,658,68,460,20.7,69.9,0.85
CpG: 61,chr1,59236919,59237493,574,61,391,21.3,68.1,0.92
CpG: 185,chr1,59481951,59483937,1986,185,1293,18.6,65.1,0.88
CpG: 20,chr1,59670696,59670900,204,20,125,19.6,61.3,1.05
CpG: 35,chr1,59684856,59685215,359,35,208,19.5,57.9,1.17
CpG: 142,chr1,59762785,59764213,1428,142,887,19.9,62.1,1.03
CpG: 118,chr1,59912548,59913890,1342,118,772,17.6,57.5,1.08
CpG: 81,chr1,60042646,60043499,853,81,491,19,57.6,1.15
CpG: 62,chr1,60098156,60098777,621,62,419,20,67.5,0.88
CpG: 30,chr1,60180214,60180489,275,30,196,21.8,71.3,0.86
CpG: 51,chr1,60343255,60343657,402,51,291,25.4,72.4,0.97
CpG: 103,chr1,60409278,60410251,973,103,604,21.2,62.1,1.1
CpG: 139,chr1,60566182,60567260,1078,139,814,25.8,75.5,0.92
CpG: 78,chr1,61638736,61639406,670,78,485,23.3,72.4,0.89
CpG: 86,chr1,62702838,62703748,910,86,589,18.9,64.7,0.9
CpG: 88,chr1,62705850,62707032,1182,88,720,14.9,60.9,0.8
CpG: 77,chr1,63113485,63114349,864,77,479,17.8,55.4,1.16
CpG: 44,chr1,63248289,63248615,326,44,230,27,70.6,1.12
CpG: 90,chr1,63273063,63273913,850,90,481,21.2,56.6,1.35
CpG: 17,chr1,63365284,63365489,205,17,133,16.6,64.9,0.79
CpG: 95,chr1,63445715,63446529,814,95,569,23.3,69.9,0.96
CpG: 56,chr1,64121613,64122142,529,56,363,21.2,68.6,0.92
CpG: 131,chr1,64532367,64533738,1371,131,831,19.1,60.6,1.04
CpG: 83,chr1,64616945,64617792,847,83,564,19.6,66.6,0.88
CpG: 108,chr1,64690534,64691585,1051,108,645,20.6,61.4,1.1
CpG: 241,chr1,64734847,64737979,3132,241,1970,15.4,62.9,0.78
CpG: 41,chr1,64956498,64956870,372,41,264,22,71,0.89
CpG: 21,chr1,64994405,64994627,222,21,139,18.9,62.6,0.97
CpG: 38,chr1,65178904,65179373,469,38,307,16.2,65.5,0.76
CpG: 59,chr1,65186379,65187053,674,59,399,17.5,59.2,1.03
CpG: 29,chr1,66175311,66175645,334,29,222,17.4,66.5,0.79
CpG: 68,chr1,66468022,66468623,601,68,435,22.6,72.4,0.87
CpG: 17,chr1,66677401,66677639,238,17,141,14.3,59.2,0.83
CpG: 60,chr1,66700752,66701351,599,60,407,20,67.9,0.87
CpG: 132,chr1,66816436,66817867,1431,132,894,18.4,62.5,0.97
CpG: 31,chr1,66862839,66863146,307,31,214,20.2,69.7,0.83
CpG: 42,chr1,67038520,67038937,417,42,276,20.1,66.2,0.92
CpG: 91,chr1,69107034,69108055,1021,91,682,17.8,66.8,0.8
CpG: 16,chr1,69376995,69377218,223,16,146,14.3,65.5,0.67
CpG: 20,chr1,69377803,69378045,242,20,158,16.5,65.3,0.78
CpG: 35,chr1,69826863,69827202,339,35,238,20.6,70.2,0.87
CpG: 72,chr1,71102404,71103220,816,72,532,17.6,65.2,0.84
CpG: 40,chr1,71556948,71557367,419,40,299,19.1,71.4,0.76
CpG: 58,chr1,71652697,71653358,661,58,441,17.5,66.7,0.79
CpG: 65,chr1,72211749,72212422,673,65,401,19.3,59.6,1.1
CpG: 31,chr1,72225934,72226218,284,31,187,21.8,65.8,1.12
CpG: 48,chr1,72236403,72236924,521,48,329,18.4,63.1,0.93
CpG: 39,chr1,72243822,72244197,375,39,241,20.8,64.3,1.09
CpG: 25,chr1,72254745,72254986,241,25,156,20.7,64.7,1.08
CpG: 22,chr1,72536152,72536389,237,22,165,18.6,69.6,0.77
CpG: 22,chr1,72536961,72537217,256,22,177,17.2,69.1,0.72
CpG: 46,chr1,72640793,72641380,587,46,321,15.7,54.7,1.05
CpG: 72,chr1,72710861,72711718,857,72,486,16.8,56.7,1.05
CpG: 32,chr1,72824693,72824937,244,32,177,26.2,72.5,1
CpG: 20,chr1,72825362,72825653,291,20,176,13.7,60.5,0.78
CpG: 27,chr1,72873698,72873966,268,27,181,20.1,67.5,0.91
CpG: 27,chr1,73907271,73907503,232,27,144,23.3,62.1,1.29
CpG: 29,chr1,74036952,74037248,296,29,215,19.6,72.6,0.74
CpG: 35,chr1,74068492,74068975,483,35,325,14.5,67.3,0.64
CpG: 48,chr1,74098213,74098786,573,48,391,16.8,68.2,0.72
CpG: 65,chr1,74124244,74124923,679,65,436,19.1,64.2,0.94
CpG: 52,chr1,74236580,74237193,613,52,379,17,61.8,0.9
CpG: 61,chr1,74284463,74285135,672,61,434,18.2,64.6,0.87
CpG: 50,chr1,74303866,74304355,489,50,324,20.4,66.3,0.94
CpG: 38,chr1,74332449,74332824,375,38,264,20.3,70.4,0.82
CpG: 93,chr1,74391332,74392430,1098,93,635,16.9,57.8,1.02
CpG: 112,chr1,74505461,74506819,1358,112,841,16.5,61.9,0.86
CpG: 62,chr1,74587633,74588472,839,62,535,14.8,63.8,0.73
CpG: 27,chr1,74601094,74601459,365,27,219,14.8,60,0.84
CpG: 56,chr1,74661672,74662164,492,56,347,22.8,70.5,0.92
CpG: 20,chr1,74713618,74713831,213,20,150,18.8,70.4,0.76
CpG: 25,chr1,74748732,74749045,313,25,209,16,66.8,0.72
CpG: 55,chr1,74771686,74772209,523,55,342,21,65.4,1.06
CpG: 24,chr1,74782669,74783024,355,24,216,13.5,60.8,0.78
CpG: 67,chr1,74784035,74784616,581,67,401,23.1,69,0.98
CpG: 44,chr1,74791733,74792242,509,44,376,17.3,73.9,0.65
CpG: 22,chr1,74800537,74800744,207,22,134,21.3,64.7,1.02
CpG: 43,chr1,74803204,74803609,405,43,279,21.2,68.9,0.9
CpG: 25,chr1,74816944,74817187,243,25,167,20.6,68.7,0.89
CpG: 149,chr1,74854859,74856469,1610,149,985,18.5,61.2,0.99
CpG: 16,chr1,74858468,74858684,216,16,134,14.8,62,0.85
CpG: 60,chr1,74881947,74882612,665,60,394,18,59.2,1.04
CpG: 95,chr1,74884301,74885613,1312,95,848,14.5,64.6,0.69
CpG: 33,chr1,74892725,74893136,411,33,262,16.1,63.7,0.79
CpG: 48,chr1,74900555,74900984,429,48,303,22.4,70.6,0.9
CpG: 126,chr1,74950631,74952093,1462,126,918,17.2,62.8,0.88
CpG: 38,chr1,75124739,75125149,410,38,256,18.5,62.4,0.98
CpG: 132,chr1,75141432,75143190,1758,132,1027,15,58.4,0.88
CpG: 42,chr1,75168558,75168942,384,42,274,21.9,71.4,0.88
CpG: 27,chr1,75210804,75211065,261,27,178,20.7,68.2,0.9
CpG: 66,chr1,75219212,75219982,770,66,488,17.1,63.4,0.85
CpG: 47,chr1,75236419,75236960,541,47,362,17.4,66.9,0.78
CpG: 17,chr1,75251753,75251964,211,17,136,16.1,64.5,0.78
CpG: 98,chr1,75317105,75318069,964,98,663,20.3,68.8,0.93
CpG: 71,chr1,75360355,75360970,615,71,422,23.1,68.6,0.98
CpG: 17,chr1,75369572,75369788,216,17,119,15.7,55.1,1.05
CpG: 47,chr1,75375225,75375786,561,47,394,16.8,70.2,0.68
CpG: 36,chr1,75381924,75382387,463,36,286,15.6,61.8,0.82
CpG: 21,chr1,75384918,75385180,262,21,177,16,67.6,0.71
CpG: 107,chr1,75387985,75389104,1119,107,775,19.1,69.3,0.8
CpG: 120,chr1,75421988,75423440,1452,120,998,16.5,68.7,0.7
CpG: 22,chr1,75450376,75450680,304,22,181,14.5,59.5,0.87
CpG: 20,chr1,75458558,75458772,214,20,150,18.7,70.1,0.82
CpG: 16,chr1,75475043,75475252,209,16,135,15.3,64.6,0.74
CpG: 20,chr1,75475918,75476150,232,20,147,17.2,63.4,0.86
CpG: 117,chr1,75478669,75479786,1117,117,824,20.9,73.8,0.77
CpG: 27,chr1,75482645,75483019,374,27,253,14.4,67.6,0.63
CpG: 20,chr1,75486710,75486948,238,20,151,16.8,63.4,0.84
CpG: 50,chr1,75487636,75488078,442,50,299,22.6,67.6,0.99
CpG: 21,chr1,75503722,75503961,239,21,147,17.6,61.5,0.94
CpG: 138,chr1,75505201,75506384,1183,138,835,23.3,70.6,0.94
CpG: 43,chr1,75521431,75521985,554,43,326,15.5,58.8,0.9
CpG: 54,chr1,75546264,75546756,492,54,369,22,75,0.79
CpG: 77,chr1,77514349,77515453,1104,77,672,13.9,60.9,0.76
CpG: 26,chr1,78189565,78189829,264,26,166,19.7,62.9,1.03
CpG: 49,chr1,78196631,78197287,656,49,414,14.9,63.1,0.75
CpG: 25,chr1,78203836,78204189,353,25,200,14.2,56.7,0.96
CpG: 23,chr1,78215957,78216242,285,23,164,16.1,57.5,0.98
CpG: 113,chr1,78216544,78217797,1253,113,744,18,59.4,1.02
CpG: 68,chr1,78310063,78310738,675,68,467,20.1,69.2,0.85
CpG: 43,chr1,78488483,78488916,433,43,284,19.9,65.6,0.92
CpG: 20,chr1,78511827,78512070,243,20,158,16.5,65,0.8
CpG: 117,chr1,78657622,78658549,927,117,681,25.2,73.5,0.95
CpG: 33,chr1,79671574,79671937,363,33,244,18.2,67.2,0.81
CpG: 61,chr1,79761251,79761833,582,61,399,21,68.6,0.89
CpG: 37,chr1,79775983,79776386,403,37,266,18.4,66,0.84
CpG: 90,chr1,79858193,79859006,813,90,533,22.1,65.6,1.03
CpG: 78,chr1,80758071,80758785,714,78,502,21.8,70.3,0.89
CpG: 30,chr1,82283183,82283558,375,30,254,16,67.7,0.7
CpG: 127,chr1,82290195,82291822,1627,127,957,15.6,58.8,0.91
CpG: 56,chr1,82316445,82316916,471,56,319,23.8,67.7,1.06
CpG: 43,chr1,82724792,82725181,389,43,269,22.1,69.2,0.94
CpG: 109,chr1,82839328,82840320,992,109,705,22,71.1,0.88
CpG: 31,chr1,84284316,84284612,296,31,208,20.9,70.3,0.86
CpG: 27,chr1,84695498,84695745,247,27,160,21.9,64.8,1.06
CpG: 159,chr1,84838454,84840300,1846,159,1198,17.2,64.9,0.88
CpG: 135,chr1,85793327,85794491,1164,135,786,23.2,67.5,1.02
CpG: 43,chr1,85894474,85894906,432,43,295,19.9,68.3,0.88
CpG: 53,chr1,86018289,86018836,547,53,364,19.4,66.5,0.88
CpG: 105,chr1,86045856,86046583,727,105,556,28.9,76.5,1.01
CpG: 56,chr1,86064458,86065168,710,56,462,15.8,65.1,0.75
CpG: 38,chr1,86154608,86155041,433,38,288,17.6,66.5,0.8
CpG: 73,chr1,86303140,86303984,844,73,569,17.3,67.4,0.76
CpG: 155,chr1,86358611,86360007,1396,155,944,22.2,67.6,0.98
CpG: 49,chr1,86434301,86434867,566,49,397,17.3,70.1,0.71
CpG: 96,chr1,86441992,86443154,1162,96,725,16.5,62.4,0.85
CpG: 87,chr1,86487213,86488016,803,87,504,21.7,62.8,1.1
CpG: 60,chr1,86503849,86504493,644,60,439,18.6,68.2,0.8
CpG: 361,chr1,86524827,86528579,3752,361,2420,19.2,64.5,0.93
CpG: 42,chr1,86582144,86582638,494,42,335,17,67.8,0.77
CpG: 33,chr1,86587037,86587467,430,33,275,15.3,64,0.76
CpG: 93,chr1,86669612,86670874,1262,93,782,14.7,62,0.77
CpG: 67,chr1,86703618,86704161,543,67,385,24.7,70.9,1
CpG: 25,chr1,87098682,87098940,258,25,176,19.4,68.2,0.85
CpG: 126,chr1,87153912,87155085,1173,126,802,21.5,68.4,0.92
CpG: 32,chr1,87155838,87156120,282,32,200,22.7,70.9,0.93
CpG: 54,chr1,87186574,87187227,653,54,388,16.5,59.4,0.95
CpG: 64,chr1,87213816,87214382,566,64,362,22.6,64,1.11
CpG: 69,chr1,87264206,87264956,750,69,495,18.4,66,0.85
CpG: 75,chr1,87326822,87327563,741,75,516,20.2,69.6,0.84
