name,chr,start,end,score
H3.3_105,chr1,11745214.0,11745575.0,187.68
H3.3_106,chr1,11748480.0,11748896.0,133.18
H3.3_107,chr1,12025649.0,12026402.0,393.14
H3.3_108,chr1,12574721.0,12575221.0,185.31
H3.3_109,chr1,12578690.0,12578875.0,58.76
H3.3_110,chr1,12636665.0,12637264.0,154.24
H3.3_111,chr1,12690774.0,12691187.0,125.76
H3.3_112,chr1,12691768.0,12692178.0,101.77
H3.3_113,chr1,12692386.0,12692741.0,50.2
H3.3_114,chr1,12692955.0,12693295.0,129.74
H3.3_115,chr1,12707643.0,12707867.0,50.46
H3.3_116,chr1,12711356.0,12711912.0,145.28
H3.3_117,chr1,12715732.0,12715996.0,55.0
H3.3_118,chr1,12717854.0,12718383.0,125.14
H3.3_119,chr1,12718452.0,12719151.0,115.14
H3.3_120,chr1,12744935.0,12745422.0,66.81
H3.3_121,chr1,12748617.0,12748887.0,54.02
H3.3_122,chr1,12748990.0,12749378.0,73.3
H3.3_123,chr1,12753307.0,12753694.0,90.79
H3.3_124,chr1,12763277.0,12763762.0,94.46
H3.3_125,chr1,12781682.0,12782004.0,60.04
H3.3_126,chr1,12785543.0,12785869.0,67.52
H3.3_127,chr1,12790677.0,12790961.0,78.23
H3.3_128,chr1,12795301.0,12795871.0,98.22
H3.3_129,chr1,12806401.0,12806712.0,50.93
H3.3_130,chr1,12807842.0,12808175.0,57.74
H3.3_131,chr1,12808531.0,12808807.0,59.85
H3.3_132,chr1,12811011.0,12811676.0,200.4
H3.3_133,chr1,12813666.0,12814097.0,113.26
H3.3_134,chr1,12814142.0,12814887.0,218.09
H3.3_135,chr1,12834436.0,12834830.0,68.79
H3.3_136,chr1,12835118.0,12835829.0,150.97
H3.3_137,chr1,12835983.0,12836407.0,81.7
H3.3_138,chr1,12837288.0,12837632.0,60.35
H3.3_139,chr1,12841596.0,12841943.0,80.57
H3.3_140,chr1,12989657.0,12990050.0,51.77
H3.3_141,chr1,12990327.0,12991135.0,218.64
H3.3_142,chr1,12992452.0,12992856.0,55.39
H3.3_143,chr1,13011274.0,13011562.0,59.85
H3.3_144,chr1,13058273.0,13058747.0,56.67
H3.3_145,chr1,13059712.0,13060138.0,64.24
H3.3_146,chr1,13069329.0,13069798.0,137.87
H3.3_147,chr1,13072118.0,13072746.0,79.76
H3.3_148,chr1,13073453.0,13073733.0,70.43
H3.3_149,chr1,13073741.0,13074342.0,288.52
H3.3_150,chr1,13075160.0,13075524.0,114.85
H3.3_151,chr1,13078788.0,13078980.0,61.56
H3.3_152,chr1,13079110.0,13079518.0,125.55
H3.3_153,chr1,13080748.0,13081117.0,94.75
H3.3_154,chr1,13081320.0,13081680.0,56.18
H3.3_155,chr1,13083437.0,13083752.0,99.25
H3.3_156,chr1,13083951.0,13084837.0,305.09
H3.3_157,chr1,13085211.0,13086118.0,339.16
H3.3_158,chr1,13086340.0,13086759.0,92.63
H3.3_159,chr1,13095422.0,13095744.0,67.93
H3.3_160,chr1,13095811.0,13096729.0,119.7
H3.3_161,chr1,13100695.0,13101032.0,60.04
H3.3_162,chr1,13101994.0,13102446.0,106.42
H3.3_163,chr1,13103434.0,13103763.0,83.5
H3.3_164,chr1,13103846.0,13104220.0,93.74
H3.3_165,chr1,13104225.0,13104505.0,50.15
H3.3_166,chr1,13104952.0,13105363.0,70.11
H3.3_167,chr1,13124327.0,13124752.0,66.09
H3.3_168,chr1,13127883.0,13128196.0,64.16
H3.3_169,chr1,13128335.0,13128873.0,162.96
H3.3_170,chr1,13132320.0,13132535.0,52.99
H3.3_171,chr1,13135664.0,13136039.0,83.86
H3.3_172,chr1,13136257.0,13136478.0,56.52
H3.3_173,chr1,13142287.0,13142707.0,176.09
H3.3_174,chr1,13142721.0,13143072.0,88.66
H3.3_175,chr1,13145351.0,13146364.0,280.46
H3.3_176,chr1,13146387.0,13147170.0,157.01
H3.3_177,chr1,13216427.0,13216887.0,60.89
H3.3_178,chr1,13253487.0,13253811.0,56.9
H3.3_179,chr1,13253821.0,13254197.0,73.41
H3.3_180,chr1,13308519.0,13308979.0,84.12
H3.3_181,chr1,13332288.0,13332555.0,57.9
H3.3_182,chr1,13336425.0,13336688.0,71.5
H3.3_183,chr1,13589529.0,13589752.0,50.39
H3.3_184,chr1,13606583.0,13607160.0,122.75
H3.3_185,chr1,13624458.0,13624696.0,90.97
H3.3_186,chr1,13659985.0,13660457.0,70.97
H3.3_187,chr1,13662991.0,13663245.0,50.16
H3.3_188,chr1,13664947.0,13665341.0,79.1
H3.3_189,chr1,13795236.0,13795595.0,111.49
H3.3_190,chr1,13872471.0,13872669.0,50.91
H3.3_191,chr1,13930978.0,13931236.0,82.51
H3.3_192,chr1,14186570.0,14186827.0,70.45
H3.3_193,chr1,14292103.0,14292333.0,51.9
H3.3_194,chr1,14294498.0,14294810.0,111.77
H3.3_195,chr1,14755621.0,14755925.0,65.88
H3.3_196,chr1,14756157.0,14756724.0,130.58
H3.3_197,chr1,14756777.0,14757479.0,267.17
H3.3_198,chr1,14920474.0,14920794.0,58.9
H3.3_199,chr1,15793347.0,15793570.0,63.39
H3.3_200,chr1,15804986.0,15805233.0,58.52
H3.3_201,chr1,15813409.0,15814275.0,338.92
H3.3_202,chr1,15827942.0,15828118.0,62.38
H3.3_203,chr1,15833333.0,15833608.0,62.01
H3.3_204,chr1,16090300.0,16090690.0,157.83
H3.3_205,chr1,16093426.0,16093823.0,68.3
H3.3_206,chr1,16098422.0,16098666.0,60.92
H3.3_207,chr1,16099192.0,16099511.0,52.93
H3.3_208,chr1,16099514.0,16100672.0,441.49
H3.3_209,chr1,16129383.0,16129734.0,51.69
H3.3_210,chr1,16130140.0,16130855.0,228.68
H3.3_211,chr1,16517828.0,16517986.0,52.82
H3.3_212,chr1,16616455.0,16616879.0,63.45
H3.3_213,chr1,16641704.0,16641975.0,80.84
H3.3_214,chr1,16641978.0,16642414.0,91.88
H3.3_215,chr1,16646970.0,16647226.0,56.16
H3.3_216,chr1,16656354.0,16656992.0,117.26
H3.3_217,chr1,17205242.0,17205552.0,107.01
H3.3_218,chr1,17239787.0,17239922.0,51.73
H3.3_219,chr1,17523861.0,17524088.0,51.48
H3.3_220,chr1,17540288.0,17540663.0,83.08
H3.3_221,chr1,17931645.0,17931848.0,97.74
H3.3_222,chr1,17983871.0,17984002.0,53.4
H3.3_223,chr1,18077600.0,18077760.0,53.41
H3.3_224,chr1,18246011.0,18246180.0,50.14
H3.3_225,chr1,20759902.0,20760281.0,125.44
H3.3_226,chr1,20762214.0,20762481.0,54.02
H3.3_227,chr1,20786716.0,20786958.0,52.06
H3.3_228,chr1,20797263.0,20797424.0,51.56
H3.3_229,chr1,20797436.0,20797680.0,88.06
H3.3_230,chr1,20800916.0,20801384.0,107.96
H3.3_231,chr1,20803240.0,20803698.0,72.74
H3.3_232,chr1,20803716.0,20804291.0,89.67
H3.3_233,chr1,20804768.0,20805580.0,115.98
H3.3_234,chr1,20806577.0,20807015.0,53.0
H3.3_235,chr1,20807476.0,20807962.0,84.83
H3.3_236,chr1,20808008.0,20808502.0,83.98
H3.3_237,chr1,20808775.0,20809236.0,79.53
H3.3_238,chr1,20812042.0,20812359.0,50.2
H3.3_239,chr1,20867610.0,20868323.0,102.33
H3.3_240,chr1,20905848.0,20906562.0,195.88
H3.3_241,chr1,20908031.0,20908294.0,59.99
H3.3_242,chr1,20908775.0,20909195.0,137.94
H3.3_243,chr1,20909356.0,20909568.0,50.35
H3.3_244,chr1,20955437.0,20955701.0,55.24
H3.3_245,chr1,20974758.0,20975017.0,51.33
H3.3_246,chr1,21026654.0,21026875.0,54.74
H3.3_247,chr1,21067563.0,21067974.0,97.1
H3.3_248,chr1,21167157.0,21167372.0,52.99
H3.3_249,chr1,21252508.0,21252975.0,216.1
H3.3_250,chr1,21254167.0,21254378.0,53.5
H3.3_251,chr1,21255681.0,21256282.0,251.46
H3.3_252,chr1,21257591.0,21257860.0,60.16
H3.3_253,chr1,22386821.0,22387104.0,50.2
H3.3_254,chr1,22533105.0,22533463.0,75.36
H3.3_255,chr1,23906994.0,23907147.0,51.05
H3.3_256,chr1,23935110.0,23935492.0,80.92
H3.3_257,chr1,23958379.0,23958666.0,76.12
H3.3_258,chr1,23959404.0,23959806.0,134.55
H3.3_259,chr1,23962302.0,23962558.0,56.07
H3.3_260,chr1,23970200.0,23970471.0,110.13
H3.3_261,chr1,23972446.0,23972649.0,76.71
H3.3_262,chr1,23994024.0,23994211.0,64.12
H3.3_263,chr1,25013291.0,25013622.0,117.62
H3.3_264,chr1,25888563.0,25888755.0,63.78
H3.3_265,chr1,30525980.0,30526363.0,136.06
H3.3_266,chr1,30526919.0,30527142.0,74.48
H3.3_267,chr1,30527264.0,30527413.0,51.58
H3.3_268,chr1,30779695.0,30779926.0,69.15
H3.3_269,chr1,30803906.0,30804374.0,68.06
H3.3_270,chr1,30804599.0,30805037.0,88.76
H3.3_271,chr1,30805651.0,30806195.0,84.01
H3.3_272,chr1,30808043.0,30808573.0,56.99
H3.3_273,chr1,30848244.0,30848539.0,54.14
H3.3_274,chr1,30848665.0,30848854.0,53.78
H3.3_275,chr1,30867950.0,30868163.0,60.66
H3.3_276,chr1,30873982.0,30874335.0,154.15
H3.3_277,chr1,30937892.0,30938285.0,96.4
H3.3_278,chr1,30943677.0,30943951.0,89.42
H3.3_279,chr1,30944059.0,30944576.0,128.38
H3.3_280,chr1,30949949.0,30950372.0,114.79
H3.3_281,chr1,31233866.0,31234138.0,52.47
H3.3_282,chr1,31906323.0,31906467.0,53.94
H3.3_283,chr1,33271896.0,33272153.0,107.5
H3.3_284,chr1,33555761.0,33556038.0,76.5
H3.3_285,chr1,33556089.0,33556395.0,55.89
H3.3_286,chr1,33599943.0,33600135.0,55.89
H3.3_287,chr1,33636030.0,33636992.0,195.75
H3.3_288,chr1,33643342.0,33643594.0,50.16
H3.3_289,chr1,33650693.0,33651105.0,132.53
H3.3_290,chr1,33667718.0,33668003.0,59.85
H3.3_291,chr1,33669921.0,33670727.0,176.58
H3.3_292,chr1,33714118.0,33714579.0,79.32
H3.3_293,chr1,33717015.0,33717235.0,82.08
H3.3_294,chr1,33718814.0,33719082.0,51.29
H3.3_295,chr1,33722074.0,33722449.0,61.47
H3.3_296,chr1,33735478.0,33735880.0,117.15
H3.3_297,chr1,33736070.0,33736282.0,50.16
H3.3_298,chr1,33737472.0,33737775.0,78.57
H3.3_299,chr1,33738304.0,33739548.0,305.59
H3.3_300,chr1,33739773.0,33740540.0,100.74
H3.3_301,chr1,33741551.0,33741791.0,59.59
H3.3_302,chr1,33742576.0,33743064.0,146.4
H3.3_303,chr1,33755784.0,33756114.0,68.9
H3.3_304,chr1,33756290.0,33756819.0,79.47
H3.3_305,chr1,33757974.0,33758384.0,79.59
H3.3_306,chr1,33758488.0,33758808.0,90.94
H3.3_307,chr1,33759355.0,33759688.0,78.76
H3.3_308,chr1,33781460.0,33781707.0,70.33
H3.3_309,chr1,33833380.0,33833699.0,60.4
H3.3_310,chr1,33880237.0,33880611.0,52.62
H3.3_311,chr1,33893688.0,33894113.0,109.78
H3.3_312,chr1,33894367.0,33894691.0,84.11
H3.3_313,chr1,33902832.0,33903176.0,65.53
H3.3_314,chr1,33903256.0,33903520.0,61.58
H3.3_315,chr1,33908289.0,33909704.0,269.69
H3.3_316,chr1,33927336.0,33927715.0,77.37
H3.3_317,chr1,33932256.0,33932613.0,84.75
H3.3_318,chr1,33936732.0,33937034.0,52.79
H3.3_319,chr1,33938934.0,33939282.0,99.18
H3.3_320,chr1,33939659.0,33940137.0,105.16
H3.3_321,chr1,33940744.0,33941039.0,53.53
H3.3_322,chr1,33941745.0,33942128.0,61.86
H3.3_323,chr1,33944838.0,33945147.0,78.71
H3.3_324,chr1,33945167.0,33946243.0,133.26
H3.3_325,chr1,33947032.0,33947448.0,68.45
H3.3_326,chr1,33962301.0,33962693.0,63.1
H3.3_327,chr1,33963118.0,33963341.0,56.07
H3.3_328,chr1,33963440.0,33963780.0,88.3
H3.3_329,chr1,33963809.0,33964387.0,135.04
H3.3_330,chr1,33966704.0,33967026.0,60.03
H3.3_331,chr1,33970274.0,33970579.0,78.23
H3.3_332,chr1,33971823.0,33972256.0,55.68
H3.3_333,chr1,34004820.0,34005603.0,360.0
H3.3_334,chr1,34006868.0,34007160.0,54.14
H3.3_335,chr1,34007511.0,34008120.0,278.36
H3.3_336,chr1,34010224.0,34010569.0,86.27
H3.3_337,chr1,34011816.0,34012145.0,82.58
H3.3_338,chr1,34016611.0,34016836.0,54.03
H3.3_339,chr1,34017327.0,34017659.0,51.93
H3.3_340,chr1,34020069.0,34020326.0,55.07
H3.3_341,chr1,34030185.0,34030646.0,78.13
H3.3_342,chr1,34030657.0,34031093.0,62.52
H3.3_343,chr1,34038270.0,34038815.0,87.94
H3.3_344,chr1,34040877.0,34041116.0,55.55
H3.3_345,chr1,34051291.0,34051651.0,50.72
H3.3_346,chr1,34057968.0,34058258.0,88.78
H3.3_347,chr1,34058871.0,34059157.0,50.19
H3.3_348,chr1,34059170.0,34059674.0,141.55
H3.3_349,chr1,34067549.0,34067898.0,56.18
H3.3_350,chr1,34068603.0,34069008.0,63.84
H3.3_351,chr1,34070228.0,34070876.0,165.1
H3.3_352,chr1,34071275.0,34071530.0,67.98
H3.3_353,chr1,34073458.0,34074387.0,204.0
H3.3_354,chr1,34074641.0,34075407.0,445.64
H3.3_355,chr1,34077097.0,34077349.0,58.49
H3.3_356,chr1,34077544.0,34077904.0,98.07
H3.3_357,chr1,34086349.0,34086594.0,54.01
H3.3_358,chr1,34093879.0,34094229.0,51.63
H3.3_359,chr1,34097465.0,34097610.0,60.66
H3.3_360,chr1,34102719.0,34102992.0,76.5
H3.3_361,chr1,34103177.0,34104208.0,214.08
H3.3_362,chr1,34106688.0,34107271.0,216.02
H3.3_363,chr1,34107284.0,34107499.0,66.67
H3.3_364,chr1,34109607.0,34109858.0,54.02
H3.3_365,chr1,34113876.0,34114121.0,53.04
H3.3_366,chr1,34115038.0,34115424.0,75.23
H3.3_367,chr1,34127736.0,34128022.0,117.94
H3.3_368,chr1,34139260.0,34139894.0,225.15
H3.3_369,chr1,34140225.0,34141150.0,273.98
H3.3_370,chr1,34143544.0,34143837.0,92.38
H3.3_371,chr1,34152148.0,34152568.0,77.37
H3.3_372,chr1,34157824.0,34158109.0,78.23
H3.3_373,chr1,34162743.0,34163159.0,79.66
H3.3_374,chr1,34164087.0,34164467.0,122.31
H3.3_375,chr1,34167344.0,34167812.0,95.36
H3.3_376,chr1,34167969.0,34168129.0,55.16
H3.3_377,chr1,34174591.0,34174839.0,77.67
H3.3_378,chr1,34177099.0,34177338.0,77.38
H3.3_379,chr1,34177616.0,34178997.0,193.44
H3.3_380,chr1,34181152.0,34181484.0,51.14
H3.3_381,chr1,34188579.0,34189077.0,122.97
H3.3_382,chr1,34199891.0,34201379.0,247.7
H3.3_383,chr1,34216480.0,34216723.0,60.48
H3.3_384,chr1,34217020.0,34217547.0,109.43
H3.3_385,chr1,34231595.0,34231849.0,55.96
H3.3_386,chr1,34233155.0,34233470.0,60.56
H3.3_387,chr1,34263699.0,34264010.0,50.2
H3.3_388,chr1,34287170.0,34287484.0,138.24
H3.3_389,chr1,34292607.0,34293138.0,65.25
H3.3_390,chr1,34302488.0,34302957.0,79.66
H3.3_391,chr1,34306796.0,34307111.0,68.1
H3.3_392,chr1,34307300.0,34307657.0,111.84
H3.3_393,chr1,34432324.0,34432723.0,90.89
H3.3_394,chr1,34432764.0,34433099.0,72.88
H3.3_395,chr1,34433807.0,34434120.0,76.5
H3.3_396,chr1,34443731.0,34444439.0,156.66
H3.3_397,chr1,34444459.0,34444788.0,90.21
H3.3_398,chr1,34446309.0,34446675.0,66.23
H3.3_399,chr1,34448381.0,34448786.0,136.51
H3.3_400,chr1,34458535.0,34458832.0,64.18
H3.3_401,chr1,34467939.0,34468720.0,261.42
H3.3_402,chr1,34471274.0,34471868.0,60.07
H3.3_403,chr1,34471896.0,34472322.0,66.09
H3.3_404,chr1,34473713.0,34474102.0,91.27
H3.3_405,chr1,34485426.0,34485857.0,135.01
H3.3_406,chr1,34535544.0,34536003.0,100.32
H3.3_407,chr1,34536756.0,34537606.0,110.44
H3.3_408,chr1,34543999.0,34544553.0,117.02
H3.3_409,chr1,34578714.0,34579471.0,176.36
H3.3_410,chr1,34749549.0,34750167.0,82.91
H3.3_411,chr1,34802764.0,34803380.0,103.81
H3.3_412,chr1,34806900.0,34807392.0,111.78
H3.3_413,chr1,34838331.0,34838550.0,54.5
H3.3_414,chr1,34839150.0,34839648.0,113.38
H3.3_415,chr1,34851579.0,34852154.0,175.58
H3.3_416,chr1,35114596.0,35116279.0,1431.33
H3.3_417,chr1,35193733.0,35194052.0,90.82
H3.3_418,chr1,35220033.0,35220228.0,89.92
H3.3_419,chr1,35220716.0,35221073.0,244.87
H3.3_420,chr1,35221080.0,35221380.0,108.58
H3.3_421,chr1,35231822.0,35232507.0,165.7
H3.3_422,chr1,35371037.0,35371225.0,73.58
H3.3_423,chr1,35697328.0,35698205.0,251.32
H3.3_424,chr1,35750072.0,35750568.0,128.86
H3.3_425,chr1,35822624.0,35823661.0,269.68
H3.3_426,chr1,35824650.0,35825285.0,178.51
H3.3_427,chr1,35825477.0,35825740.0,59.32
H3.3_428,chr1,35825895.0,35826273.0,129.11
H3.3_429,chr1,35841502.0,35842001.0,112.97
H3.3_430,chr1,35850589.0,35850950.0,60.8
H3.3_431,chr1,35881709.0,35882521.0,219.13
H3.3_432,chr1,35941713.0,35942605.0,163.49
H3.3_433,chr1,35943922.0,35944172.0,63.87
H3.3_434,chr1,35944794.0,35945558.0,103.64
H3.3_435,chr1,35978444.0,35979194.0,162.25
H3.3_436,chr1,36004515.0,36004823.0,56.73
H3.3_437,chr1,36013420.0,36013858.0,138.99
H3.3_438,chr1,36013893.0,36014297.0,125.56
H3.3_439,chr1,36014813.0,36015328.0,96.55
H3.3_440,chr1,36016955.0,36017260.0,50.77
H3.3_441,chr1,36017616.0,36018085.0,72.06
H3.3_442,chr1,36030038.0,36030922.0,64.32
H3.3_443,chr1,36039869.0,36040263.0,50.78
H3.3_444,chr1,36042086.0,36042855.0,160.61
H3.3_445,chr1,36043573.0,36043767.0,52.22
H3.3_446,chr1,36052579.0,36052984.0,84.93
H3.3_447,chr1,36053909.0,36054196.0,60.73
H3.3_448,chr1,36054804.0,36055194.0,50.67
H3.3_449,chr1,36056714.0,36057248.0,99.77
H3.3_450,chr1,36058709.0,36061360.0,842.01
H3.3_451,chr1,36061385.0,36062127.0,167.74
H3.3_452,chr1,36062718.0,36063359.0,87.38
H3.3_453,chr1,36065696.0,36066378.0,138.35
H3.3_454,chr1,36069343.0,36069693.0,70.38
H3.3_455,chr1,36084447.0,36084938.0,89.67
H3.3_456,chr1,36088144.0,36088780.0,142.89
H3.3_457,chr1,36088873.0,36089756.0,187.26
H3.3_458,chr1,36089809.0,36090318.0,87.71
H3.3_459,chr1,36095021.0,36095805.0,67.62
H3.3_460,chr1,36103506.0,36103757.0,58.46
H3.3_461,chr1,36103820.0,36104620.0,74.86
H3.3_462,chr1,36105904.0,36106287.0,73.46
H3.3_463,chr1,36106623.0,36106866.0,50.03
H3.3_464,chr1,36148966.0,36149296.0,63.08
H3.3_465,chr1,36149909.0,36150454.0,139.63
H3.3_466,chr1,36160125.0,36160533.0,104.95
H3.3_467,chr1,36178111.0,36178477.0,77.24
H3.3_468,chr1,36213725.0,36213930.0,57.16
H3.3_469,chr1,36226400.0,36226686.0,96.84
H3.3_470,chr1,36227496.0,36227900.0,83.21
H3.3_471,chr1,36235167.0,36235645.0,80.39
H3.3_472,chr1,36239367.0,36240110.0,125.39
H3.3_473,chr1,36240142.0,36240710.0,305.53
H3.3_474,chr1,36244021.0,36244210.0,55.81
H3.3_475,chr1,36245800.0,36246167.0,67.9
H3.3_476,chr1,36250814.0,36251218.0,83.96
H3.3_477,chr1,36251283.0,36251678.0,84.35
H3.3_478,chr1,36252153.0,36252624.0,60.56
H3.3_479,chr1,36253518.0,36253987.0,70.75
H3.3_480,chr1,36257880.0,36258189.0,62.98
H3.3_481,chr1,36260698.0,36261035.0,66.36
H3.3_482,chr1,36270139.0,36270913.0,107.83
H3.3_483,chr1,36272971.0,36273758.0,195.66
H3.3_484,chr1,36302082.0,36302498.0,94.86
H3.3_485,chr1,36304272.0,36304768.0,93.32
H3.3_486,chr1,36316222.0,36316745.0,67.24
H3.3_487,chr1,36324617.0,36325038.0,60.55
H3.3_488,chr1,36335398.0,36335655.0,51.33
H3.3_489,chr1,36353419.0,36353808.0,58.17
H3.3_490,chr1,36354026.0,36354461.0,51.89
H3.3_491,chr1,36367820.0,36368260.0,64.84
H3.3_492,chr1,36445534.0,36445890.0,125.25
H3.3_493,chr1,36446252.0,36446433.0,62.58
H3.3_494,chr1,36470140.0,36470532.0,77.7
H3.3_495,chr1,36518546.0,36518926.0,56.16
H3.3_496,chr1,36519595.0,36520201.0,54.59
H3.3_497,chr1,36520235.0,36520569.0,50.49
H3.3_498,chr1,36522007.0,36522624.0,70.06
H3.3_499,chr1,36532481.0,36533027.0,163.81
H3.3_500,chr1,36533414.0,36533732.0,57.66
H3.3_501,chr1,36533763.0,36534021.0,55.21
H3.3_502,chr1,36540384.0,36541135.0,111.79
H3.3_503,chr1,36541405.0,36541676.0,51.01
H3.3_504,chr1,36545435.0,36546027.0,128.52
H3.3_505,chr1,36546447.0,36547063.0,78.33
H3.3_506,chr1,36549974.0,36550423.0,63.4
H3.3_507,chr1,36555443.0,36556000.0,54.73
H3.3_508,chr1,36557607.0,36558184.0,112.57
H3.3_509,chr1,36559422.0,36560255.0,100.76
H3.3_510,chr1,36561110.0,36561384.0,50.16
H3.3_511,chr1,36561460.0,36561885.0,66.59
H3.3_512,chr1,36568160.0,36568503.0,65.35
H3.3_513,chr1,36569085.0,36569595.0,65.35
H3.3_514,chr1,36569696.0,36570115.0,74.71
H3.3_515,chr1,36570339.0,36571016.0,116.42
H3.3_516,chr1,36571169.0,36571696.0,54.01
H3.3_517,chr1,36576426.0,36577149.0,165.69
