name,chr,start,end,abs_summit,pileup,fold_enrichment
ES_H3K27me3_peak_129,chr1,19164307,19164592,19164350,19,3.34773
ES_H3K27me3_peak_130,chr1,19206711,19206980,19206845,51,2.46416
ES_H3K27me3_peak_131,chr1,19236027,19236326,19236162,51,2.11066
ES_H3K27me3_peak_132,chr1,19238446,19238641,19238560,54,2.1321
ES_H3K27me3_peak_133,chr1,19556061,19556296,19556209,17,3.88954
ES_H3K27me3_peak_134,chr1,19604486,19604686,19604567,18,3.84172
ES_H3K27me3_peak_135,chr1,19999823,20000097,19999998,15,3.77795
ES_H3K27me3_peak_136,chr1,20000289,20000560,20000382,16,3.82814
ES_H3K27me3_peak_137,chr1,20001203,20001389,20001270,16,3.45038
ES_H3K27me3_peak_138,chr1,20012303,20012528,20012426,18,4.38941
ES_H3K27me3_peak_139,chr1,20261370,20261621,20261448,17,4.47361
ES_H3K27me3_peak_140,chr1,20286494,20286790,20286639,22,4.29337
ES_H3K27me3_peak_141,chr1,20361135,20361362,20361248,14,3.57339
ES_H3K27me3_peak_142,chr1,20419971,20420281,20420241,13,3.38034
ES_H3K27me3_peak_143,chr1,20429039,20429225,20429107,18,3.43866
ES_H3K27me3_peak_144,chr1,20429754,20429992,20429843,17,3.40761
ES_H3K27me3_peak_145,chr1,20520725,20521014,20520898,34,6.91987
ES_H3K27me3_peak_146,chr1,20659728,20660035,20659850,21,4.81221
ES_H3K27me3_peak_147,chr1,20891623,20891963,20891780,20,4.15192
ES_H3K27me3_peak_148,chr1,20892138,20892334,20892234,17,3.69542
ES_H3K27me3_peak_149,chr1,21202322,21202584,21202418,19,4.97068
ES_H3K27me3_peak_150,chr1,21202976,21203216,21203104,14,3.72801
ES_H3K27me3_peak_151,chr1,21822510,21822798,21822692,14,3.12754
ES_H3K27me3_peak_152,chr1,21823050,21823299,21823226,15,3.37553
ES_H3K27me3_peak_153,chr1,21959914,21960166,21960065,31,2.65935
ES_H3K27me3_peak_154,chr1,21962984,21963193,21963084,33,2.94932
ES_H3K27me3_peak_155,chr1,21971552,21971768,21971668,28,4.94712
ES_H3K27me3_peak_156,chr1,22192864,22193105,22192920,17,3.20347
ES_H3K27me3_peak_157,chr1,22532361,22532960,22532759,40,3.41792
ES_H3K27me3_peak_158,chr1,22534381,22534868,22534699,48,4.04698
ES_H3K27me3_peak_159,chr1,22565796,22566002,22565919,29,5.25173
ES_H3K27me3_peak_160,chr1,22636228,22636550,22636393,31,7.95308
ES_H3K27me3_peak_161,chr1,22690961,22691214,22691071,17,3.87388
ES_H3K27me3_peak_162,chr1,22713686,22713876,22713750,18,4.48632
ES_H3K27me3_peak_163,chr1,22804865,22805061,22804961,31,2.73152
ES_H3K27me3_peak_164,chr1,22806549,22806879,22806720,31,2.93282
ES_H3K27me3_peak_165,chr1,23062721,23062997,23062855,20,3.5824
ES_H3K27me3_peak_166,chr1,23195481,23195795,23195601,23,5.47358
ES_H3K27me3_peak_167,chr1,23255378,23255569,23255488,31,3.68422
ES_H3K27me3_peak_168,chr1,23257724,23257952,23257837,26,3.64171
ES_H3K27me3_peak_169,chr1,23381513,23382162,23381926,20,4.72888
ES_H3K27me3_peak_170,chr1,23432199,23432493,23432329,18,4.10562
ES_H3K27me3_peak_171,chr1,23509293,23509585,23509416,20,4.76904
ES_H3K27me3_peak_172,chr1,23533729,23534108,23533872,24,5.5826
ES_H3K27me3_peak_173,chr1,23600259,23600454,23600381,19,4.23612
ES_H3K27me3_peak_174,chr1,23761119,23761360,23761270,28,2.46364
ES_H3K27me3_peak_175,chr1,23815446,23815687,23815510,15,3.91629
ES_H3K27me3_peak_176,chr1,23922763,23923667,23923048,39,5.23663
ES_H3K27me3_peak_177,chr1,23933556,23933762,23933656,15,3.31023
ES_H3K27me3_peak_178,chr1,23982003,23982262,23982137,17,3.4942
ES_H3K27me3_peak_179,chr1,24098287,24099146,24098452,33,4.0272
ES_H3K27me3_peak_180,chr1,24133265,24133507,24133350,19,4.20283
ES_H3K27me3_peak_181,chr1,24326481,24326667,24326648,16,3.89372
ES_H3K27me3_peak_182,chr1,24426320,24426549,24426474,14,3.72801
ES_H3K27me3_peak_183,chr1,24557501,24557687,24557609,16,3.16232
ES_H3K27me3_peak_184,chr1,24587786,24588215,24587911,52,3.49699
ES_H3K27me3_peak_185,chr1,24638798,24639126,24638832,16,3.99643
ES_H3K27me3_peak_186,chr1,25064971,25065158,25065095,15,3.37553
ES_H3K27me3_peak_187,chr1,25073393,25073579,25073514,20,4.51953
ES_H3K27me3_peak_188,chr1,25118558,25119350,25118783,32,4.81534
ES_H3K27me3_peak_189,chr1,25176824,25177053,25176926,15,3.77795
ES_H3K27me3_peak_190,chr1,25229778,25229984,25229841,21,2.67699
ES_H3K27me3_peak_191,chr1,25290076,25290267,25290145,18,4.72214
ES_H3K27me3_peak_192,chr1,25828302,25828847,25828595,22,3.13381
ES_H3K27me3_peak_193,chr1,26119529,26119838,26119630,16,3.99643
ES_H3K27me3_peak_194,chr1,26246088,26246284,26246180,18,4.27851
ES_H3K27me3_peak_195,chr1,26597074,26597260,26597160,16,3.87712
ES_H3K27me3_peak_196,chr1,26686904,26687412,26687161,38,4.73479
ES_H3K27me3_peak_197,chr1,26687607,26688276,26687775,37,4.57187
ES_H3K27me3_peak_198,chr1,27167003,27167212,27167178,13,3.47947
ES_H3K27me3_peak_199,chr1,27294839,27295137,27294996,25,3.78358
ES_H3K27me3_peak_200,chr1,27314102,27314430,27314343,14,3.26769
ES_H3K27me3_peak_201,chr1,27531121,27531320,27531206,16,4.12331
ES_H3K27me3_peak_202,chr1,28166674,28167093,28166920,19,4.35692
ES_H3K27me3_peak_203,chr1,28435687,28435873,28435796,14,3.72801
ES_H3K27me3_peak_204,chr1,28802937,28803189,28802983,16,2.96627
ES_H3K27me3_peak_205,chr1,28975509,28975713,28975644,15,3.71238
ES_H3K27me3_peak_206,chr1,29601563,29601930,29601657,20,5.21921
ES_H3K27me3_peak_207,chr1,29736225,29736991,29736457,24,5.8771
ES_H3K27me3_peak_208,chr1,29831977,29832316,29832153,31,7.95308
ES_H3K27me3_peak_209,chr1,30064040,30064339,30064198,15,3.86324
ES_H3K27me3_peak_210,chr1,30066144,30066428,30066261,18,4.72214
ES_H3K27me3_peak_211,chr1,30264431,30264617,30264459,13,3.47947
ES_H3K27me3_peak_212,chr1,31070574,31070855,31070708,23,3.38209
ES_H3K27me3_peak_213,chr1,31070987,31071336,31071169,27,4.14226
ES_H3K27me3_peak_214,chr1,31086561,31086747,31086600,16,3.78038
ES_H3K27me3_peak_215,chr1,31369081,31369305,31369220,21,5.03894
ES_H3K27me3_peak_216,chr1,31831500,31831686,31831565,18,4.72214
ES_H3K27me3_peak_217,chr1,32173438,32174341,32173792,28,2.71368
ES_H3K27me3_peak_218,chr1,32198620,32198814,32198702,22,5.71628
ES_H3K27me3_peak_219,chr1,32355130,32355365,32355283,26,6.13163
ES_H3K27me3_peak_220,chr1,32665158,32665452,32665321,16,4.22508
ES_H3K27me3_peak_221,chr1,32740055,32740260,32740098,15,3.64905
ES_H3K27me3_peak_222,chr1,32987951,32988160,32988070,15,3.97654
ES_H3K27me3_peak_223,chr1,33011043,33011283,33011218,13,3.26249
ES_H3K27me3_peak_224,chr1,33011615,33011801,33011673,13,3.32037
ES_H3K27me3_peak_225,chr1,33021952,33022335,33022151,26,5.37795
ES_H3K27me3_peak_226,chr1,33052892,33053078,33053042,14,3.72801
ES_H3K27me3_peak_227,chr1,33137737,33138014,33137870,17,4.47361
ES_H3K27me3_peak_228,chr1,33756898,33757168,33757028,17,4.47361
ES_H3K27me3_peak_229,chr1,33905502,33905961,33905852,22,4.72192
ES_H3K27me3_peak_230,chr1,34431358,34431716,34431533,16,4.22508
ES_H3K27me3_peak_231,chr1,34431776,34432090,34431972,14,3.72801
ES_H3K27me3_peak_232,chr1,34458143,34458499,34458376,28,3.31739
ES_H3K27me3_peak_233,chr1,34458647,34459302,34458879,36,4.20555
ES_H3K27me3_peak_234,chr1,34495471,34495703,34495617,26,4.40903
ES_H3K27me3_peak_235,chr1,34578669,34578863,34578808,27,3.3387
ES_H3K27me3_peak_236,chr1,34749963,34750152,34750026,35,3.05831
ES_H3K27me3_peak_237,chr1,34752841,34753431,34753327,31,3.06411
ES_H3K27me3_peak_238,chr1,34849380,34849614,34849462,16,3.51712
ES_H3K27me3_peak_239,chr1,35501284,35501530,35501459,14,3.49553
ES_H3K27me3_peak_240,chr1,35695808,35696140,35695992,21,4.02245
ES_H3K27me3_peak_241,chr1,35696537,35696812,35696712,22,4.14855
ES_H3K27me3_peak_242,chr1,36248590,36248789,36248722,19,4.97068
ES_H3K27me3_peak_243,chr1,36269024,36269230,36269119,22,3.66627
ES_H3K27me3_peak_244,chr1,36269981,36270196,36270074,18,3.05599
ES_H3K27me3_peak_245,chr1,36276309,36276531,36276382,17,4.47361
ES_H3K27me3_peak_246,chr1,36302183,36302549,36302210,15,3.27225
ES_H3K27me3_peak_247,chr1,36302721,36302959,36302859,20,4.57477
ES_H3K27me3_peak_248,chr1,36308248,36308566,36308383,18,4.72214
ES_H3K27me3_peak_249,chr1,36308626,36308999,36308913,23,5.96481
ES_H3K27me3_peak_250,chr1,36369651,36369881,36369740,19,4.20283
ES_H3K27me3_peak_251,chr1,36370322,36370532,36370432,17,3.63953
ES_H3K27me3_peak_252,chr1,36472573,36472922,36472795,14,3.72801
ES_H3K27me3_peak_253,chr1,36559896,36560243,36560149,18,3.4041
ES_H3K27me3_peak_254,chr1,36740992,36741321,36741170,14,3.22824
ES_H3K27me3_peak_255,chr1,36741384,36741614,36741492,17,3.85836
ES_H3K27me3_peak_256,chr1,37199081,37199296,37199148,14,3.72801
ES_H3K27me3_peak_257,chr1,37300517,37301326,37300874,18,4.71534
ES_H3K27me3_peak_258,chr1,37301421,37301634,37301520,12,3.23094
ES_H3K27me3_peak_259,chr1,37539408,37540172,37539990,36,5.50415
ES_H3K27me3_peak_260,chr1,37720591,37721289,37720729,29,4.09802
ES_H3K27me3_peak_261,chr1,37721500,37721807,37721537,21,3.02843
ES_H3K27me3_peak_262,chr1,37862754,37863029,37862884,19,4.21941
ES_H3K27me3_peak_263,chr1,37863243,37863443,37863412,19,3.93964
ES_H3K27me3_peak_264,chr1,38143203,38143389,38143311,16,3.5865
ES_H3K27me3_peak_265,chr1,38624942,38626048,38625598,42,3.95453
ES_H3K27me3_peak_266,chr1,38693539,38693750,38693659,17,4.47361
ES_H3K27me3_peak_267,chr1,38835238,38835650,38835412,44,5.65582
ES_H3K27me3_peak_268,chr1,38836940,38837422,38837058,42,5.34168
ES_H3K27me3_peak_269,chr1,38848489,38848678,38848569,22,4.17673
ES_H3K27me3_peak_270,chr1,38896256,38896598,38896426,29,4.92902
ES_H3K27me3_peak_271,chr1,38896795,38896981,38896884,22,3.81407
ES_H3K27me3_peak_272,chr1,38910483,38910698,38910623,16,3.33641
ES_H3K27me3_peak_273,chr1,39004014,39004217,39004100,17,4.47361
ES_H3K27me3_peak_274,chr1,39191379,39191711,39191600,31,2.6886
ES_H3K27me3_peak_275,chr1,39194862,39196213,39195574,60,4.84358
ES_H3K27me3_peak_276,chr1,39477246,39477873,39477775,23,4.01727
ES_H3K27me3_peak_277,chr1,39675667,39675949,39675809,20,5.21921
ES_H3K27me3_peak_278,chr1,39719754,39720552,39720359,29,7.41088
ES_H3K27me3_peak_279,chr1,39883830,39884016,39883922,15,3.97654
ES_H3K27me3_peak_280,chr1,39904155,39904420,39904317,15,3.97654
ES_H3K27me3_peak_281,chr1,40150773,40151101,40150971,23,5.96481
ES_H3K27me3_peak_282,chr1,40287468,40287661,40287496,14,3.60551
ES_H3K27me3_peak_283,chr1,40463215,40463414,40463293,14,3.48036
ES_H3K27me3_peak_284,chr1,40475053,40475358,40475204,27,6.07494
ES_H3K27me3_peak_285,chr1,40678764,40678963,40678893,42,2.70056
ES_H3K27me3_peak_286,chr1,40762224,40762472,40762336,22,5.71628
ES_H3K27me3_peak_287,chr1,40808019,40808262,40808175,15,3.42965
ES_H3K27me3_peak_288,chr1,40812999,40813185,40813100,18,4.33325
ES_H3K27me3_peak_289,chr1,40814487,40814707,40814662,13,3.45841
ES_H3K27me3_peak_290,chr1,40862779,40863003,40862847,19,4.89536
ES_H3K27me3_peak_291,chr1,40889452,40889731,40889620,18,4.0891
ES_H3K27me3_peak_292,chr1,40961760,40962166,40961852,29,5.35695
ES_H3K27me3_peak_293,chr1,41276658,41276874,41276752,15,3.52866
ES_H3K27me3_peak_294,chr1,41515654,41515894,41515783,24,6.14734
ES_H3K27me3_peak_295,chr1,41575534,41575842,41575700,16,4.22508
ES_H3K27me3_peak_296,chr1,41808321,41808509,41808435,15,3.81161
ES_H3K27me3_peak_297,chr1,42184876,42185112,42184938,23,3.11151
ES_H3K27me3_peak_298,chr1,42185175,42185502,42185331,28,3.75974
ES_H3K27me3_peak_299,chr1,42415500,42415706,42415610,29,4.17264
ES_H3K27me3_peak_300,chr1,42510542,42510767,42510636,18,4.72214
ES_H3K27me3_peak_301,chr1,42574433,42574619,42574527,16,4.22508
ES_H3K27me3_peak_302,chr1,42692808,42693063,42692932,52,3.08915
ES_H3K27me3_peak_303,chr1,42699003,42699304,42699153,42,2.65995
ES_H3K27me3_peak_304,chr1,42699782,42700198,42700037,53,3.24652
ES_H3K27me3_peak_305,chr1,42700388,42701033,42700675,65,3.89785
ES_H3K27me3_peak_306,chr1,42712245,42712926,42712745,42,2.70374
ES_H3K27me3_peak_307,chr1,42929573,42929838,42929739,20,4.66988
ES_H3K27me3_peak_308,chr1,42953762,42954796,42954049,42,5.00454
ES_H3K27me3_peak_309,chr1,43633660,43633892,43633761,18,4.72214
ES_H3K27me3_peak_310,chr1,43900466,43900693,43900645,15,3.84588
ES_H3K27me3_peak_311,chr1,44197713,44197899,44197870,21,3.07593
ES_H3K27me3_peak_312,chr1,44240700,44240968,44240793,12,3.01631
ES_H3K27me3_peak_313,chr1,44410998,44411261,44411143,19,4.33924
ES_H3K27me3_peak_314,chr1,44461765,44462038,44461923,18,3.41555
ES_H3K27me3_peak_315,chr1,44510799,44511125,44510967,19,3.92519
ES_H3K27me3_peak_316,chr1,44552876,44553101,44552990,20,3.177
ES_H3K27me3_peak_317,chr1,44756163,44756350,44756235,16,4.22508
ES_H3K27me3_peak_318,chr1,45839380,45839594,45839475,17,4.47361
ES_H3K27me3_peak_319,chr1,45846055,45846265,45846167,15,3.54327
ES_H3K27me3_peak_320,chr1,45924203,45924641,45924457,21,3.74105
ES_H3K27me3_peak_321,chr1,46032507,46032741,46032568,18,3.94617
ES_H3K27me3_peak_322,chr1,46088233,46088704,46088405,44,4.90629
ES_H3K27me3_peak_323,chr1,46089382,46089891,46089478,34,4.03831
ES_H3K27me3_peak_324,chr1,46695029,46695630,46695472,20,5.02513
ES_H3K27me3_peak_325,chr1,47001863,47002049,47001907,16,4.22508
ES_H3K27me3_peak_326,chr1,47233704,47233937,47233826,15,3.97654
ES_H3K27me3_peak_327,chr1,47254206,47254394,47254236,15,3.97654
ES_H3K27me3_peak_328,chr1,47597530,47597760,47597626,15,3.71238
ES_H3K27me3_peak_329,chr1,47628437,47628876,47628611,21,5.46774
ES_H3K27me3_peak_330,chr1,48232480,48232909,48232572,17,3.85836
ES_H3K27me3_peak_331,chr1,48241310,48241524,48241400,20,4.09141
ES_H3K27me3_peak_332,chr1,48950032,48950218,48950092,14,3.60551
ES_H3K27me3_peak_333,chr1,49260290,49260508,49260381,23,5.96481
ES_H3K27me3_peak_334,chr1,49548869,49549155,49549025,16,4.21899
ES_H3K27me3_peak_335,chr1,50329364,50329642,50329528,19,4.94059
ES_H3K27me3_peak_336,chr1,50348446,50348662,50348571,13,3.47446
ES_H3K27me3_peak_337,chr1,50492149,50492414,50492319,27,6.44078
ES_H3K27me3_peak_338,chr1,50572794,50572980,50572876,19,3.75961
ES_H3K27me3_peak_339,chr1,50909771,50909970,50909868,17,3.20347
ES_H3K27me3_peak_340,chr1,50924199,50924385,50924290,34,2.62698
ES_H3K27me3_peak_341,chr1,51319667,51319915,51319789,20,4.65054
ES_H3K27me3_peak_342,chr1,51541504,51541706,51541658,17,4.47361
ES_H3K27me3_peak_343,chr1,51606936,51607148,51607021,19,3.65678
ES_H3K27me3_peak_344,chr1,51916558,51916908,51916797,23,3.91914
ES_H3K27me3_peak_345,chr1,52234477,52235256,52235149,19,4.85095
ES_H3K27me3_peak_346,chr1,52397945,52398543,52398330,19,3.8684
ES_H3K27me3_peak_347,chr1,52398692,52399040,52398762,19,3.96888
ES_H3K27me3_peak_348,chr1,52498435,52499561,52499141,43,4.11731
ES_H3K27me3_peak_349,chr1,52501291,52501532,52501412,35,3.4533
ES_H3K27me3_peak_350,chr1,52629079,52629507,52629438,19,3.4559
ES_H3K27me3_peak_351,chr1,52725333,52725572,52725399,35,3.06318
ES_H3K27me3_peak_352,chr1,52727816,52728395,52727985,36,3.14827
ES_H3K27me3_peak_353,chr1,52728673,52728979,52728784,33,2.89761
ES_H3K27me3_peak_354,chr1,52770105,52770463,52770290,21,3.8387
ES_H3K27me3_peak_355,chr1,52785464,52785702,52785577,16,3.94441
ES_H3K27me3_peak_356,chr1,52816237,52816569,52816475,18,2.94099
ES_H3K27me3_peak_357,chr1,52816699,52817015,52816837,20,3.28865
ES_H3K27me3_peak_358,chr1,52970239,52970445,52970336,27,3.35365
ES_H3K27me3_peak_359,chr1,53355336,53355528,53355417,17,3.76774
ES_H3K27me3_peak_360,chr1,54193523,54194017,54193839,42,3.15222
ES_H3K27me3_peak_361,chr1,54195375,54196047,54195455,37,2.88864
ES_H3K27me3_peak_362,chr1,54556516,54556760,54556699,22,3.97429
ES_H3K27me3_peak_363,chr1,54632823,54633027,54632952,15,3.97654
ES_H3K27me3_peak_364,chr1,54924650,54925089,54924833,37,4.10128
ES_H3K27me3_peak_365,chr1,54925166,54925412,54925289,30,3.43593
ES_H3K27me3_peak_366,chr1,55227188,55227381,55227293,19,3.72038
ES_H3K27me3_peak_367,chr1,55324180,55324522,55324351,19,3.99856
