name,chr,start,end,Enh.prob,geneName,location
enh43,chr1,13084920.0,13085919.0,0.9936,AC118477.1,intergenic
enh44,chr3,135547037.0,135548036.0,0.9935,Manba,genic
enh45,chr10,21988195.0,21989194.0,0.9934,Sgk1,genic
enh46,chr4,55477129.0,55478128.0,0.9933,SNORA17,upstream
enh47,chr1,12743920.0,12744919.0,0.9932,Sulf1,genic
enh48,chr6,143141481.0,143142480.0,0.9929,Etnk1,intergenic
enh49,chr7,3201000.0,3201999.0,0.9928,mmu-mir-290,intergenic
enh50,chr14,99324782.0,99325781.0,0.9926,Klf5,intergenic
enh51,chr16,84768756.0,84769755.0,0.9924,Jam2,upstream
enh52,chr12,12803195.0,12804194.0,0.9923,U6,intergenic
enh53,chr12,12943195.0,12944194.0,0.9923,Mycn,upstream
enh54,chr12,39997414.0,39998413.0,0.9921,Arl4a,downstream
enh55,chr10,62896253.0,62897252.0,0.992,U6,upstream
enh56,chr2,20669374.0,20670373.0,0.992,Etl4,genic
enh57,chr3,34668079.0,34669078.0,0.992,Sox2,intergenic
enh58,chr7,49346631.0,49347630.0,0.992,Nav2,genic
enh59,chr5,110226982.0,110227981.0,0.9915,Golga3,downstream
enh60,chr11,8568998.0,8569997.0,0.9913,Tns3,genic
enh61,chr10,21746195.0,21747194.0,0.9911,Gm5420,intergenic
enh62,chr2,21392374.0,21393373.0,0.991,Gpr158,genic
enh63,chr5,92111975.0,92112974.0,0.991,5S_rRNA,downstream
enh64,chr15,50900455.0,50901454.0,0.9905,Trps1,intergenic
enh65,chr18,30121347.0,30122346.0,0.9905,Pik3c3,intergenic
enh66,chr11,107352687.0,107353686.0,0.9902,Pitpnc1,genic
enh67,chr6,67111007.0,67112006.0,0.9899,RP23-129P10.1,intergenic
enh68,chr17,36997056.0,36998055.0,0.9894,Zfp57,upstream
enh69,chr2,154426265.0,154427264.0,0.9894,Cbfa2t2,upstream
enh70,chr1,182029870.0,182030869.0,0.9891,Enah,intergenic
enh71,chr1,182162870.0,182163869.0,0.9891,Srp9,intergenic
enh72,chr14,99339782.0,99340781.0,0.9885,U2,intergenic
enh73,chr1,36987156.0,36988155.0,0.9879,5S_rRNA,intergenic
enh74,chr11,80131499.0,80132498.0,0.9877,Atad5,genic
enh75,chr6,82175007.0,82176006.0,0.9877,Fam176a,intergenic
enh76,chr3,88572079.0,88573078.0,0.9875,Ubqln4,downstream
enh77,chr15,97593570.0,97594569.0,0.9874,Rpap3,intergenic
enh78,chr19,44265511.0,44266510.0,0.9873,Scd3,intergenic
enh79,chr2,135072265.0,135073264.0,0.9871,Plcb1,genic
enh80,chr3,53650079.0,53651078.0,0.9871,Frem2,genic
enh81,chr1,89870426.0,89871425.0,0.9867,Agap1,genic
enh82,chr1,134534424.0,134535423.0,0.9866,AC122771.1,downstream
enh83,chr10,85539256.0,85540255.0,0.9862,Btbd11,genic
enh84,chr6,149130479.0,149131478.0,0.9859,AC132412.3,genic
enh85,chr8,72311102.0,72312101.0,0.9859,AC113182.1,upstream
enh86,chr8,72334102.0,72335101.0,0.9859,Eps15l1,downstream
enh87,chrX,99556662.0,99557661.0,0.9858,Pja1,intergenic
enh88,chr7,3212000.0,3212999.0,0.985,mmu-mir-290,upstream
enh89,chr4,141570086.0,141571085.0,0.9849,Fblim1,downstream
enh90,chr11,34738499.0,34739498.0,0.9847,Dock2,genic
enh91,chr4,10931854.0,10932853.0,0.9843,RP23-130H14.1,intergenic
enh92,chr2,40910481.0,40911480.0,0.9839,Lrp1b,genic
enh93,chr18,69781347.0,69782346.0,0.9837,Y_RNA,upstream
enh94,chr3,65657079.0,65658078.0,0.9831,Lekr1,upstream
enh95,chr2,163031265.0,163032264.0,0.983,Ift52,genic
enh96,chr10,61415253.0,61416252.0,0.9826,Nodal,upstream
enh97,chr6,65022007.0,65023006.0,0.9821,Smarcad1,intergenic
enh98,chr4,142166086.0,142167085.0,0.9819,9030409G11Rik,genic
enh99,chrX,162832069.0,162833068.0,0.9815,4932441K18Rik,upstream
enh100,chr6,145275481.0,145276480.0,0.9812,RP24-359O2.4,downstream
enh101,chr14,77519194.0,77520193.0,0.981,Enox1,genic
enh102,chr18,17418492.0,17419491.0,0.981,AC125166.1,intergenic
enh103,chr7,3213000.0,3213999.0,0.981,mmu-mir-290,upstream
enh104,chr10,4107539.0,4108538.0,0.9809,Mthfd1l,genic
enh105,chr11,77673499.0,77674498.0,0.9809,Nufip2,intergenic
enh106,chr19,20923511.0,20924510.0,0.9806,Tmc1,genic
enh107,chr6,39446002.0,39447001.0,0.9805,Dennd2a,intergenic
enh108,chr1,131889424.0,131890423.0,0.9804,Rab7l1,intergenic
enh109,chr2,65420944.0,65421943.0,0.98,Scn3a,intergenic
enh110,chr3,34757079.0,34758078.0,0.9798,Sox2,intergenic
enh111,chr17,37990056.0,37991055.0,0.9788,Olfr761,intergenic
enh112,chr6,128260983.0,128261982.0,0.9787,Tead4,genic
enh113,chr13,94706046.0,94707045.0,0.9784,Tbca,intergenic
enh114,chr3,34735079.0,34736078.0,0.9783,Sox2,intergenic
enh115,chr6,83890007.0,83891006.0,0.9777,Gm10481,intergenic
enh116,chr4,84662097.0,84663096.0,0.9776,Bnc2,genic
enh117,chr19,23094511.0,23095510.0,0.9774,AC132389.1,intergenic
enh118,chr10,21845195.0,21846194.0,0.977,AC158614.1,upstream
enh119,chr4,133660086.0,133661085.0,0.977,Pigv,genic
enh120,chr10,27994195.0,27995194.0,0.9767,AC160404.1,intergenic
enh121,chr5,108076982.0,108077981.0,0.9766,Mtf2,genic
enh122,chr1,180924870.0,180925869.0,0.9764,Lefty1,upstream
enh123,chr2,92143844.0,92144843.0,0.9764,Phf21a,genic
enh124,chr6,52078002.0,52079001.0,0.9755,RP23-103L13.1,intergenic
enh125,chr7,80130115.0,80131114.0,0.9755,Idh2,intergenic
enh126,chrX,8007875.0,8008874.0,0.9741,Glod5,genic
enh127,chr2,165968501.0,165969500.0,0.9734,RP23-108D12.6,downstream
enh128,chr6,125432983.0,125433982.0,0.9731,Cd9,intergenic
enh129,chr1,52953157.0,52954156.0,0.9729,1700019D03Rik,genic
enh130,chr1,131890424.0,131891423.0,0.9727,Rab7l1,intergenic
enh131,chr17,46812052.0,46813051.0,0.9727,CT030702.2,genic
enh132,chr8,84650102.0,84651101.0,0.9724,Cacna1a,downstream
enh133,chr4,133122086.0,133123085.0,0.9719,Wasf2,upstream
enh134,chr4,33823026.0,33824025.0,0.9716,Cnr1,intergenic
enh135,chr14,122415779.0,122416778.0,0.9711,AC168091.1,upstream
enh136,chr11,8574998.0,8575997.0,0.9709,Tns3,genic
enh137,chr11,30749001.0,30750000.0,0.9705,RP23-358M10.2,upstream
enh138,chr2,71866944.0,71867943.0,0.9704,Pdk1,upstream
enh139,chr17,37080056.0,37081055.0,0.9703,Olfr90,downstream
enh140,chr15,39728455.0,39729454.0,0.9698,Tm7sf4,intergenic
enh141,chr19,28182511.0,28183510.0,0.9698,Glis3,intergenic
enh142,chr7,127223487.0,127224486.0,0.9698,1-Sep,upstream
enh143,chr11,9115998.0,9116997.0,0.9697,Upp1,upstream
enh144,chr18,75360347.0,75361346.0,0.9696,Smad7,upstream
enh145,chr15,62092446.0,62093445.0,0.9694,Pvt1,genic
enh146,chr3,88571079.0,88572078.0,0.9694,Ubqln4,downstream
enh147,chr17,70827661.0,70828660.0,0.9687,Dlgap1,downstream
enh148,chr19,45649511.0,45650510.0,0.9685,Fbxw4,genic
enh149,chr10,82809256.0,82810255.0,0.9682,1700028I16Rik,upstream
enh150,chr9,44594918.0,44595917.0,0.9674,Ddx6,upstream
enh151,chr4,116725396.0,116726395.0,0.9670000000000001,RP23-109A3.1,genic
enh152,chrX,103311662.0,103312661.0,0.9670000000000001,4930519F16Rik,overlapTSS
enh153,chr2,154427265.0,154428264.0,0.9667,Cbfa2t2,upstream
enh154,chr4,86183097.0,86184096.0,0.9666,Adamtsl1,genic
enh155,chr18,5012003.0,5013002.0,0.9665,Svil,genic
enh156,chr5,25554183.0,25555182.0,0.9662,Cct8l1,intergenic
enh157,chr12,86504051.0,86505050.0,0.9661,Esrrb,genic
enh158,chr10,17576195.0,17577194.0,0.9659,Cited2,intergenic
enh159,chr17,11353135.0,11354134.0,0.9659,Park2,genic
enh160,chr1,154100871.0,154101870.0,0.9656,SNORA17,intergenic
enh161,chr3,72858079.0,72859078.0,0.965,Sis,intergenic
enh162,chr11,117974687.0,117975686.0,0.9649,Socs3,upstream
enh163,chr10,62898253.0,62899252.0,0.9648,U6,upstream
enh164,chr3,122145083.0,122146082.0,0.9648,Abca4,genic
enh165,chr14,29950815.0,29951814.0,0.9645,Gm10245,upstream
enh166,chr7,3204000.0,3204999.0,0.9645,mmu-mir-290,intergenic
enh167,chr17,10432135.0,10433134.0,0.9639,Pacrg,genic
enh168,chrX,103437662.0,103438661.0,0.9638,Tsix,genic
enh169,chr2,154423265.0,154424264.0,0.9636,Cbfa2t2,intergenic
enh170,chr10,41467195.0,41468194.0,0.9632,Zbtb24,downstream
enh171,chr19,5846001.0,5847000.0,0.963,AC142098.4,upstream
enh172,chr6,53201007.0,53202006.0,0.9629,Creb5,intergenic
enh173,chr12,12177195.0,12178194.0,0.9628,5S_rRNA,intergenic
enh174,chr11,69703499.0,69704498.0,0.9625,Tnfsf12-Tnfsf13,upstream
enh175,chr1,135553424.0,135554423.0,0.9624,Nav1,genic
enh176,chr1,166124870.0,166125869.0,0.9624,Dusp27,genic
enh177,chr4,99641310.0,99642309.0,0.9616,RP23-35D18.1,intergenic
enh178,chr12,41729014.0,41730013.0,0.9612,Immp2l,genic
enh179,chr19,25488511.0,25489510.0,0.961,Dmrt1,intergenic
enh180,chr18,36415347.0,36416346.0,0.9608,Pfdn1,genic
enh181,chr13,63529693.0,63530692.0,0.96,Ptch1,genic
enh182,chr2,160656265.0,160657264.0,0.9598,Top1,genic
enh183,chr1,136727424.0,136728423.0,0.9597,AC125186.3,downstream
enh184,chr10,19208195.0,19209194.0,0.9597,Olig3,intergenic
enh185,chr6,65023007.0,65024006.0,0.9597,Smarcad1,intergenic
enh186,chr11,33533001.0,33534000.0,0.9595,Gabrp,intergenic
enh187,chr1,180923870.0,180924869.0,0.9592,Lefty1,intergenic
enh188,chr1,153375871.0,153376870.0,0.9587,E330020D12Rik,intergenic
enh189,chr11,69707499.0,69708498.0,0.9584,Tnfsf12-Tnfsf13,intergenic
enh190,chr4,57690129.0,57691128.0,0.958,Palm2,genic
enh191,chr1,72228427.0,72229426.0,0.9579,U2,downstream
enh192,chr6,37857001.0,37858000.0,0.9579,Trim24,intergenic
enh193,chr10,95220367.0,95221366.0,0.9577,Cradd,genic
enh194,chr10,77199256.0,77200255.0,0.9575,Col18a1,intergenic
enh195,chr10,116561945.0,116562944.0,0.9575,Cnot2,genic
enh196,chr2,166156501.0,166157500.0,0.9574,Sulf2,upstream
enh197,chr10,85071256.0,85072255.0,0.9571,U7,downstream
enh198,chr4,99635310.0,99636309.0,0.9563,RP23-35D18.1,intergenic
enh199,chr8,88991102.0,88992101.0,0.9562,Sall1,intergenic
enh200,chr12,86502051.0,86503050.0,0.9561,Esrrb,genic
enh201,chr1,58949157.0,58950156.0,0.956,Trak2,genic
enh202,chr11,117081687.0,117082686.0,0.9558,RP23-41E14.4,downstream
enh203,chr15,62010446.0,62011445.0,0.9554,Myc,intergenic
enh204,chr17,66479661.0,66480660.0,0.9553,Rab12,intergenic
enh205,chr6,122701983.0,122702982.0,0.9553,RP23-180N22.1,upstream
enh206,chrX,58039824.0,58040823.0,0.955,Zic3,genic
enh207,chr10,84910256.0,84911255.0,0.9548,Rfx4,downstream
enh208,chr2,149983265.0,149984264.0,0.9548,Tmem90b,genic
enh209,chr10,52278195.0,52279194.0,0.9542,Dcbld1,genic
enh210,chr11,33537001.0,33538000.0,0.9542,Gabrp,intergenic
enh211,chr2,163052265.0,163053264.0,0.9538,Mybl2,upstream
enh212,chr5,33535352.0,33536351.0,0.9538,Fam53a,intergenic
enh213,chr10,21101195.0,21102194.0,0.9536,Ahi1,intergenic
enh214,chr4,45771129.0,45772128.0,0.9531,RP23-358I3.1,downstream
enh215,chr1,63137427.0,63138426.0,0.953,RP23-13C17.1,genic
enh216,chr15,7116001.0,7117000.0,0.953,Gm10050,intergenic
enh217,chr7,63948115.0,63949114.0,0.9524,Klf13,upstream
enh218,chr2,146631265.0,146632264.0,0.9519,RP23-402L5.1,intergenic
enh219,chr2,144715265.0,144716264.0,0.9516,Dtd1,genic
enh220,chr12,86499051.0,86500050.0,0.9514,Esrrb,genic
enh221,chr7,89975491.0,89976490.0,0.9513,Eed,genic
enh222,chr7,4820399.0,4821398.0,0.9509,Shisa7,downstream
enh223,chr14,78288194.0,78289193.0,0.9501,Tnfsf11,genic
enh224,chr17,36995056.0,36996055.0,0.9501,H2-M5,upstream
enh225,chr1,136674424.0,136675423.0,0.9499,AC125186.3,intergenic
enh226,chr4,106859396.0,106860395.0,0.9499,RP24-423N4.1,intergenic
enh227,chr1,72213427.0,72214426.0,0.9497,Mreg,upstream
enh228,chr3,90452079.0,90453078.0,0.9495,Npr1,genic
enh229,chr4,110311396.0,110312395.0,0.9494,Elavl4,genic
enh230,chr1,75804426.0,75805425.0,0.9493,AC133581.2,intergenic
enh231,chr6,144361481.0,144362480.0,0.9491,Sox5,genic
enh232,chr1,118647424.0,118648423.0,0.9490000000000001,Tcfcp2l1,genic
enh233,chr19,29945511.0,29946510.0,0.9488,Il33,genic
enh234,chr17,35503056.0,35504055.0,0.9487,Pou5f1,upstream
enh235,chr2,115723265.0,115724264.0,0.9485,BC052040,genic
enh236,chr2,174260500.0,174261499.0,0.9485,mmu-mir-296,downstream
enh237,chr18,24868500.0,24869499.0,0.9482,Fhod3,genic
enh238,chr13,95534046.0,95535045.0,0.9481,F2rl1,upstream
enh239,chr13,112461793.0,112462792.0,0.9481,Il6st,upstream
enh240,chr15,25769246.0,25770245.0,0.9481,Myo10,genic
enh241,chr10,93242256.0,93243255.0,0.9474,Cdk17,downstream
enh242,chr12,73086014.0,73087013.0,0.9473,Six4,intergenic
enh243,chr12,110836791.0,110837790.0,0.9473,Stk30,genic
enh244,chr3,95651079.0,95652078.0,0.9465,Mcl1,upstream
enh245,chr13,97283046.0,97284045.0,0.9464,AC160109.1,upstream
enh246,chr12,72649014.0,72650013.0,0.9463,Dhrs7,downstream
enh247,chr3,122434083.0,122435082.0,0.9463,Bcar3,genic
enh248,chr8,111789101.0,111790100.0,0.9463,Cfdp1,genic
enh249,chr1,164376870.0,164377869.0,0.9462,Nme7,genic
enh250,chr1,86310426.0,86311425.0,0.9455,B3gnt7,downstream
enh251,chr1,35232156.0,35233155.0,0.9451,SNORA17,intergenic
enh252,chr11,88968687.0,88969686.0,0.945,Coil,upstream
enh253,chr9,7634001.0,7635000.0,0.945,Mmp20,genic
enh254,chr9,96229582.0,96230581.0,0.945,Tfdp2,genic
enh255,chr14,77250194.0,77251193.0,0.9443,Enox1,genic
enh256,chr13,109632805.0,109633804.0,0.9442,Pde4d,genic
enh257,chr15,98991570.0,98992569.0,0.9441,AC157610.1,downstream
enh258,chr3,9008001.0,9009000.0,0.9440000000000001,Tpd52,upstream
enh259,chr11,33527001.0,33528000.0,0.9438,AL669814.1,intergenic
enh260,chr10,70364253.0,70365252.0,0.9437,Fam13c,intergenic
enh261,chr19,29007511.0,29008510.0,0.9435,Cdc37l1,genic
enh262,chrX,52746824.0,52747823.0,0.9435,Kis2,upstream
enh263,chr4,55476129.0,55477128.0,0.9432,SNORA17,upstream
enh264,chr16,88719756.0,88720755.0,0.943,Krtap13-1,upstream
enh265,chr10,21829195.0,21830194.0,0.9426,AC158614.1,downstream
enh266,chr4,119071396.0,119072395.0,0.9422,RP23-344D2.1,upstream
enh267,chr2,69047944.0,69048943.0,0.9419,Lass6,genic
enh268,chr1,119398424.0,119399423.0,0.9413,Inhbb,intergenic
enh269,chr17,76111661.0,76112660.0,0.941,Y_RNA,upstream
enh270,chr1,132200424.0,132201423.0,0.9409,Lemd1,genic
enh271,chr11,97635687.0,97636686.0,0.9409,E130012A19Rik,upstream
enh272,chr19,14655511.0,14656510.0,0.9407,Tle4,intergenic
enh273,chr14,48700326.0,48701325.0,0.9402,AC166574.2,genic
enh274,chr4,141291086.0,141292085.0,0.94,Epha2,upstream
enh275,chr13,34244132.0,34245131.0,0.9390000000000001,Slc22a23,genic
enh276,chr10,80051256.0,80052255.0,0.9389,Gpx4,genic
enh277,chr7,13013652.0,13014651.0,0.9389,Zbtb45,upstream
enh278,chr13,52561632.0,52562631.0,0.9385,Syk,intergenic
enh279,chr7,130251487.0,130252486.0,0.9385,Fgfr2,genic
enh280,chr9,120679883.0,120680882.0,0.9381,5830454E08Rik,intergenic
enh281,chr3,54990079.0,54991078.0,0.9379,Ccna1,intergenic
enh282,chr10,108286945.0,108287944.0,0.9377,Ppp1r12a,downstream
enh283,chr12,108711791.0,108712790.0,0.9371,Degs2,upstream
enh284,chr7,25263982.0,25264981.0,0.9369,Cic,upstream
enh285,chr10,18422195.0,18423194.0,0.9364,Nhsl1,genic
enh286,chr19,46835511.0,46836510.0,0.9355,Cnnm2,genic
enh287,chr19,32254511.0,32255510.0,0.9354,Sgms1,genic
enh288,chr17,70900661.0,70901660.0,0.9352,CT009715.1,genic
enh289,chr4,57920129.0,57921128.0,0.9351,D630039A03Rik,upstream
enh290,chr11,63270499.0,63271498.0,0.9349,RP23-355P23.1,intergenic
enh291,chr2,172544501.0,172545500.0,0.9347,Tcfap2c,upstream
enh292,chr1,156994870.0,156995869.0,0.9346,Gm10531,intergenic
enh293,chr15,52012455.0,52013454.0,0.9341,Rad21,intergenic
enh294,chr2,71651944.0,71652943.0,0.934,Gm1631,intergenic
enh295,chr6,145276481.0,145277480.0,0.934,RP24-359O2.4,downstream
enh296,chr6,71085007.0,71086006.0,0.9338,RP24-92L16.2,intergenic
enh297,chr10,28014195.0,28015194.0,0.9337,Ptprk,intergenic
enh298,chr3,157321037.0,157322036.0,0.9335,Negr1,downstream
enh299,chr2,26610481.0,26611480.0,0.9334,Agpat2,upstream
enh300,chr18,3006001.0,3007000.0,0.9333,Crem,intergenic
enh301,chr14,76515194.0,76516193.0,0.9332,AC142266.1,genic
enh302,chr13,44018632.0,44019631.0,0.9327,RP23-469C2.1,intergenic
enh303,chr7,140962102.0,140963101.0,0.9326,Ifitm1,upstream
enh304,chr10,52273195.0,52274194.0,0.9324,Dcbld1,genic
enh305,chr5,103723982.0,103724981.0,0.9324,Aff1,genic
enh306,chr4,99642310.0,99643309.0,0.9316,RP23-35D18.1,intergenic
enh307,chr2,150657265.0,150658264.0,0.9314,Acss1,genic
enh308,chr15,103519570.0,103520569.0,0.9309999999999999,Pde1b,genic
enh309,chr3,103207078.0,103208077.0,0.9309999999999999,AC150894.1,upstream
enh310,chr13,44704632.0,44705631.0,0.9309,Jarid2,intergenic
enh311,chr4,142171086.0,142172085.0,0.9306,9030409G11Rik,genic
enh312,chr7,114740487.0,114741486.0,0.9302,Insc,upstream
enh313,chr6,72787007.0,72788006.0,0.9301,Tcf7l1,genic
enh314,chr3,34745079.0,34746078.0,0.9299,Sox2,intergenic
enh315,chr2,106750844.0,106751843.0,0.9298,Mpped2,genic
enh316,chr1,140429424.0,140430423.0,0.9295,Kcnt2,genic
enh317,chr12,86498051.0,86499050.0,0.9294,Esrrb,genic
enh318,chr4,53952129.0,53953128.0,0.9289,SNORA17,intergenic
enh319,chr6,108258007.0,108259006.0,0.9279,Itpr1,genic
enh320,chr1,59449157.0,59450156.0,0.9278,Fzd7,intergenic
enh321,chr11,8585998.0,8586997.0,0.9276,Tns3,genic
enh322,chr18,35043347.0,35044346.0,0.9276,Ctnna1,intergenic
enh323,chr2,131882265.0,131883264.0,0.9275,Lamr1-ps1,intergenic
enh324,chr10,44391195.0,44392194.0,0.9273,Atg5,intergenic
enh325,chr5,103734982.0,103735981.0,0.9273,Aff1,genic
enh326,chr4,127226757.0,127227756.0,0.927,Dlgap3,genic
enh327,chr4,53789129.0,53790128.0,0.9265,Tal2,downstream
enh328,chr4,119026396.0,119027395.0,0.9263,RP23-228G24.4,intergenic
enh329,chr10,108285945.0,108286944.0,0.9259999999999999,Ppp1r12a,downstream
enh330,chr12,41558414.0,41559413.0,0.9251,Immp2l,genic
enh331,chr18,75584347.0,75585346.0,0.925,Gm672,genic
enh332,chr5,119584992.0,119585991.0,0.925,AC140675.3,intergenic
enh333,chr3,52254079.0,52255078.0,0.9248,Foxo1,intergenic
enh334,chr11,22830001.0,22831000.0,0.9246,B3gnt2,genic
enh335,chr5,139167047.0,139168046.0,0.9242,Heatr2,genic
enh336,chr7,120157487.0,120158486.0,0.9241,Zp2,intergenic
enh337,chr15,92963570.0,92964569.0,0.924,Pdzrn4,intergenic
enh338,chr6,128295983.0,128296982.0,0.9238,Tead4,genic
enh339,chr10,99460367.0,99461366.0,0.9236,B530045E10Rik,intergenic
enh340,chr2,10334374.0,10335373.0,0.9235,RP23-6M16.2,downstream
enh341,chrX,13205875.0,13206874.0,0.9235,RP23-158L19.1,downstream
enh342,chr12,21462140.0,21463139.0,0.9233,Ywhaq,intergenic
enh343,chr13,37436132.0,37437131.0,0.9229999999999999,CT030182.1,upstream
enh344,chr4,6968854.0,6969853.0,0.9227,Tox,genic
enh345,chr18,65586347.0,65587346.0,0.9226,Zfp532,genic
enh346,chr10,84554256.0,84555255.0,0.9225,AC140333.1,upstream
enh347,chr6,35236001.0,35237000.0,0.9224,Nup205,genic
enh348,chr7,133114318.0,133115317.0,0.9224,Fgfr2,genic
enh349,chr3,103146078.0,103147077.0,0.9221,Dennd2c,genic
enh350,chr4,84528097.0,84529096.0,0.9221,Bnc2,genic
enh351,chr18,36253347.0,36254346.0,0.9218,Pura,intergenic
enh352,chr3,96675078.0,96676077.0,0.9218,Ankrd35,genic
enh353,chr12,72650014.0,72651013.0,0.9217,Dhrs7,genic
enh354,chr10,85050256.0,85051255.0,0.9215,U7,intergenic
enh355,chr15,7531001.0,7532000.0,0.9213,AC109195.1,intergenic
enh356,chr2,159418265.0,159419264.0,0.9206,RP23-53L16.1,intergenic
enh357,chr13,89661396.0,89662395.0,0.9204,Vcan,genic
enh358,chr1,11277920.0,11278919.0,0.9197,Prex2,genic
enh359,chr13,48244632.0,48245631.0,0.9197,AC154314.1,genic
enh360,chr12,110471791.0,110472790.0,0.9195,Ppp2r5c,genic
enh361,chr8,44978647.0,44979646.0,0.9194,Fat1,genic
enh362,chr2,172516501.0,172517500.0,0.9187,RP23-228E2.8,upstream
enh363,chr7,16364652.0,16365651.0,0.9185,Sae1,genic
enh364,chr8,111613101.0,111614100.0,0.9185,Znrf1,genic
enh365,chr15,88708571.0,88709570.0,0.9184,Brd1,genic
enh366,chr12,71053014.0,71054013.0,0.9183,Arid4a,genic
enh367,chr13,44721632.0,44722631.0,0.9183,Jarid2,upstream
enh368,chr5,122190992.0,122191991.0,0.9183,Hvcn1,intergenic
enh369,chr13,47855632.0,47856631.0,0.9178,4931429P17Rik,intergenic
enh370,chr8,120671101.0,120672100.0,0.9176,Galnt2,genic
enh371,chr2,167058501.0,167059500.0,0.9173,Znfx1,genic
enh372,chr3,41422079.0,41423078.0,0.917,SNORD22,intergenic
enh373,chr18,35757347.0,35758346.0,0.9167,Tmem173,intergenic
enh374,chr6,37689001.0,37690000.0,0.9166,AC157101.1,intergenic
enh375,chr10,44392195.0,44393194.0,0.9164,Atg5,intergenic
enh376,chr4,127344757.0,127345756.0,0.9164,Gjb4,downstream
enh377,chr2,8498374.0,8499373.0,0.9159999999999999,7SK,intergenic
enh378,chr2,70277944.0,70278943.0,0.9159999999999999,Myo3b,genic
enh379,chr10,17579195.0,17580194.0,0.9158,Cited2,intergenic
enh380,chr2,17988374.0,17989373.0,0.9158,H2afb1,downstream
enh381,chr4,155189892.0,155190891.0,0.9156,Ski,genic
enh382,chr11,8634998.0,8635997.0,0.9152,Tns3,genic
enh383,chr3,95636079.0,95637078.0,0.915,Ensa,downstream
enh384,chr10,95595367.0,95596366.0,0.9149,7SK,upstream
enh385,chr17,90031661.0,90032660.0,0.9148,Nrxn1,downstream
enh386,chr19,23087511.0,23088510.0,0.9147,AC132389.1,intergenic
enh387,chr11,88967687.0,88968686.0,0.914,RP23-176J13.11,upstream
enh388,chr14,19860779.0,19861778.0,0.9139,Gng2,intergenic
enh389,chrX,58013824.0,58014823.0,0.9138,Zic3,upstream
enh390,chr15,10723246.0,10724245.0,0.9137,AC138765.1,genic
enh391,chr6,31897001.0,31898000.0,0.9137,RP24-538P5.1,genic
enh392,chr10,62897253.0,62898252.0,0.9135,U6,upstream
enh393,chr18,20489500.0,20490499.0,0.9131,Dsg4,intergenic
enh394,chr7,107348487.0,107349486.0,0.9129999999999999,Syt9,intergenic
