name,chrom,start,end,strand,TPM
Pou5f1,chr17,35506031,35510777,+,1674.9277465095
Rps7,chr12,28630846,28635953,-,1672.2554739317
Slc25a5,chrX,36795596,36798808,+,1668.0212490387
Rpl6,chr5,121204500,121209241,+,1637.7601023376
Spp1,chr5,104435110,104441053,+,1618.9754574758
Mt2,chr8,94172617,94173567,+,1601.1299700346
Gsta4,chr9,78191965,78209349,+,1595.4209351687
Ywhae,chr11,75732886,75765841,+,1590.5098006515
Rps21,chr2,180257378,180258444,+,1583.0756690652
Rpl10a,chr17,28328470,28331033,+,1480.8701725637
Trim28,chr7,13024151,13031032,+,1443.7079603012
Rpl18a,chr8,70894721,70897443,-,1442.5461634019
Rpl38,chr11,114668542,114672331,+,1412.8403694521
Rpl31,chr1,39367850,39371910,+,1387.5032202869
Rpl27a,chr7,109519194,109522369,+,1386.5306312009
Ybx1,chr4,119277326,119294513,-,1370.2555240129
Rpl36,chr17,56613394,56614246,+,1358.9670077013
Mif,chr10,75859352,75860250,-,1349.2441169719
Rps6,chr4,86854098,86857367,-,1340.0613470097
Nanog,chr6,122707488,122714633,+,1338.9015789231
Rn45s,chr17,39842996,39848829,+,1315.9308427761
Ngfrap1,chrX,136270252,136271978,+,1304.9948232363
Cox7c,chr13,86044797,86046795,-,1301.3613914863
Rpl5,chr5,107900527,107909005,+,1242.3707499066
Rpl35a,chr16,33056452,33060188,+,1241.5196258589
Ifitm2,chr7,140954838,140955961,-,1236.1032754766
Atp5a1,chr18,77773767,77782868,+,1217.347185806
Eif2s2,chr2,154871409,154892906,-,1217.1202269133
Rpl37,chr15,5116612,5119140,+,1186.7174064325
Ranbp1,chr16,18239978,18248694,-,1184.3109789578
Ckb,chr12,111669354,111672338,-,1180.1129651883
Vdac1,chr11,52361114,52389396,+,1179.0944303621
2210409E12Rik,chr11,88972637,88973014,+,1177.9453550147
Pgk1,chrX,106187099,106203699,+,1142.0190812769
Hspd1,chr1,55077833,55087932,-,1107.9411175213
Rpl37a,chr1,72711259,72713813,+,1080.7321316529
Calr,chr8,84842087,84846931,-,1053.2525634533
Mylpf,chr7,127211607,127214287,+,1047.1508267134
Apoe,chr7,19696243,19699188,-,1041.2415005743
Nme2,chr11,93949813,93956256,-,1021.3549857882
Eef1b2,chr1,63176830,63180486,+,1019.4626792726
H2afz,chr3,137864486,137866922,+,996.7677807504
Btf3,chr13,98309896,98317006,-,987.7284203796
Rps10,chr17,27630428,27635242,-,987.2366918778
Cdk4,chr10,127063602,127067282,+,980.0528302181
Mt1,chr8,94179088,94180327,+,970.5338162611
Set,chr2,30061995,30072577,+,967.600767514
Hnrnpa2b1,chr6,51460434,51469894,-,959.0959487012
Calm2,chr17,87433400,87446935,-,957.085720513
Tubb4b,chr2,25222157,25224702,-,953.2078163973
Fkbp4,chr6,128430106,128438631,-,947.3162511531
Cct5,chr15,31590883,31601804,-,941.5101911922
Rps4l,chr6,148354655,148355596,+,940.7020195569
Cox6b1,chr7,30616973,30626151,-,936.1949861018
Asns,chr6,7675170,7693182,-,934.6111065244
Myl6,chr10,128490860,128493825,-,921.9016538727
Atp5g3,chr2,73908446,73911326,-,920.8342858009
Eif4ebp1,chr8,27260326,27275656,+,907.0527774341
Hnrnpab,chr11,51600099,51606881,-,905.3807866087
Rpl27,chr11,101442244,101445596,+,903.3447644959
Hint1,chr11,54866437,54870496,+,901.5721951226
Hmgn1,chr16,96121587,96127725,-,883.7023732255
Hspe1,chr1,55088147,55091317,+,882.6076835085
Cct3,chr3,88297134,88321766,+,878.7507504726
Cox4i1,chr8,120668224,120674209,+,876.9000956716
Tdgf1,chr9,110939607,110946158,-,871.8171422661
Actg1,chr11,120345689,120348484,-,870.8330864051
Cct2,chr10,117050997,117063814,-,862.8746920981
Igfbp2,chr1,72824479,72852471,+,862.2378017477
Fkbp3,chr12,65062431,65073938,-,854.48590862
Ncl,chr1,86344718,86359455,-,853.9614525071
Cox8a,chr19,7215157,7217616,-,846.63424287
Cox6c,chr15,35931975,35938246,-,837.1531935428
Cct6a,chr5,129787355,129846443,+,833.4690358604
Snrpd3,chr10,75518041,75535440,+,830.2611267663
C1qbp,chr11,70977845,70983026,-,829.0232808319
Ssr2,chr3,88579670,88588413,+,822.6269911315
Mdh2,chr5,135778648,135790386,+,821.8394675376
Tceb2,chr17,23824739,23829109,-,820.1432691674
Hspb1,chr5,135887918,135889563,+,811.6641107844
Hspa9,chr18,34937414,34954351,-,809.7045072504
Fabp3,chr4,130308777,130315463,+,807.1628216678
Tmsb4x,chrX,167207093,167209218,-,801.9178541435
Hnrnpk,chr13,58391131,58403343,-,801.0761713133
Cox6a1,chr5,115345653,115348955,-,794.2285106507
Psmb6,chr11,70525356,70527858,+,793.0441122205
Hsp90b1,chr10,86690840,86705444,-,786.7951504014
Cox5a,chr9,57521231,57532426,+,781.6529162501
Slc2a3,chr6,122727808,122742745,-,781.4527394418
Pcbp2,chr15,102470631,102500059,+,779.6833629926
Hdgf,chr3,87906320,87916132,+,778.033718915
Slc25a3,chr10,91116577,91123963,-,773.9871928775
Fus,chr7,127967478,127982031,+,772.5268424881
Anp32b,chr4,46451116,46472523,+,767.3894747969
Cct8,chr16,87483324,87495869,-,749.0595017386
Hnrnpu,chr1,178328299,178337784,-,746.7771314678
Odc1,chr12,17544872,17551502,+,746.7219282456
Rhox5,chrX,37754607,37808878,+,743.2486210315
Stip1,chr19,7020695,7040026,-,742.5862646704
Fau,chr19,6057887,6059524,+,741.155535638
Fth1,chr19,9980599,9985111,+,726.1311194465
Tuba1b,chr15,98931430,98934390,-,722.4009616406
Gpx1,chr9,108339079,108340344,+,717.5323974876
Txn1,chr4,57943372,57956411,-,713.5213710427
Ran,chr5,129020155,129024321,+,703.4507320287
Atp5j2,chr5,145183705,145191592,-,702.0054704467
Tpi1,chr6,124810591,124814296,-,699.6379615986
Ube2c,chr2,164769928,164772902,+,699.345571179
Cct4,chr11,22990592,23003336,+,698.549674133
Nono,chrX,101429650,101448593,+,683.2925561321
Cnn3,chr3,121426540,121458205,+,681.1750921427
Uqcr10,chr11,4701967,4704344,-,678.9402487982
Cox7b,chrX,106015699,106022450,+,676.1231050033
Hnrnpl,chr7,28810889,28822266,+,673.9133950165
Psmb3,chr11,97703433,97713500,+,673.7543199658
Capns1,chr7,30186941,30195048,-,671.4311238419
Srsf2,chr11,116849896,116853094,-,666.734839828
Sparc,chr11,55394158,55420080,-,665.9551967753
Psma2,chr13,14613241,14625673,+,664.6801165563
Tdh,chr14,63492346,63509092,-,652.9201007687
Pa2g4,chr10,128557765,128565934,-,651.6343418106
G3bp1,chr11,55469751,55500887,+,648.8044597747
Ifitm3,chr7,141009589,141010744,-,647.6801057045
Tcp1,chr17,12916328,12925067,+,646.4032138522
Ppp1ca,chr19,4192173,4195419,+,644.942150204
Usmg5,chr19,47083470,47090625,-,643.5058457424
Rpl14-ps1,chr7,45324957,45325651,+,642.377021062
Pcbp1,chr6,86524496,86526165,-,642.2231487335
H3f3a,chr1,180802567,180813603,-,640.2822444179
Snrpg,chr6,86371539,86378902,+,639.1894548113
Prmt1,chr7,44976754,44986420,-,637.4077930386
Ndufa4,chr6,11900372,11907446,-,636.7284572065
Psmb7,chr2,38588045,38643906,-,628.0717634805
Rps27l,chr9,66946117,66949509,+,627.3706863779
Cct7,chr6,85451504,85468477,+,626.9929450691
Eif3k,chr7,28971371,28981888,-,622.6432793829
Snrpd2,chr7,19149837,19152726,+,622.2808503675
Slc25a4,chr8,46207340,46211009,-,617.34944664
Atp5h,chr11,115415696,115419919,-,613.0775327639
Uqcrh,chr4,116066964,116075070,-,608.0620078379
Mlf2,chr6,124931387,124936149,+,605.4765838328
Nasp,chr4,116601051,116627951,-,603.516747102
Paics,chr5,76951410,76967505,+,603.4168100262
Snrpe,chr1,133603870,133610280,-,602.801379231
Ptbp1,chr10,79854431,79864435,+,602.4540789398
Uqcrb,chr13,66900620,66905350,-,600.4328269726
Nedd4,chr9,72662346,72749848,+,591.8328032012
Ddb1,chr19,10605624,10629821,+,590.66077396
Eif1,chr11,100319995,100322096,+,588.0570813957
Atp5o,chr16,91925222,91931630,-,587.7780047392
Hnrnph1,chr11,50377718,50386528,+,586.5489193353
P4hb,chr11,120560303,120572936,-,586.5388524851
Rrm2,chr12,24708253,24714146,+,583.3843755879
Mybbp1a,chr11,72441377,72451550,+,582.9319678435
Morf4l2,chrX,136732947,136743686,-,581.1606888418
Atf4,chr15,80255183,80257545,+,580.740176542
Prdx2,chr8,84969647,84974313,+,580.7233744193
Hdac1,chr4,129516103,129542646,-,579.9953587419
Wbp5,chrX,136245079,136247139,+,579.6553085471
Ddx5,chr11,106780355,106788494,-,579.3065517141
Clta,chr4,44012642,44032848,+,578.8231536227
Skp1a,chr11,52231994,52246858,+,577.4446069326
Ahsa1,chr12,87266727,87273952,+,576.8141661642
Phb2,chr6,124712288,124716945,+,576.4842853587
St13,chr15,81365043,81399694,-,574.3895419421
Eif3l,chr15,79075222,79094400,+,574.2599568098
Gpi1,chr7,34201326,34230336,-,568.9661493516
Cnbp,chr6,87842614,87851106,-,566.3895444931
Arhgdia,chr11,120577234,120581620,-,563.198704617
Psmb2,chr4,126677642,126709715,+,560.9711233773
H3f3b,chr11,116021960,116024504,-,559.7388428567
Slc25a39,chr11,102402975,102407517,-,554.4849660064
Nop56,chr2,130274411,130279313,+,554.0740872574
Tubb2b,chr13,34127007,34130354,-,549.4930534732
Park7,chr4,150897132,150909921,-,549.4900414855
Uba1,chrX,20658301,20683179,+,547.6904270233
Mybl2,chr2,163054634,163084687,+,546.6712201566
Pcna,chr2,132249285,132253180,-,544.4813831752
Trap1a,chrX,139333682,139338165,+,544.3354259213
Chchd10,chr10,75935572,75937734,+,544.2132320735
1810022K09Rik,chr3,14606288,14611256,-,543.970361144
Eif3d,chr15,77958997,77970824,-,543.6460615013
Ddx3x,chrX,13281021,13293983,+,543.4536943073
Nhp2,chr11,51619772,51623714,+,542.4506560451
Polr2e,chr10,80035952,80039659,-,541.3013125262
Ddx39b,chr17,35241745,35253707,+,540.9132710096
E130012A19Rik,chr11,97627386,97629716,-,540.092790604
Hspa4,chr11,53259813,53300479,-,539.299775414
Hspa5,chr2,34772089,34776529,+,537.9550252626
U2af1,chr17,31647081,31658754,-,536.9118237443
Psmc1,chr12,100112330,100123364,+,536.0906222125
Pdia3,chr2,121413901,121438686,+,531.4835276189
Cd9,chr6,125460265,125494755,-,530.9283031778
Srm,chr4,148591512,148594619,+,527.6754219724
Kpnb1,chr11,97159709,97187892,-,524.2636618541
Nap1l1,chr10,111473191,111498150,+,522.4984791691
Hnrnpc,chr14,52073379,52104028,-,519.7758647576
Pabpn1,chr14,54894142,54898927,+,519.2381376708
Ybx3,chr6,131364857,131388450,-,519.1294950046
Uqcrq,chr11,53428947,53430831,-,517.9507544701
Calcoco2,chr11,96098915,96111962,-,516.9501139135
Marcksl1,chr4,129513580,129515981,+,513.965881257
L1td1,chr4,98726753,98738486,+,512.5504594651
Tuba1a,chr15,98949846,98953501,-,511.2810550129
Psmb1,chr17,15475720,15498276,-,510.2868464515
Eif4b,chr15,102073772,102097173,+,510.2523162829
Eif3c,chr7,126546910,126566366,-,510.11396122
Bsg,chr10,79704357,79711979,+,508.580347857
Lamp1,chr8,13159134,13175338,+,508.5759102869
Ccnd3,chr17,47505050,47599688,+,508.1315099642
Psmc5,chr11,106256184,106263112,+,507.78994129
Rpl15,chr14,18267822,18270986,-,502.8156831475
Eif3h,chr15,51786562,51865461,-,502.0817233061
Klhl13,chrX,23219270,23365082,-,501.5463034965
Hat1,chr2,71389259,71441622,+,499.3143308046
Gars,chr6,55038000,55079504,+,498.9983701354
Arf1,chr11,59211411,59228267,-,498.2212952046
S100a11,chr3,93520495,93526288,+,497.3980694987
Upp1,chr11,9118007,9136170,+,497.1177660633
Pdha1,chrX,160122218,160138336,-,494.2538215402
Nop58,chr1,59685005,59711510,+,494.066617721
Banf1,chr19,5364632,5366876,-,493.1173796986
Psma4,chr9,54950858,54958030,+,491.3574221331
Snhg1,chr19,8723486,8726326,+,488.2900700674
Plp2,chrX,7668115,7671278,-,486.3485351513
Rcc2,chr4,140701472,140723220,+,484.186442753
Nudc,chr4,133532541,133546027,-,483.0191022825
Kpna2,chr11,106988628,106999525,-,481.6930194425
Anp32a,chr9,62341342,62378805,+,477.2318258526
Fbl,chr7,28169747,28179269,+,477.2095182215
Psmb4,chr3,94884323,94886958,-,476.3815499399
Prelid1,chr13,55322054,55325272,+,475.8992850398
Parp1,chr1,180568974,180601254,+,475.2404045622
Cfdp1,chr8,111768472,111854310,-,474.9233012624
Psma6,chr12,55398824,55418459,+,474.091975822
Ywhag,chr5,135908378,135934641,-,472.4500479936
Nars,chr18,64499646,64516557,-,470.8286583231
Ipo5,chr14,120911193,120948044,+,468.722243695
Psat1,chr19,15905122,15925059,-,468.7091880573
Bax,chr7,45461694,45466898,-,468.2452477948
Eif1ax,chrX,159372194,159385699,+,466.2259303565
Chchd2,chr5,129881160,129887470,-,466.0583410424
Lap3,chr5,45493373,45512691,+,463.919329435
Trp53,chr11,69580358,69591873,+,462.3372408269
Swi5,chr2,32278804,32288069,-,460.6045613757
Mcm7,chr5,138164588,138171862,-,459.892222847
Ctnnb1,chr9,120933399,120960507,+,455.5832390946
Ptges3,chr10,128058981,128077254,+,455.2063370446
Taldo1,chr7,141392159,141402976,+,454.6238314437
Mcm3,chr1,20803013,20820213,-,452.9415822026
Atp5k,chr5,108433252,108434378,-,450.8512726677
Sept1,chr7,127214441,127218445,-,449.3892304005
Mrpl42,chr10,95480805,95501927,-,449.3757245468
Snrpb,chr2,130171635,130179364,-,448.7385285419
Eif3e,chr15,43250039,43282736,-,447.4193044022
Dnajc8,chr4,132535558,132553742,+,447.1141823848
Ppib,chr9,66060168,66066629,+,445.9894281772
Eif3i,chr4,129591973,129600648,-,445.4090205983
Cyc1,chr15,76343522,76345934,+,445.3821105548
Senp3,chr11,69673109,69682084,-,444.8696646623
Atp5c1,chr2,10056030,10080510,-,443.7163404698
Tkt,chr14,30549130,30574726,+,443.6370883101
Ppp2r1a,chr17,20945453,20965905,+,442.7714907263
Rpl22,chr4,152324435,152334082,+,440.3732911095
Vdac2,chr14,21831560,21845879,+,438.856192775
Psmc4,chr7,28041701,28050092,-,438.5871380209
Arl6ip1,chr7,118118889,118129625,-,437.0229405644
Stmn2,chr3,8509526,8561604,+,433.7437244227
Cacybp,chr1,160202366,160212892,-,433.6781236058
Idh3g,chrX,73778962,73786897,-,433.5038569429
Nedd8,chr14,55662266,55671906,-,433.3687992107
Fkbp1a,chr2,151542482,151561691,+,432.7854921283
Pdia6,chr12,17266594,17284770,+,432.2845366284
Eif2b5,chr16,20498816,20509325,+,430.63740018
Eif4g1,chr16,20672726,20692883,+,430.2765846965
Uhrf1,chr17,56303336,56323486,+,428.2778352599
Ubxn1,chr19,8871558,8875656,+,428.2550383515
Msh6,chr17,87975049,87990892,+,427.5274029115
Uba2,chr7,34140696,34168529,-,425.499564134
Raly,chr2,154791109,154867261,+,424.9971727964
Eif3g,chr9,20894348,20898590,-,424.9399270851
Rbbp7,chrX,162760371,162779090,+,424.5432139716
Atp5g1,chr11,96072792,96075694,-,424.0044776383
Rpl22l1,chr3,28805510,28807415,+,423.587565043
Rsl1d1,chr16,11193036,11203292,-,422.5146706221
Ube2s,chr7,4808013,4812340,-,421.6279630482
Lsm3,chr6,91516034,91522620,+,419.8578437026
Snx5,chr2,144250123,144270902,-,419.2614602455
Gdi2,chr13,3538074,3566261,+,419.2473975843
Ppa1,chr10,61648620,61674165,+,417.4594859061
Apex1,chr14,50924948,50927188,+,417.4410315668
Canx,chr11,50293956,50325673,-,416.163116808
Bzw1,chr1,58393135,58406548,+,415.0860111142
Atp5d,chr10,80142314,80145818,+,414.4068716345
Sox2,chr3,34650004,34652460,+,413.9477831544
Aes,chr10,81559443,81566371,+,413.9344787839
Rpl36al,chr12,69182733,69184067,-,413.8221022877
Eif4a3,chr11,119288362,119300043,-,413.7896849657
Psma1,chr7,114264549,114276116,-,412.9373151945
Hnrnpm,chr17,33646232,33685458,-,412.4246611971
Asna1,chr8,85017930,85025278,-,412.3272120196
Cdc34,chr10,79682194,79688398,+,408.6865183374
Psmd3,chr11,98682553,98695978,+,408.6853304179
Ppp2ca,chr11,52098823,52122749,+,408.3394083927
Eif3f,chr7,108934414,108941942,+,408.0189260899
Akr1a1,chr4,116636509,116651674,-,405.7341269361
Eif4g2,chr7,111067984,111083030,-,405.7015534381
Dctpp1,chr7,127256958,127260667,-,404.7401353009
Actn4,chr7,28893253,28962280,-,404.3174453062
Morf4l1,chr9,90091668,90114820,-,403.3377734526
Hypk,chr2,121457087,121458440,+,403.1300426672
Eif3b,chr5,140419304,140443358,+,400.7073292749
Rpl29,chr9,106429538,106431567,+,400.4703632428
Snrpd1,chr18,10617795,10628230,+,398.9713519963
Aars,chr8,111033841,111055569,+,398.1555493925
Mcm5,chr8,75109508,75128439,+,397.2127003683
Atp5f1,chr3,105942677,105960248,-,396.2654031413
H2afx,chr9,44334714,44336073,+,395.7127602894
Uqcr11,chr10,80402996,80406821,-,394.6877443418
Lmnb1,chr18,56707812,56753424,+,394.5984731785
Dkc1,chrX,75095853,75109776,+,394.0545354231
Psmd2,chr16,20651651,20663414,+,392.9118226427
Ooep,chr9,78376902,78378588,-,391.9897920878
Mcm2,chr6,88883473,88898780,-,391.5306408674
2010107E04Rik,chr12,111961375,111966977,-,389.1445565963
Psap,chr10,60277627,60302600,+,387.9839461925
Cox5b,chr1,36691486,36693388,+,385.4994060102
Idh2,chr7,80094846,80115350,-,385.0747660326
Eif4a2,chr16,23107467,23114132,+,384.2967233445
Ucp2,chr7,100493357,100499629,+,381.9520963897
Slc2a1,chr4,119108744,119137329,+,381.8948224495
Atp5l,chr9,44913247,44920742,-,381.6992493743
Trh,chr6,92242060,92244650,-,381.2263983185
Ruvbl2,chr7,45421897,45434464,-,379.7100013755
Hprt,chrX,52988077,53021660,+,378.5530903881
Esrrb,chr12,86361116,86521628,+,378.1657952862
Stmn1,chr4,134468319,134473843,+,377.431278435
Shfm1,chr6,6558274,6578658,-,377.4104711177
Snx3,chr10,42502053,42535369,+,376.5539161462
Psmc3,chr2,91054015,91059438,+,375.7431489291
Cox7a2,chr9,79755240,79759853,-,374.1950429967
Mcm6,chr1,128331590,128359656,-,373.2189584097
Impdh2,chr9,108560500,108565566,+,373.065761742
Ssb,chr2,69861561,69871846,+,372.8333531422
Dnajc7,chr11,100582835,100620168,-,372.7951289246
Polr2f,chr15,79141366,79151767,+,372.3778383721
Psmd4,chr3,95032690,95042614,-,372.1210382243
Hmgb2,chr8,57511842,57515999,+,371.731703109
Tomm6,chr17,47686644,47688386,-,371.5228650015
Erh,chr12,80634022,80643861,-,370.3351384155
Cs,chr10,128337831,128362479,+,368.4132513388
Fscn1,chr5,142960354,142973189,+,367.8376450378
Mat2a,chr6,72432798,72439558,-,367.3916335751
Atp5g2,chr15,102662867,102671047,-,367.2510654728
Srsf5,chr12,80945503,80950507,+,367.1959471121
Gpx4,chr10,80047165,80056439,+,367.052134134
Vim,chr2,13574310,13582826,+,365.0870139615
Nme1,chr11,93958924,93968521,-,364.0710932371
Zfp57,chr17,37001162,37010729,+,362.6366006951
Ssrp1,chr2,85037119,85047114,+,362.1103788617
Dhx9,chr1,153455757,153487660,-,362.0440004271
Prdx6,chr1,161240111,161251210,-,361.4314866134
Alyref,chr11,120594515,120598365,-,361.3620923784
Psmd12,chr11,107479527,107498036,+,361.0651665112
Akap12,chr10,4266328,4359471,+,359.2022296361
Top2a,chr11,98992946,99024189,-,358.8085530386
Nop10,chr2,112261925,112262898,+,358.657059364
Mrfap1,chr5,36794866,36796754,-,358.3069683608
Kars,chr8,111993438,112011354,-,357.9365745455
U2af2,chr7,5062142,5079945,+,357.2657792614
Tecr,chr8,83571697,83594491,-,356.6422569536
Anapc5,chr5,122787460,122821342,-,355.9096041106
Scd2,chr19,44293675,44306862,+,355.7501286397
Rhoa,chr9,108306204,108337939,+,354.4227399402
Hsph1,chr5,149616844,149636315,-,352.4090234056
Snord96a,chr11,48802032,48802109,+,351.853111026
Sfr1,chr19,47731755,47735588,+,350.3745391505
Ppm1g,chr5,31202667,31220545,-,350.285571155
Acly,chr11,100476351,100528000,-,348.9150759228
Sfpq,chr4,127021300,127037014,+,348.9116853244
Eif4h,chr5,134619875,134639328,-,348.0781108897
Mfge8,chr7,79133767,79149060,-,347.6743185237
Bcap31,chrX,73686182,73716175,-,347.5985553746
Uqcrc1,chr9,108936647,108949641,+,346.6808176389
Shmt2,chr10,127517122,127522444,-,346.455091976
Polr2m,chr9,71478436,71485983,-,345.4044034127
Fbxo15,chr18,84935024,84981392,+,345.0840454578
Gcsh,chr8,116981827,116993449,-,344.9507308317
Serbp1,chr6,67266978,67289302,+,344.8533868087
Ddx39,chr8,83715176,83723351,+,344.5622935517
Atox1,chr11,55446642,55461138,-,341.1433041477
Pomp,chr5,147860627,147875778,+,340.9081336843
Mkrn1,chr6,39397820,39420369,-,340.3409475434
Msh2,chr17,87672556,87723713,+,339.7977026162
Ctsd,chr7,142375915,142387870,-,336.8094709203
Ndufb8,chr19,44550253,44555415,-,335.3460584356
Myl12b,chr17,70973962,70990516,-,334.7881392169
Fxr1,chr3,34020078,34069344,+,334.5550636129
Eif3m,chr2,104999656,105017027,-,334.2508224398
Psmd7,chr8,107580379,107588482,-,333.2160741065
Ptms,chr6,124913674,124917946,-,332.0827657177
Ifitm1,chr7,140967428,140969827,+,331.8291675566
Eif3a,chr19,60761115,60790693,-,331.4944113349
Pgd,chr4,149149984,149166707,-,331.1313292804
Psma5,chr3,108256925,108279952,+,330.6072276788
Ppid,chr3,79591388,79603650,+,330.5533838416
Sf3b2,chr19,5273920,5295455,-,330.2457668692
Lrrc59,chr11,94629823,94645216,+,329.9480439393
Psmd8,chr7,29174186,29180673,-,328.7838105345
Ctnna1,chr18,35118911,35254775,+,327.6587980338
Cdc20,chr4,118432900,118437343,-,327.5178182724
Mrpl12,chr11,120484668,120488754,+,327.0652116527
Etf1,chr18,34902784,34932003,-,326.2701695821
2700094K13Rik,chr2,84669220,84670708,-,325.8027774507
Srrm1,chr4,135320483,135353214,-,325.5495400687
Gnb1,chr4,155491360,155559269,+,325.0640607946
Prps1,chrX,140456602,140476140,+,324.1144668549
Capzb,chr4,139192898,139291820,+,322.4193414046
Pgam1,chr19,41911870,41918665,+,322.3671884452
Utf1,chr7,139943855,139945112,+,322.2606982879
Srsf3,chr17,29032659,29043372,+,321.5445764305
Cyb5r3,chr15,83153500,83172208,-,320.6194163781
Ndufb9,chr15,58933809,58939489,+,320.3559392919
Vcp,chr4,42979963,43000507,-,320.0710004154
Psmc6,chr14,45329823,45349071,+,318.9004421798
Phb,chr11,95666956,95680773,+,318.5560987134
Atxn10,chr15,85336380,85463836,+,318.4132269223
Pfdn2,chr1,171345698,171358170,+,317.2330110841
Ilf2,chr3,90476200,90488379,+,316.3323230855
Tars,chr15,11383662,11399658,-,315.1864852632
Atp1a1,chr3,101576218,101604707,-,315.1459574545
Gng5,chr3,146499835,146505543,+,315.1022332869
