name,chr,start,end,strand
Syp,chrX,7638079,7639079,+
Car5b,chrX,164027510,164028510,-
Zfp182,chrX,21061538,21062538,-
Wnk3,chrX,151197577,151198577,+
C330007P06Rik,chrX,36863746,36864746,-
Slc25a43,chrX,36743131,36744131,+
Snora69,chrX,37082533,37083533,-
Maoa,chrX,16619197,16620197,+
Rp2h,chrX,20363980,20364980,+
Gm6880,chrX,74480899,74481899,-
Timp1,chrX,20869665,20870665,+
Elf4,chrX,48462632,48463632,-
Klhl13,chrX,23364582,23365582,-
Gpkow,chrX,7696633,7697633,+
Egfl6,chrX,166585216,166586216,-
Gm5635,chrX,9062589,9063589,+
Eif1ax,chrX,159371694,159372694,+
Tsr2,chrX,151096043,151097043,-
Trpc5os,chrX,144456081,144457081,+
Usp9x,chrX,13070997,13071997,+
Kantr,chrX,152326993,152327993,-
Mecp2,chrX,74085190,74086190,-
Mcts1,chrX,38600157,38601157,+
Cdk16,chrX,20687992,20688992,+
Glod5,chrX,8017992,8018992,-
Nono,chrX,101429150,101430150,+
Plp1,chrX,136822245,136823245,+
Rbm41,chrX,139998095,139999095,-
Uxt,chrX,20961478,20962478,-
Rpgr,chrX,10216295,10217295,-
Xlr3c,chrX,73264890,73265890,-
Ofd1,chrX,166440204,166441204,-
Taz,chrX,74282217,74283217,+
A230072C01Rik,chrX,20961175,20962175,+
Pola1,chrX,93631655,93632655,-
4930519F16Rik,chrX,103256106,103257106,-
Emd,chrX,74254186,74255186,+
Zfp185,chrX,72986838,72987838,+
Tmem164,chrX,142680899,142681899,+
Magix,chrX,7680751,7681751,-
Map3k15,chrX,159987932,159988932,+
Elk1,chrX,20950108,20951108,-
Slc10a3,chrX,74372849,74373849,-
Foxo4,chrX,101254027,101255027,+
Pgrmc1,chrX,36597724,36598724,+
Pir,chrX,164268930,164269930,+
Ribc1,chrX,152015795,152016795,-
Ubl4a,chrX,74368048,74369048,-
Med14,chrX,12761473,12762473,-
Fundc1,chrX,17571797,17572797,-
Ocrl,chrX,47911955,47912955,+
G6pdx,chrX,74428661,74429661,-
Fam50a,chrX,74312532,74313532,+
Zmym3,chrX,101420185,101421185,-
Upf3b,chrX,37109822,37110822,-
Mir3113,chrX,151859061,151860061,+
Nsdhl,chrX,72918020,72919020,+
Atp6ap1,chrX,74296596,74297596,+
2010204K13Rik,chrX,7422488,7423488,-
F8a,chrX,73227805,73228805,+
Nhs,chrX,162158941,162159941,-
Chic1,chrX,103355975,103356975,+
Rab9,chrX,166479367,166480367,-
Rhox13,chrX,38120339,38121339,+
Ppp1r3f,chrX,7573781,7574781,-
Piga,chrX,164419286,164420286,+
Gab3,chrX,75084405,75085405,-
Ercc6l,chrX,102156591,102157591,-
Gripap1,chrX,7789492,7790492,+
Zfp275,chrX,73342119,73343119,+
Ebp,chrX,8193012,8194012,-
Gla,chrX,134600505,134601505,-
Pcyt1b,chrX,93654362,93655362,+
Diap2,chrX,129749241,129750241,+
Rnf113a1,chrX,37190842,37191842,+
Bhlhb9,chrX,135885350,135886350,+
Rps6ka3,chrX,159255281,159256281,+
AU022751,chrX,6082920,6083920,-
Mtm1,chrX,71210266,71211266,+
Slc25a5,chrX,36795096,36796096,+
Ccdc22,chrX,7604920,7605920,-
Foxr2,chrX,153118287,153119287,+
Atp6ap2,chrX,12587258,12588258,+
Col4a5,chrX,141474918,141475918,+
Mamld1,chrX,71049755,71050755,+
Tmsb4x,chrX,167208718,167209718,-
Nkap,chrX,37126262,37127262,+
Aifm1,chrX,48513063,48514063,-
Dlg3,chrX,100767221,100768221,+
Mageb4,chrX,86255719,86256719,-
Nap1l2,chrX,103186164,103187164,-
Atp7a,chrX,106026723,106027723,+
Pet2,chrX,89409189,89410189,-
Lonrf3,chrX,36327908,36328908,+
Akap17b,chrX,36644914,36645914,-
Iqsec2,chrX,152143767,152144767,+
Brcc3,chrX,75416127,75417127,+
Tktl1,chrX,74176758,74177758,+
Nkrf,chrX,36902399,36903399,-
Med12,chrX,101273590,101274590,+
Shroom2,chrX,152768986,152769986,-
Smc1a,chrX,152015927,152016927,+
Rpl39,chrX,37084684,37085684,-
1110012L19Rik,chrX,70385412,70386412,+
Otud5,chrX,7841330,7842330,+
Ikbkg,chrX,74392790,74393790,+
Aff2,chrX,69359830,69360830,+
Nxt2,chrX,142226269,142227269,+
Shroom4,chrX,6399644,6400644,+
Ube2a,chrX,36873865,36874865,+
Vbp1,chrX,75513796,75514796,+
Alg13,chrX,144317465,144318465,+
Mtap7d3,chrX,56821825,56822825,-
Zrsr2,chrX,163958166,163959166,-
Sox3,chrX,60892930,60893930,-
Prrg3,chrX,71962124,71963124,+
Tspyl2,chrX,152341984,152342984,-
Utp14a,chrX,48256433,48257433,+
Magea4,chrX,72221516,72222516,+
Mtmr1,chrX,71364259,71365259,+
Prps2,chrX,167382199,167383199,-
Timm17b,chrX,7898897,7899897,+
Fam3a,chrX,74392639,74393639,-
Hccs,chrX,169319843,169320843,-
Irak1,chrX,74023421,74024421,-
Zfp711,chrX,112600025,112601025,+
Yy2,chrX,157568485,157569485,-
Clcn5,chrX,7318858,7319858,-
Kif4,chrX,100625564,100626564,+
Pdha1,chrX,160137836,160138836,-
Dusp9,chrX,73638940,73639940,+
Acot9,chrX,155261999,155262999,+
Il13ra1,chrX,36111607,36112607,+
Nudt11,chrX,6047006,6048006,+
Prps1,chrX,140456102,140457102,+
Mospd2,chrX,164979875,164980875,-
Hsd17b10,chrX,152001395,152002395,+
BC065397,chrX,136742456,136743456,+
Txlng,chrX,162828954,162829954,-
Huwe1,chrX,151802781,151803781,+
Abcb7,chrX,104413346,104414346,-
Las1l,chrX,95956474,95957474,-
Pqbp1,chrX,7898769,7899769,-
Hnrnph2,chrX,134600785,134601785,+
Sms,chrX,157491546,157492546,-
Armcx5,chrX,135742191,135743191,+
Snx12,chrX,101222063,101223063,-
Wdr45,chrX,7721719,7722719,+
Fmr1,chrX,68678040,68679040,+
Slc38a5,chrX,8270880,8271880,+
Dgkk,chrX,6872983,6873983,+
Gm14458,chrX,8986172,8987172,-
Rps6ka6,chrX,111537459,111538459,-
Renbp,chrX,73930350,73931350,-
Smarca1,chrX,47892052,47893052,-
Sash3,chrX,48146026,48147026,+
Zcchc12,chrX,36195403,36196403,+
Rbm10,chrX,20617002,20618002,+
Cox7b,chrX,106015199,106016199,+
Was,chrX,8089991,8090991,-
Gria3,chrX,41400800,41401800,+
Tceal8,chrX,136171751,136172751,-
Zfp300,chrX,21088729,21089729,-
Cask,chrX,13846056,13847056,-
Nlgn3,chrX,101298678,101299678,+
Araf,chrX,20848042,20849042,+
Fgd1,chrX,151046669,151047669,+
Klf8,chrX,153237544,153238544,+
Chm,chrX,113185015,113186015,-
Tbl1x,chrX,77510726,77511726,+
Rbmx,chrX,57392536,57393536,-
Sat1,chrX,155215949,155216949,-
Fancb,chrX,164980091,164981091,+
Cdkl5,chrX,160994181,160995181,-
Zfp280c,chrX,48593952,48594952,-
Fam199x,chrX,137049093,137050093,+
Cul4b,chrX,38575696,38576696,-
Zic3,chrX,58030127,58031127,+
Usp27x,chrX,7375330,7376330,-
Amer1,chrX,95444340,95445340,-
Lage3,chrX,74353118,74354118,-
Timm8a1,chrX,134541129,134542129,-
Rhox1,chrX,37221758,37222758,-
Siah1b,chrX,164075993,164076993,-
Cenpi,chrX,134307583,134308583,+
Msl3,chrX,168673402,168674402,-
Prdx4,chrX,155337954,155338954,-
Asb11,chrX,164437600,164438600,+
Mmgt1,chrX,56597419,56598419,-
Rbbp7,chrX,162759871,162760871,+
Ubqln2,chrX,153497731,153498731,+
Wbp5,chrX,136244579,136245579,+
Slc6a8,chrX,73672632,73673632,+
Il2rg,chrX,101267755,101268755,-
4930550L24Rik,chrX,58910960,58911960,+
Bex4,chrX,136138544,136139544,+
Lrch2,chrX,147553581,147554581,-
Rpl10,chrX,74270315,74271315,+
Stag2,chrX,42148911,42149911,+
Gm773,chrX,56212381,56213381,-
Pdzd11,chrX,100625407,100626407,-
F8,chrX,75379541,75380541,-
Arhgef6,chrX,57338229,57339229,-
Rab39b,chrX,75577731,75578731,-
Abcd1,chrX,73716096,73717096,+
Awat2,chrX,100442217,100443217,-
Dynlt3,chrX,9662483,9663483,-
Ftx,chrX,103623254,103624254,-
Tbc1d25,chrX,8175681,8176681,-
Thoc2,chrX,41911401,41912401,-
Apool,chrX,112310907,112311907,+
Morf4l2,chrX,136743186,136744186,-
Zdhhc9,chrX,48208202,48209202,-
Arxes2,chrX,135993319,135994319,+
Cetn2,chrX,72917844,72918844,-
Ammecr1,chrX,142966228,142967228,-
BC023829,chrX,70476543,70477543,-
Taf9b,chrX,106220658,106221658,-
Phka2,chrX,160501665,160502665,+
Scml2,chrX,161162249,161163249,+
Hprt,chrX,52987577,52988577,+
Tmem35,chrX,134294724,134295724,+
Cstf2,chrX,134058675,134059675,+
Tceal5,chrX,136203351,136204351,-
Pof1b,chrX,112698151,112699151,-
Enox2,chrX,49287742,49288742,-
Mpp1,chrX,75130516,75131516,-
Pbdc1,chrX,105079255,105080255,+
Ftsj1,chrX,8251906,8252906,-
Rps4x,chrX,102187871,102188871,-
Atp11c,chrX,60403481,60404481,-
Tbc1d8b,chrX,139684495,139685495,+
Pgk1,chrX,106186599,106187599,+
Esx1,chrX,137119826,137120826,-
Zfp449,chrX,56345899,56346899,+
Bex1,chrX,136215013,136216013,-
Bex2,chrX,136067736,136068736,-
Rbmx2,chrX,48694503,48695503,+
AA414768,chrX,12936372,12937372,+
Pak3,chrX,143518090,143519090,+
Ddx26b,chrX,56454338,56455338,+
Armcx3,chrX,134756067,134757067,+
Gm1141,chrX,71931937,71932937,+
Ndufa1,chrX,37190738,37191738,-
Pdk3,chrX,93831595,93832595,-
Pcsk1n,chrX,7919321,7920321,+
Snora70,chrX,74271991,74272991,+
Rhox10,chrX,38065974,38066974,+
Hmgb3,chrX,71555416,71556416,+
Psmd10,chrX,140956211,140957211,-
Itm2a,chrX,107402860,107403860,-
Trmt2b,chrX,134276484,134277484,-
Kdm5c,chrX,152232726,152233726,+
Zxda,chrX,94797789,94798789,-
Brwd3,chrX,108833855,108834855,-
Fundc2,chrX,75381898,75382898,+
Magt1,chrX,106011399,106012399,-
Magea10,chrX,72386358,72387358,-
Gm6787,chrX,8096586,8097586,+
Acsl4,chrX,142390035,142391035,-
Rhox2a,chrX,37244491,37245491,+
Ngfrap1,chrX,136269752,136270752,+
2210013O21Rik,chrX,153723053,153724053,+
Zbtb33,chrX,38189292,38190292,+
Vma21,chrX,71815579,71816579,+
Phf6,chrX,52911713,52912713,+
Armcx1,chrX,134717437,134718437,+
Tsx,chrX,103413966,103414966,+
Platr21,chrX,139357238,139358238,-
Hdac8,chrX,102504648,102505648,-
Rpl36a,chrX,134585153,134586153,+
Zc3h12b,chrX,95711177,95712177,+
4933402E13Rik,chrX,62282998,62283998,+
Plxnb3,chrX,73756602,73757602,+
Lancl3,chrX,9199472,9200472,+
Ndufb11,chrX,20617064,20618064,-
Wdr44,chrX,23692550,23693550,+
