name,chr,start,end,strand,RPK
Ccdc154,chr17,25161960,25162960,+,2.0897742912
4933439K11Rik,chr1,172550306,172551306,-,2.0885294321
Gdap1,chr1,17144872,17145872,+,2.0875439034
Tmc1,chr19,20953702,20954702,-,2.0865742845
1700094J05Rik,chr10,76388514,76389514,+,2.0857194672
Abca17,chr17,24346752,24347752,-,2.0852532778
Cpne4,chr9,104569287,104570287,+,2.0824892783
Mir5619,chr5,104047502,104048502,+,2.0813354604
4930402K13Rik,chrX,9104061,9105061,+,2.0808481963
Ttll10,chr4,156050317,156051317,-,2.080143016
D730001G18Rik,chr15,74778359,74779359,-,2.0791448501
Kcnk10,chr12,98577440,98578440,-,2.0767371491
Pth2r,chr1,65310756,65311756,+,2.0766826195
Asb2,chr12,103355501,103356501,-,2.0760611609
Wnt5a,chr14,28504972,28505972,+,2.0756928376
Ptchd1,chrX,155622827,155623827,-,2.0742096889
2310034O05Rik,chr5,100210191,100211191,+,2.0729288062
Mir31,chr4,88910162,88911162,-,2.0728739581
9330159M07Rik,chr9,88858370,88859370,-,2.0705125835
Hist1h2aa,chr13,23933961,23934961,+,2.0699267516
Gabra3,chrX,72655746,72656746,-,2.068843112
Mir6979,chr18,37854160,37855160,-,2.0679995764
D130043K22Rik,chr13,24844630,24845630,+,2.0673223701
Prss23,chr7,89517086,89518086,-,2.0648136353
Fam179a,chr17,71672760,71673760,+,2.0642799142
Cd274,chr19,29366937,29367937,+,2.0604425009
Fam149a,chr8,45381791,45382791,-,2.0591034777
Clstn2,chr9,98032667,98033667,-,2.0590612405
Prdm13,chr4,21685463,21686463,-,2.0542717616
4930556G01Rik,chr4,30664095,30665095,+,2.0518736572
Serpina3n,chr12,104406207,104407207,+,2.0508520782
Egr4,chr6,85513042,85514042,-,2.0504351304
Adam3,chr8,24725325,24726325,-,2.0491496764
Mir7029,chr5,115580448,115581448,+,2.0463028851
Ebf3,chr7,137313945,137314945,-,2.0458305747
Cdh5,chr8,104101124,104102124,+,2.0446060992
Srpx,chrX,10117161,10118161,-,2.0437858759
Col8a2,chr4,126286293,126287293,+,2.0422366939
Rprml,chr11,103649008,103650008,+,2.042195561
Rab40b,chr11,121387751,121388751,-,2.0421634253
Syt16,chr12,73997260,73998260,+,2.0418455745
Olfr875,chr9,37772136,37773136,+,2.0410372661
Hdac9,chr12,34916595,34917595,-,2.0368872557
4921504A21Rik,chr5,19226055,19227055,-,2.0325087004
Tmem235,chr11,117860251,117861251,+,2.0243699602
Syt1,chr10,109010475,109011475,-,2.0241057518
Ngp,chr9,110419307,110420307,+,2.0237634525
Slc41a2,chr10,83337317,83338317,-,2.0235056331
Lyzl4,chr9,121641066,121642066,-,2.0225603323
Cdh23,chr10,60695990,60696990,-,2.0205960263
Trim29,chr9,43310262,43311262,+,2.0197657826
Gpr84,chr15,103309938,103310938,-,2.0173971761
Defb47,chr14,62997576,62998576,+,2.0152517779
Gm5089,chr14,122450646,122451646,-,2.0140947933
Kbtbd11,chr8,15010524,15011524,+,2.0083169918
AY074887,chr9,54950454,54951454,-,2.0080213211
Cox6a2,chr7,128205866,128206866,-,2.0079075421
Robo2,chr16,74410412,74411412,-,2.0070462709
Gm6890,chrX,74740426,74741426,+,2.0061226656
Zeb2,chr2,45112779,45113779,-,2.0057701374
Gm766,chr6,142803966,142804966,-,2.0031088529
Mrgpre,chr7,143784000,143785000,-,2.0020335414
Fxyd3,chr7,31076197,31077197,-,2.0017671693
Cxcr5,chr9,44525921,44526921,-,2.0012173587
Fxyd7,chr7,31050954,31051954,-,1.9981962006
Nat8,chr6,85831390,85832390,-,1.9972537438
Nanos2,chr7,18987023,18988023,+,1.9970220443
Mir3474,chr2,158638082,158639082,+,1.9966892462
Mir6918,chr11,4890844,4891844,+,1.9966892462
Cacna1i,chr15,80286737,80287737,+,1.9955810456
Sugct,chr13,17694265,17695265,-,1.9937441106
Grin3a,chr4,49845269,49846269,-,1.9922068045
Gm16596,chr12,108555118,108556118,-,1.9914597923
Ttll11,chr2,35979124,35980124,-,1.9907986113
Isg15,chr4,156200318,156201318,-,1.9851365728
Irs1,chr1,82290939,82291939,-,1.9841838392
Fer1l4,chr2,156052447,156053447,-,1.9832918642
Lrrc74a,chr12,86733868,86734868,+,1.9828987219
Alk,chr17,72603807,72604807,-,1.9817103925
Cox8b,chr7,140899946,140900946,-,1.9812677154
Asmt,chrX,170672143,170673143,+,1.9763543726
Csl,chr10,99759158,99760158,-,1.9758082481
Chad,chr11,94564573,94565573,+,1.9747550177
Nrn1,chr13,36733977,36734977,-,1.9737158712
B230119M05Rik,chrX,134685962,134686962,-,1.9718294822
4930512B01Rik,chr12,69789843,69790843,+,1.9701551806
Camk1g,chr1,193369782,193370782,-,1.9697172034
Crispld1,chr1,17726916,17727916,+,1.9663390587
Spz1,chr13,92575732,92576732,-,1.9640317796
Pcdhga9,chr18,37736435,37737435,+,1.9626898747
Hepacam2,chr6,3493998,3494998,-,1.9625052861
Syt6,chr3,103574781,103575781,+,1.9617578409
Mir7231,chr6,122830876,122831876,+,1.9611720428
Mir6917,chr10,128583997,128584997,-,1.9611720428
Acot4,chr12,84037878,84038878,+,1.9610274161
4930549C01Rik,chr4,136609936,136610936,+,1.9604834782
1110046J04Rik,chr13,33935531,33936531,+,1.9599261354
Taar2,chr10,23938071,23939071,+,1.9559968741
4930503B20Rik,chr3,146650817,146651817,-,1.9537568397
Pcdhgc4,chr18,37814578,37815578,+,1.9523629759
Gm7173,chrX,79516785,79517785,-,1.9508180627
Gm14635,chrX,12354496,12355496,-,1.9507372673
Pramel4,chr4,144058625,144059625,+,1.950643437
Mir7047,chr7,24987167,24988167,-,1.9503824374
4931420L22Rik,chr16,71130575,71131575,+,1.9503257103
Rhox2e,chrX,37529967,37530967,+,1.950156783
1810021B22Rik,chr15,89075354,89076354,-,1.946988152
Gja3,chr14,57057530,57058530,-,1.937397518
Scin,chr12,40133728,40134728,-,1.9362397093
Fam221b,chr4,43668359,43669359,-,1.9338119511
Lman1l,chr9,57620274,57621274,-,1.9303343642
Maob,chrX,16816866,16817866,-,1.9301457499
Dlx5,chr6,6881568,6882568,-,1.9293989614
Mir7213,chr15,79998526,79999526,-,1.927409119
Vtcn1,chr3,100824958,100825958,+,1.9263400609
Plekhd1os,chr12,80691966,80692966,-,1.9243173528
Mir193a,chr11,79711468,79712468,+,1.9236585316
4933424G05Rik,chr18,14988494,14989494,+,1.922441313
Acot10,chr15,20666250,20667250,-,1.9210401483
Mir3100,chr7,19086327,19087327,+,1.9203765537
Add2,chr6,86028180,86029180,+,1.917637333
Mir1191b,chr10,81415797,81416797,-,1.9157088123
Hmcn1,chr1,150992935,150993935,-,1.9109693187
Cyp26b1,chr6,84593408,84594408,-,1.9094975987
Adarb2,chr13,8202365,8203365,+,1.9082031787
Ms4a15,chr19,10992750,10993750,-,1.9056567545
Shbg,chr11,69617405,69618405,-,1.9024047009
Kcnk16,chr14,20268662,20269662,-,1.9022279439
Tmem132b,chr5,125531917,125532917,+,1.9016603935
2900052N01Rik,chr9,46913102,46914102,+,1.9005908077
Wfdc3,chr2,164742767,164743767,-,1.8996717928
Ccdc175,chr12,72184529,72185529,-,1.8942349799
Mir6986,chr19,4623455,4624455,-,1.8941779273
4930525D18Rik,chr9,114364127,114365127,-,1.894123703
Slc24a4,chr12,102128918,102129918,+,1.8876672359
Zfp521,chr18,13972233,13973233,-,1.8874692844
Lypd4,chr7,24869191,24870191,-,1.8866038566
Gdf5,chr2,155944864,155945864,-,1.886301317
Mpp4,chr1,59162889,59163889,-,1.8851099074
Calm4,chr13,3837256,3838256,+,1.8834856017
Gm10696,chr3,94177693,94178693,-,1.8822156266
Oaz3,chr3,94436151,94437151,-,1.8816369956
Gpr156,chr16,37915995,37916995,+,1.8806506423
Rsph6a,chr7,19054186,19055186,+,1.880160379
Prame,chrX,135627205,135628205,-,1.879776453
Rgs17,chr10,5921900,5922900,-,1.8784423919
Tex16,chrX,112093019,112094019,+,1.8784294791
Hoxa11os,chr6,52244742,52245742,+,1.8784094186
Calb1,chr4,15880763,15881763,+,1.877512282
Cdh18,chr15,23035962,23036962,+,1.877497656
Pkib,chr10,57631480,57632480,+,1.8758574146
Itga8,chr2,12301420,12302420,-,1.8750938606
Efcab5,chr11,77188468,77189468,-,1.8727254625
Serpinb9e,chr13,33249109,33250109,+,1.8713625715
Pcsk2,chr2,143545632,143546632,+,1.8711389467
Cyp2b10,chr7,25897157,25898157,+,1.8707741311
Ctnna2,chr6,77979167,77980167,-,1.8658494783
Ism1,chr2,139677677,139678677,+,1.865468627
Spata18,chr5,73650879,73651879,+,1.8646323645
Mir484,chr16,14159125,14160125,+,1.8630518805
Mir7668,chr7,29906008,29907008,+,1.8620732166
Gal3st4,chr5,138272254,138273254,-,1.8594331414
Scrt2,chr2,152081028,152082028,+,1.8572965307
Acpt,chr7,44256704,44257704,-,1.8569446962
Kcnk13,chr12,99963998,99964998,+,1.8546705733
4930415F15Rik,chr11,11488765,11489765,+,1.8512142201
Ankrd22,chr19,34165541,34166541,-,1.8512034381
Myt1l,chr12,29527883,29528883,+,1.8506840357
BC107364,chr3,96451806,96452806,-,1.8497037118
Cldn34b1,chrX,154889767,154890767,-,1.8492092847
Arsj,chr3,126363351,126364351,+,1.8477623256
Slc6a20a,chr9,123678332,123679332,-,1.8463913934
Myod1,chr7,46375973,46376973,+,1.8437674717
Gm5071,chrX,91932480,91933480,-,1.8436956739
Arhgap36,chrX,49469949,49470949,+,1.8410129562
Krt1,chr15,101850286,101851286,-,1.8407918497
Fscn3,chr6,28427400,28428400,+,1.8393897246
Kcnmb2,chr3,31902202,31903202,+,1.8387977886
Slc6a14,chrX,21714399,21715399,+,1.8387482911
Mylk3,chr8,85380541,85381541,-,1.8382089456
Hnmt,chr2,24048879,24049879,-,1.8364539927
Eno1,chr4,150236696,150237696,+,1.836369734
Txndc2,chr17,65641704,65642704,-,1.8359374716
4833427G06Rik,chr9,51101578,51102578,-,1.8355973093
Tnfrsf17,chr16,11313308,11314308,+,1.8335720374
B3gnt6,chr7,98198975,98199975,-,1.8335714059
Cd200r2,chr16,44866596,44867596,+,1.8322147673
Dmrta1,chr4,89687697,89688697,+,1.8320778307
Stab1,chr14,31168141,31169141,-,1.8311342289
Pax9,chr12,56695138,56696138,+,1.8287050346
Tgfb3,chr12,86078541,86079541,-,1.8285065617
Opn4,chr14,34599642,34600642,-,1.8278629416
Dcaf12l2,chrX,44367837,44368837,-,1.8270062439
5031434O11Rik,chr3,51559256,51560256,+,1.8269831988
Ikzf2,chr1,69685460,69686460,-,1.8244317112
Mir6546,chr1,171064152,171065152,-,1.8243876377
Scarna3b,chr12,80391237,80392237,-,1.8243876377
Sprr2e,chr3,92351642,92352642,+,1.8227143301
Prom2,chr2,127540917,127541917,-,1.8226391888
Smoc2,chr17,14279005,14280005,+,1.8226022766
Mir2137,chrX,72991578,72992578,+,1.8217000035
Dlx1,chr2,71528944,71529944,+,1.8212794419
Nmur1,chr1,86387641,86388641,-,1.8205355884
Nostrin,chr2,69135299,69136299,+,1.8203258601
Opalin,chr19,41076613,41077613,-,1.8202580114
A730020M07Rik,chr3,121645953,121646953,-,1.8199132826
C920009B18Rik,chr10,22306219,22307219,+,1.8179650535
Prkag3,chr1,74748455,74749455,-,1.8146255669
Pkd1l3,chr8,109614016,109615016,+,1.8141353582
Aqp1,chr6,55335798,55336798,+,1.8135082032
Tdpoz2,chr3,93652186,93653186,-,1.8132920209
Cyp4f37,chr17,32620818,32621818,+,1.8122016622
Lta,chr17,35204851,35205851,-,1.8119139583
4921524L21Rik,chr18,6603132,6604132,+,1.8116766957
Drd5,chr5,38319008,38320008,+,1.8112670308
1700021F07Rik,chr2,173522091,173523091,+,1.8110115912
Tac1,chr6,7554570,7555570,+,1.8109308416
Fcamr,chr1,130800401,130801401,+,1.8104330283
Csgalnact1,chr8,68734646,68735646,-,1.8085974165
Synpo,chr18,60623805,60624805,-,1.8056645338
Slc22a3,chr17,12507204,12508204,-,1.8038719123
Spata31d1d,chr13,59731252,59732252,-,1.8037310189
Zg16,chr7,127051477,127052477,-,1.8011087073
Vmn2r-ps54,chr7,41667513,41668513,+,1.8006669383
Wisp2,chr2,163820333,163821333,+,1.799436089
Ank1,chr8,22974335,22975335,+,1.7992762623
Kcnma1,chr14,24003705,24004705,-,1.7970164484
Gucy2e,chr11,69236522,69237522,-,1.7928337744
4930502E09Rik,chr11,84828677,84829677,+,1.792746853
9430060I03Rik,chr1,92950090,92951090,-,1.7869948583
Ucn,chr5,31138395,31139395,-,1.7868721844
Vmn2r3,chr3,64286917,64287917,-,1.7839030442
Mir5623,chr19,58050666,58051666,+,1.7832067999
Gm15401,chr6,72628787,72629787,+,1.7800557824
Kcnmb4os2,chr10,116472662,116473662,+,1.7789968625
Rsf1os1,chr7,97644612,97645612,-,1.7779148037
Wnt10b,chr15,98777650,98778650,-,1.7773102281
Trpv1,chr11,73233648,73234648,+,1.7771084867
Adora1,chr1,134234957,134235957,-,1.7765995989
Pramef6,chr4,143899880,143900880,-,1.776527903
Gm4566,chr17,71341304,71342304,-,1.7753985893
Hhipl2,chr1,183417969,183418969,+,1.7738730178
Fam187b,chr7,30973303,30974303,+,1.7737800428
Pcdhgb4,chr18,37720053,37721053,+,1.7733728066
4930538K18Rik,chr4,119217717,119218717,-,1.7720911574
Rnase6,chr14,51128567,51129567,+,1.7682254591
Mir3967,chr2,22653782,22654782,+,1.7681205917
Abhd16b,chr2,181492705,181493705,+,1.7656391775
Olfr1393,chr11,49279649,49280649,+,1.7642117502
Atp8a2,chr14,60086334,60087334,-,1.762543923
Hoxa6,chr6,52208124,52209124,-,1.7625359714
Sp140,chr1,85600202,85601202,+,1.7623607919
Hpse2,chr19,43387855,43388855,-,1.7605354839
Tlr3,chr8,45410039,45411039,-,1.7604235343
Ak5,chr3,152667640,152668640,-,1.7581036087
Vmn2r57,chr7,41448141,41449141,-,1.7579561635
Grm6,chr11,50850184,50851184,+,1.7535274279
Disp2,chr2,118779218,118780218,+,1.7517632688
Csf3,chr11,98700812,98701812,+,1.7500363614
Cd300c,chr11,114959917,114960917,-,1.7490560277
Scn2a1,chr2,65669944,65670944,+,1.7486634577
Pax3,chr1,78196636,78197636,-,1.7481607552
4933413J09Rik,chr14,26357046,26358046,+,1.7462039286
Gh,chr11,106301396,106302396,-,1.7454622565
E330033B04Rik,chr15,96274775,96275775,-,1.7451373802
Adgrb3,chr1,25829207,25830207,-,1.7431659128
Snph,chr2,151632093,151633093,-,1.7417952468
Rhox4b,chrX,37431993,37432993,+,1.7410253498
Gm13483,chr2,50296309,50297309,+,1.7348224497
Lhx8,chr3,154330060,154331060,-,1.7326266089
Gabra4,chr5,71657808,71658808,-,1.7303057043
Hhatl,chr9,121792007,121793007,-,1.7261051095
Tsga8,chrX,83487424,83488424,-,1.7255863978
Gm11564,chr11,99815166,99816166,-,1.725409605
C1ra,chr6,124512120,124513120,+,1.7250094026
Erich3,chr3,154710632,154711632,+,1.7233877048
Mir7060,chr7,127488750,127489750,+,1.7229209964
Tdpoz1,chr3,93675783,93676783,-,1.7189986666
Pla2r1,chr2,60552808,60553808,-,1.7189920723
Kcnj11,chr7,46100264,46101264,-,1.7180591449
Fam205c,chr4,42873703,42874703,-,1.7178572679
Klk1b9,chr7,43975560,43976560,+,1.7177730107
Mir199a-1,chr9,21496064,21497064,-,1.7176028605
Mir99b,chr17,17829687,17830687,+,1.7176028605
1500004A13Rik,chr3,88831987,88832987,-,1.715746888
Gstt4,chr10,75822043,75823043,-,1.714032094
Khdc1c,chr1,21367830,21368830,+,1.7139773352
Ptger2,chr14,44987610,44988610,+,1.7123358272
Slc5a4a,chr10,76146950,76147950,+,1.7121592144
Irs4,chrX,141724717,141725717,-,1.711650549
9230105E05Rik,chr10,120389022,120390022,+,1.709702804
Chrna10,chr7,102116213,102117213,-,1.707476483
Krt20,chr11,99437653,99438653,-,1.7051451735
Pla2g3,chr11,3487726,3488726,+,1.7051105373
Gm17746,chr12,25128673,25129673,+,1.704872958
Gm5801,ambiguous,56010980,56011980,-,1.7044875906
Adamts19,chr18,58836263,58837263,+,1.7038059737
Gm17660,chr5,104077108,104078108,-,1.7036725625
Mir6968,chr17,26934971,26935971,+,1.7030584747
Gm5712,chr3,129433172,129434172,+,1.7027682094
Pthlh,chr6,147263585,147264585,-,1.7017923537
Traf3ip3,chr1,193201046,193202046,-,1.6991937547
Ccdc108,chr1,74935099,74936099,-,1.6967308869
Cct8l1,chr5,25515566,25516566,+,1.696248479
4930471M09Rik,chr6,91440354,91441354,-,1.6951198999
Mir6939,chr12,112658851,112659851,-,1.6928195078
Tmem154,chr3,84665691,84666691,+,1.6917330063
Ccdc146,chr5,21424177,21425177,-,1.689319542
Tmem217,chr17,29549093,29550093,-,1.6889724323
Tdg,chr10,82629337,82630337,+,1.6868799289
Sebox,chr11,78503012,78504012,+,1.6857624234
Pdgfd,chr9,6168111,6169111,+,1.6851267703
Cldn2,chrX,139800307,139801307,+,1.6839338771
Gm5607,chr8,12385270,12386270,+,1.6834235162
4931408D14Rik,chr19,37263595,37264595,-,1.6826832287
Sybu,chr15,44787563,44788563,-,1.6818968139
Trim30d,chr7,104507349,104508349,-,1.6798047008
Sbp,chr17,23941495,23942495,+,1.6789387876
Chrdl2,chr7,100005903,100006903,+,1.6785382327
Vmn2r27,chr6,124231284,124232284,-,1.6781095354
Rxfp2,chr5,150018174,150019174,+,1.676377684
Olfr1349,chr7,6514927,6515927,-,1.6760074219
Wnt2b,chr3,104961209,104962209,-,1.6742459692
Col6a1,chr10,76725544,76726544,-,1.6732031366
Rbm11,chr16,75592390,75593390,+,1.6713284525
Trim31,chr17,36897629,36898629,+,1.667854632
Alx3,chr3,107594530,107595530,+,1.6673909795
1700007B14Rik,chr8,75448193,75449193,+,1.6670477484
Gal,chr19,3413957,3414957,-,1.666689936
Lrriq3,chr3,155092933,155093933,+,1.6642820252
Mir7013,chr3,95003667,95004667,+,1.6615485363
1700019E08Rik,chr2,45696104,45697104,+,1.6607084973
Ano4,chr10,89257290,89258290,-,1.6595136195
Aldh1a7,chr19,20727056,20728056,-,1.6562104764
Cfap46,chr7,139683315,139684315,-,1.6556888685
Mir6940,chr12,112732821,112733821,+,1.6543996611
Kdm4d,chr9,14499982,14500982,-,1.6522605934
Asb17os,chr3,153851924,153852924,-,1.6510957641
Gm5907,chr8,13985589,13986589,+,1.6490329823
C430002N11Rik,chr9,96765061,96766061,+,1.6480953561
1810062G17Rik,chr3,36475436,36476436,+,1.6475607651
Sel1l3,chr5,53212952,53213952,-,1.6464937825
Cd101,chr3,101028995,101029995,-,1.6439617777
Tbr1,chr2,61803952,61804952,+,1.6415228033
Sema3g,chr14,31217372,31218372,+,1.6408948678
Tmem229a,chr6,24955625,24956625,-,1.6402686498
Fcrl1,chr3,87375886,87376886,+,1.6402250294
Smim5,chr11,115899638,115900638,+,1.6399123665
Apol7a,chr15,77398610,77399610,-,1.639646874
Mir483,chr7,142654496,142655496,-,1.6387875974
Fam217a,chr13,34919492,34920492,-,1.6378279504
Gm21859,chr16,10914297,10915297,-,1.6375670214
Bpi,chr2,158257740,158258740,+,1.6356082002
Gm9047,chr6,29470936,29471936,+,1.6323523331
Nfia,chr4,97581442,97582442,+,1.6312072017
Mir6927,chr11,97676559,97677559,+,1.6310982574
Npffr1,chr10,61594983,61595983,+,1.6307233009
Atp13a4,chr16,29544364,29545364,-,1.6297950095
Mir125a,chr17,17830311,17831311,+,1.629716488
Dchs1,chr7,105787050,105788050,-,1.6278927357
Mir6973a,chr17,35194471,35195471,+,1.6277110652
Fut4,chr9,14751622,14752622,-,1.6260825606
Siglece,chr7,43659661,43660661,-,1.6192930669
Krt15,chr11,100135449,100136449,-,1.6177814199
Ptgir,chr7,16905989,16906989,+,1.6119820535
Cysltr1,chrX,106603179,106604179,-,1.6102258634
Zdhhc22,chr12,86988176,86989176,-,1.609378495
Bmpr1b,chr3,142168728,142169728,-,1.6089999413
Fam166a,chr2,25218244,25219244,+,1.608068248
