name,chr,start,end,strand,RPK
Msh2,chr17,87672056,87673056,+,9225.5812352712
Sumo2,chr11,115535730,115536730,-,9209.6263517891
Shmt2,chr10,127521944,127522944,-,9207.6135252832
Prmt5,chr14,54516970,54517970,-,9199.3555065632
Psmd8,chr7,29180173,29181173,-,9195.6661189396
Sec61b,chr4,47474160,47475160,+,9191.4822427999
Mfge8,chr7,79148560,79149560,-,9166.0052963949
Capzb,chr4,139192398,139193398,+,9136.8415061549
Pomp,chr5,147860127,147861127,+,9113.8833397563
Ctnna1,chr18,35118411,35119411,+,9099.3972165367
Aprt,chr8,122576407,122577407,-,9058.5456390082
Pgam1,chr19,41911370,41912370,+,9037.9307855531
Alyref,chr11,120597865,120598865,-,9024.2367775677
Psmd7,chr8,107587982,107588982,-,9015.5975648681
Klf2,chr8,72318561,72319561,+,8980.2916978402
Acly,chr11,100527500,100528500,-,8951.9083348367
Snrpa,chr7,27195771,27196771,-,8935.4847177212
Gnai2,chr9,107634842,107635842,-,8910.1424899352
2700094K13Rik,chr2,84670208,84671208,-,8870.4430868156
Vcp,chr4,43000007,43001007,-,8868.7445041998
Lrrc59,chr11,94629323,94630323,+,8845.0853213589
Mrpl12,chr11,120484168,120485168,+,8825.6430681197
Ccne1,chr7,38106990,38107990,-,8823.4598932913
Atp1a1,chr3,101604207,101605207,-,8819.9292049793
2010107E04Rik,chr12,111966477,111967477,-,8801.6523923653
Cdca3,chr6,124829675,124830675,+,8767.4842379331
